country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
RBQ,India_RBQ.xlsx,Kabaddi,कबड्डी में प्रत्येक टीम में कितने खिलाड़ी होते हैं?,"ए) 5, बी) 6, सी) 7, डी) 8",सी) 7,1,no mistake,no correction needed,no correction needed,सी) 7
RBQ,India_RBQ.xlsx,Kabaddi,कबड्डी मैच की अवधि कितनी होती है?,"A) 30 मिनट, B) 40 मिनट, C) 60 मिनट, D) 80 मिनट",बी) 40 मिनट,0,"The correct answer is labeled as 'बी) 40 मिनट', but option labels should be in English letters (A, B, C, D) for consistency in MCQs, not Hindi letters (अ, बी, etc.). Additionally, the question is factually correct (standard kabaddi match duration is 40 minutes: two halves of 20 minutes each), but the option labeling is non-standard and may confuse users or automated systems.",कबड्डी मैच की अवधि कितनी होती है?,"['A) 30 मिनट', 'B) 40 मिनट', 'C) 60 मिनट', 'D) 80 मिनट']",B) 40 मिनट
RBQ,India_RBQ.xlsx,Kabaddi,कबड्डी मैच में कितने हाफ होते हैं?,"ए) 1, बी) 2, सी) 3, डी) 4",बी) 2,1,no mistake,no correction needed,no correction needed,बी) 2
RBQ,India_RBQ.xlsx,Kabaddi,एक टीम एक ही रेड में अधिकतम कितने अंक प्राप्त कर सकती है?,"ए) 1, बी) 2, सी) 3, डी) 4",बी) 2,0,"The question is ambiguous and factually incorrect as written. In most sports, 'रेड' (red) does not denote a scoring unit. This appears to be a mistranslation or misapplication of terminology, likely intended to refer to 'राउंड' (round) in a sport like wrestling or boxing where points are awarded per round. The given answer '2' suggests a scoring system per round, but the term 'रेड' is not standard in sports scoring context in Hindi.",एक टीम एक ही राउंड में अधिकतम कितने अंक प्राप्त कर सकती है?,"['ए) 1', 'बी) 2', 'सी) 3', 'डी) 4']",बी) 2
RBQ,India_RBQ.xlsx,Kabaddi,कबड्डी में 'रेड' क्या है?,"A) जब कोई खिलाड़ी बचाव करता है, B) जब कोई खिलाड़ी प्रतिद्वंद्वी की टीम पर आक्रमण करता है, C) जब कोई खिलाड़ी स्थानापन्न खिलाड़ी होता है, D) जब कोई खिलाड़ी आराम करता है",बी) जब कोई खिलाड़ी प्रतिद्वंद्वी पक्ष पर आक्रमण करता है,0,"The question asks 'कबड्डी में 'रेड' क्या है?' which is factually incorrect. In kabaddi, 'red' is not a term for an attack or any action by a player; it refers to a red card given to a player for a foul, leading to their ejection. The provided answer incorrectly describes 'रेड' as an attack, which is not accurate. The term 'रेड' in kabaddi relates to penalty cards, not offensive actions.",कबड्डी में 'रेड कार्ड' क्या है?,"['A) जब कोई खिलाड़ी बचाव करता है', 'B) जब कोई खिलाड़ी प्रतिद्वंद्वी की टीम पर आक्रमण करता है', 'C) जब कोई खिलाड़ी गंभीर उल्लंघन के कारण खेल से बाहर कर दिया जाता है', 'D) जब कोई खिलाड़ी आराम करता है']",C) जब कोई खिलाड़ी गंभीर उल्लंघन के कारण खेल से बाहर कर दिया जाता है
RBQ,India_RBQ.xlsx,Kabaddi,एक रेडर को अंक अर्जित करने के लिए क्या करना चाहिए?,"A) प्रतिद्वंद्वी को छूना और उनकी तरफ लौट जाना, B) अपनी तरफ ही रहना, C) रेफरी को छूना, D) एक विशिष्ट नृत्य करना",A) प्रतिद्वंद्वी को छूना और उनकी तरफ लौटना,1,no mistake,no correction needed,no correction needed,A) प्रतिद्वंद्वी को छूना और उनकी तरफ लौट जाना
RBQ,India_RBQ.xlsx,Kabaddi,उस स्थिति को क्या कहते हैं जहां हमलावर को रक्षकों द्वारा पकड़ लिया जाता है?,"ए) रेड आउट, बी) टैकल, सी) टच डाउन, डी) आउट ऑफ प्ले",बी) टैकल,1,no mistake,no correction needed,no correction needed,बी) टैकल
RBQ,India_RBQ.xlsx,Kabaddi,यदि कोई टीम सफलतापूर्वक रेड करके वापस लौटती है तो उसे कितने अंक मिलते हैं?,"ए) 1, बी) 2, सी) 3, डी) 4",बी) 2,0,"The question is factually incorrect because 'रेड करके वापस लौटना' (making a red and returning) is not a valid or recognized action in any mainstream sport. In kabaddi, a 'raid' is performed, and if the raider successfully touches opponents and returns without being tackled, they score points. The term 'रेड' is a mistranslation or misuse; it should be 'राइड'. The correct context is kabaddi, but the question uses incorrect terminology.",यदि कोई खिलाड़ी सफलतापूर्वक राइड करके वापस लौटता है तो उसे कितने अंक मिलते हैं?,"['ए) 1', 'बी) 2', 'सी) 3', 'डी) 4']",बी) 2
RBQ,India_RBQ.xlsx,Kabaddi,यदि रेडर प्रतिद्वंद्वी को छूने या उनकी तरफ लौटने में असफल हो जाए तो क्या होगा?,"A) रेडर को चेतावनी दी जाती है, B) रेडर मौका खो देता है और विरोधी टीम को एक अंक मिलता है, C) रेडर को एक अतिरिक्त मौका मिलता है, D) खेल रोक दिया जाता है",B) रेडर मौका खो देता है और विरोधी टीम एक अंक अर्जित कर लेती है,1,no mistake,no correction needed,no correction needed,B) रेडर मौका खो देता है और विरोधी टीम एक अंक अर्जित कर लेती है
RBQ,India_RBQ.xlsx,Kabaddi,कबड्डी में 'डिफेंडर' की क्या भूमिका है?,"A) प्रतिद्वंद्वी पक्ष पर आक्रमण करना, B) रेड मारकर अंक अर्जित करना, C) रेडर को अपनी तरफ लौटने से रोकना, D) किनारे पर बैठना",C) हमलावर को अपनी तरफ लौटने से रोकने के लिए,0,"The question asks about the role of 'defender' in kabaddi, but the correct answer option (C) is phrased as 'हमलावर को अपनी तरफ लौटने से रोकने के लिए', which is grammatically incorrect and inconsistent with the option labels. Also, the correct answer should match the option wording exactly. Option C in the question says 'रेडर को अपनी तरफ लौटने से रोकना', which is factually correct, but the provided correct answer text is a mismatched version. The term 'रेडर' is standard in kabaddi, not 'हमलावर'. Additionally, the correct answer field incorrectly includes 'के लिए' which is not in any option.",कबड्डी में 'डिफेंडर' की क्या भूमिका है?,"['A) प्रतिद्वंद्वी पक्ष पर आक्रमण करना', 'B) रेड मारकर अंक अर्जित करना', 'C) रेडर को अपनी तरफ लौटने से रोकना', 'D) किनारे पर बैठना']",C) रेडर को अपनी तरफ लौटने से रोकना
RBQ,India_RBQ.xlsx,Kabaddi,कबड्डी मैच के दौरान प्रत्येक टीम से कितने खिलाड़ियों को मैदान पर खेलने की अनुमति है?,"ए) 6, बी) 7, सी) 8, डी) 10",बी) 7,1,no mistake,no correction needed,no correction needed,बी) 7
RBQ,India_RBQ.xlsx,Kabaddi,कबड्डी मैच में प्रत्येक हाफ की अवधि कितनी होती है?,"A) 15 मिनट, B) 20 मिनट, C) 25 मिनट, D) 30 मिनट",बी) 20 मिनट,0,"The correct answer is labeled as 'बी) 20 मिनट', but option labels should be in English letters (A, B, C, D) for standard MCQ format, not Hindi letters. Additionally, the question is factually correct (standard kabaddi half duration is 20 minutes), but the option labeling is inconsistent and non-standard.",कबड्डी मैच में प्रत्येक हाफ की अवधि कितनी होती है?,"['A) 15 मिनट', 'B) 20 मिनट', 'C) 25 मिनट', 'D) 30 मिनट']",B) 20 मिनट
RBQ,India_RBQ.xlsx,Kabaddi,यदि कोई खिलाड़ी सीमा रेखा के बाहर कदम रखता है तो क्या होगा?,"A) खिलाड़ी को एक अंक काटकर दंडित किया जाता है, B) खिलाड़ी को प्रतिस्थापित किया जाता है, C) खिलाड़ी को आउट घोषित किया जाता है, और प्रतिद्वंद्वी को एक अंक मिलता है, D) खेल बिना किसी बदलाव के जारी रहता है","C) खिलाड़ी को आउट घोषित कर दिया जाता है, और प्रतिद्वंद्वी को एक अंक मिलता है",0,"The question is ambiguous and factually incorrect as written. It does not specify the sport. The rule described in option C applies to cricket (when a batsman steps outside the crease while playing a shot or running), but not universally to all sports. Without context, the question is invalid as a general sports MCQ. Additionally, in many sports like football or basketball, stepping outside the boundary does not result in 'out' and a point for opponent.",यदि क्रिकेट में कोई बल्लेबाज सीमा रेखा (क्रीज) के बाहर कदम रखता है तो क्या होगा?,"['A) बल्लेबाज को एक अंक काटकर दंडित किया जाता है', 'B) बल्लेबाज को प्रतिस्थापित किया जाता है', 'C) बल्ल��बाज को आउट घोषित किया जाता है, और प्रतिद्वंद्वी टीम को एक अंक मिलता है', 'D) खेल बिना किसी बदलाव के जारी रहता है']","C) बल्लेबाज को आउट घोषित किया जाता है, और प्रतिद्वंद्वी टीम को एक अंक मिलता है"
RBQ,India_RBQ.xlsx,Kabaddi,एक सफल 'सुपर रेड' के लिए कितने अंक दिए जाते हैं?,"ए) 2, बी) 3, सी) 4, डी) 5",सी) 4,1,no mistake,no correction needed,no correction needed,सी) 4
