image_no,country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
chaturanga_1,IBQ,Pakistan_IBQ.xlsx,Chaturanga,چتورنگا_1 میں دکھایا گیا اہم عمل کیا ہے؟,(A) دو کھلاڑی لڑ رہے ہیں۔ (B) انتہائی آرائشی ٹکڑوں کے ساتھ ایک بساط (C) لوگوں کا ایک گروپ جو تاش کا کھیل کھیل رہا ہے۔ (D) شطرنج کے ٹکڑے تراشنے والا شخص,انتہائی آرائشی ٹکڑوں کے ساتھ ایک بساط,1,no mistake,no correction needed,no correction needed,no answer needed
chaturanga_1,IBQ,Pakistan_IBQ.xlsx,Chaturanga,ٹکڑوں کے بارے میں ایک قابل ذکر تفصیل کیا ہے؟,(A) وہ سب ایک جیسے ہیں۔ (B) وہ ایک تاریخی فوج کی نمائندگی کرنے والی انتہائی اسٹائلائزڈ شخصیات ہیں۔ (C) وہ پلاسٹک سے بنے ہیں۔ (D) وہ سب سفید فام ہیں۔,وہ ایک تاریخی فوج کی نمائندگی کرنے والی انتہائی اسٹائلائزڈ شخصیات ہیں۔,1,no mistake,no correction needed,no correction needed,وہ ایک تاریخی فوج کی نمائندگی کرنے والی انتہائی اسٹائلائزڈ شخصیات ہیں۔
chaturanga_1,IBQ,Pakistan_IBQ.xlsx,Chaturanga,بساط کا ظاہری مواد کیا ہے؟,(A) کندہ شدہ نمونوں کے ساتھ لکڑی (B) پلاسٹک (C) شیشہ (D) گتے,کندہ شدہ نمونوں کے ساتھ لکڑی,1,no mistake,no correction needed,no correction needed,no answer needed
chaturanga_1,IBQ,Pakistan_IBQ.xlsx,Chaturanga,"تصویر میں ایک لیبل ""CHESS"" دکھایا گیا ہے۔ وہ کون سا تاریخی کھیل ہے جو جدید شطرنج کا پیش خیمہ ہے؟",(A) چیکرس (B) بیکگیمون (C) چتورنگا (D) جاؤ,چتورنگا,1,no mistake,no correction needed,no correction needed,no answer needed
chaturanga_1,IBQ,Pakistan_IBQ.xlsx,Chaturanga,"""پرسنلائزڈ نام"" لیبل کا بظاہر مقصد کیا ہے؟",(A) یہ کھیل کے قوانین کا حصہ ہے۔ (B) یہ حسب ضرورت کے لیے ایک خصوصیت ہے۔ (C) یہ ایک تاریخی نشان ہے۔ (D) یہ ایک برانڈ کا نام ہے۔,یہ حسب ضرورت کے لیے ایک خصوصیت ہے۔,1,no mistake,no correction needed,no correction needed,no answer needed
chaturanga_1,IBQ,Pakistan_IBQ.xlsx,Chaturanga,بورڈ کے ڈیزائن کی سب سے نمایاں خصوصیت کیا ہے؟,(A) یہ ایک سادہ، چیکر سطح ہے (B) اس میں پیچیدہ کندہ شدہ نمونے ہیں۔ (C) یہ ایک ٹھوس رنگ ہے۔ (D) یہ ایک سرکلر بورڈ ہے۔,اس میں پیچیدہ کندہ شدہ نمونے ہیں۔,1,no mistake,no correction needed,no correction needed,اس میں پیچیدہ کندہ شدہ نمونے ہیں۔
chaturanga_1,IBQ,Pakistan_IBQ.xlsx,Chaturanga,کھلاڑیوں کے چہروں سے ظاہری جذبات کیا ہیں؟,(A) پرسکون اور پر سکون (B) خوف زدہ اور بے چین (C) کشیدہ اور شدید (D) خوش اور مسکراتے ہوئے۔,کشیدہ اور شدید,0,"The question asks about the emotions on players' faces, but the image shows chess pieces. The question is therefore irrelevant to the image.",تصویر میں موجود شطرنج کے حصوں کی ظاہری حالت کیا ہے؟,(A) پرسکون اور جامد (B) خوف زدہ اور ہلتے ہوئے (C) کشیدہ اور لڑنے کے لیے تیار (D) خوش اور منگتا ہوا,کشیدہ اور لڑنے کے لیے تیار
chaturanga_1,IBQ,Pakistan_IBQ.xlsx,Chaturanga,ٹکڑوں کو ایک مخصوص شکل میں ترتیب دیا گیا ہے۔ یہ تشکیل کس لیے ہے؟,(A) ایک کھیل کا آغاز (B) کھیل کا وسط (C) ایک کھیل کا اختتام (D) بے ترتیب ترتیب,ایک کھیل کا آغاز,1,no mistake,no correction needed,no correction needed,no answer needed
chaturanga_1,IBQ,Pakistan_IBQ.xlsx,Chaturanga,چتورنگا کا تاریخی کھیل کس ملک سے تعلق کے لیے جانا جاتا ہے؟,(A) چین (B) انڈیا (C) یورپ (D) مصر,انڈیا,1,no mistake,no correction needed,no correction needed,no answer needed
chaturanga_2,IBQ,Pakistan_IBQ.xlsx,Chaturanga,چترنگا_2 میں دکھایا گیا اہم عمل کیا ہے؟,(A) روایتی ٹکڑوں کے ساتھ ایک بساط (B) سواروں کا ایک گروپ جو مرکزی چیز کے لیے مقابلہ کر رہا ہے۔ (C) گھوڑوں کی پریڈ (D) گھوڑوں کی دوڑ,روایتی ٹکڑوں کے ساتھ ایک بساط,1,no mistake,no correction needed,no correction needed,no answer needed
