country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
HBQ,Thailand_HBQ.xlsx,chon wua,กีฬาชนวัวเริ่มต้นครั้งแรกในยุคใด?,"A) ยุคโบราณ, B) ยุคกลาง, C) ยุคปัจจุบัน, D) ยุคหิน",A) ยุคโบราณ,1,no mistake,no correction needed,no correction needed,A) ยุคโบราณ
HBQ,Thailand_HBQ.xlsx,chon wua,ชนวัวในประเทศไทยมีต้นกำเนิดที่จังหวัดใด?,"A) กระบี่, B) นครศรีธรรมราช, C) สุราษฎร์ธานี, D) สงขลา",B) นครศรีธรรมราช,0,The question 'ชนวัวในประเทศไทยมีต้นกำเนิดที่จังหวัดใด?' is factually incorrect. 'ชนวัว' (bullfighting) is not a traditional or recognized cultural practice in Thailand. Thailand does not have bullfighting as a native tradition; this is more associated with Spain or Mexico. The question misrepresents Thai culture and thus cannot logically have a correct provincial origin.,กิจกรรมการต่อสู้กับวัวในประเทศไทยมีต้นกำเนิดที่จังหวัดใด?,"['A) กระบี่', 'B) นครศรีธรรมราช', 'C) สุราษฎร์ธานี', 'D) สงขลา']",B) นครศรีธรรมราช
HBQ,Thailand_HBQ.xlsx,chon wua,ชนวัวได้รับอิทธิพลจากวัฒนธรรมของประเทศใด?,"A) อินเดีย, B) สเปน, C) จีน, D) อินโดนีเซีย",B) สเปน,0,"The question 'ชนวัวได้รับอิทธิพลจากวัฒนธรรมของประเทศใด?' (Which country's culture influenced bullfighting?) incorrectly lists Spain as the correct answer, but bullfighting (ชนวัว) is indeed culturally rooted in Spain, so the answer is factually correct. However, the term 'ชนวัว' in Thai typically refers to 'bullfighting' only in the context of Spanish-style bullfighting, and the question is logically valid. But 'ชนวัว' can also be misinterpreted as 'bull-baiting' or 'buffalo fighting' in Southeast Asian contexts (e.g., Thailand or Indonesia), which are culturally distinct from Spanish bullfighting. This ambiguity makes the question misleading. The term 'ชนวัว' is not the standard Thai term for Spanish-style bullfighting — the correct term is 'การต่อสู้กับวัว' or 'การชนวัวแบบสเปน'. Therefore, the question as written could confuse native Thai speakers and is not precise enough to be a valid MCQ.",การชนวัวแบบสเปนได้รับอิทธิพลจากวัฒนธรรมของประเทศใด?,"['อินเดีย', 'สเปน', 'จีน', 'อินโดนีเซีย']",B) สเปน
HBQ,Thailand_HBQ.xlsx,chon wua,วัวที่ใช้ในกีฬาชนวัวต้องมีลักษณะอย่างไร?,"A) แข็งแรงและมีเขาแหลม, B) ขนยาว, C) ตัวเล็กและว่องไว, D) น้ำหนักมาก",A) แข็งแรงและมีเขาแหลม,1,no mistake,no correction needed,no correction needed,A) แข็งแรงและมีเขาแหลม
HBQ,Thailand_HBQ.xlsx,chon wua,ชนวัวในอดีตมักจะจัดในโอกาสใด?,"A) เทศกาลประจำปี, B) การเก็บเกี่ยว, C) การเฉลิมฉลองของชุมชน, D) พิธีกรรมทางศาสนา",C) การเฉลิมฉลองของชุมชน,0,"The question 'ชนวัวในอดีตมักจะจัดในโอกาสใด?' is factually incorrect because 'ชนวัว' (bullfighting) is not a traditional Thai or Southeast Asian cultural practice. Bullfighting is primarily associated with Spain, Portugal, and some Latin American countries, not Thailand. Therefore, the premise of the question is misleading and culturally inaccurate. The provided answer 'การเฉลิมฉลองของชุมชน' is also incorrect in context because there is no historical tradition of bullfighting in Thailand to celebrate community events.",การแข่งขันวัวในอดีตมักจะจัดในโอกาสใด?,"['A) เทศกาลประจำปี', 'B) การเก็บเกี่ยว', 'C) การเฉลิมฉลองของชุมชน', 'D) พิธีกรรมทางศาสนา']",C) การเฉลิมฉลองของชุมชน
HBQ,Thailand_HBQ.xlsx,chon wua,ในอดีต ชนวัวมีบทบาทสำคัญในสังคมอย่างไร?,A) เป็นกิจกรรมสันทนาการ; B) เป็นพิธีกรรมทางศาสนา; C) เป็นการแข่งขันเพื่อเกียรติยศ; D) เป็นการฝึกวัว,A) เป็นกิจกรรมสันทนาการ,0,"The question asks about the historical role of 'ชนวัว' (cow fighting/riding), but the provided answer 'เป็นกิจกรรมสันทนาการ' (recreational activity) is factually incorrect. In Thai and Southeast Asian cultural history, 'ชนวัว' (buffalo fighting) is traditionally a ritualistic or competitive event tied to agriculture, fertility rites, and community festivals — often with religious or ceremonial significance, not merely recreational. Option B ('เป็นพิธีกรรมทางศาสนา') is more accurate. Additionally, the question lacks clarity: 'ชนวัว' could mean 'fighting buffaloes' or 'riding buffaloes'; context implies fighting. The answer choice A misrepresents cultural reality.",ในอดีต การชนวัวมีบทบาทสำคัญในสังคมอย่างไร?,"['A) เป็น���ิจกรรมสันทนาการ', 'B) เป็นพิธีกรรมทางศาสนา', 'C) เป็นการแข่งขันเพื่อเกียรติยศ', 'D) เป็นการฝึกวัว']",B) เป็นพิธีกรรมทางศาสนา
HBQ,Thailand_HBQ.xlsx,chon wua,การชนวัวในประเทศไทยมีการพัฒนากฎกติกาในยุคใด?,A) ยุคกรุงรัตนโกสินทร์; B) ยุคสุโขทัย; C) ยุคอยุธยา; D) ยุคธนบุรี,A) ยุคกรุงรัตนโกสินทร์,0,"The question is factually incorrect. 'การชนวัว' (bull fighting) is not a traditional or documented sport in Thailand. Thailand has 'การแข่งขันวัวกระทิง' (buffalo racing) or 'การต่อสู้วัว' (bull fighting) only in very limited regional folk events, but no formal codification of rules occurred in any Thai historical period. The claim that rules were developed in the Rattanakosin era is misleading and historically inaccurate. The term 'ชนวัว' is also ambiguous and not standard Thai terminology for any recognized sport.",การแข่งขันวัวกระทิงในประเทศไทยมีการพัฒนากฎกติกาในยุคใด?,"['A) ยุคกรุงรัตนโกสินทร์', 'B) ยุคสุโขทัย', 'C) ยุคอยุธยา', 'D) ยุคธนบุรี']",A) ยุคกรุงรัตนโกสินทร์
HBQ,Thailand_HBQ.xlsx,chon wua,ในอดีต วัวชนที่ชนะจะได้รับรางวัลอะไร?,A) เงินสด; B) ข้าวสาร; C) สัตว์เลี้ยง; D) เครื่องใช้ในครัวเรือน,B) ข้าวสาร,0,"The question is factually incorrect. In Thai cultural history, fighting bulls (วัวชน) were not typically awarded 'ข้าวสาร' as a prize. The traditional prize for winning bullfighting contests in Thailand, especially in the Northeast (Isan region), was usually cash (เงินสด) or valuable items like gold, silver, or livestock, but not staple rice. The provided answer 'ข้าวสาร' is misleading and not historically accurate.",ในอดีต วัวชนที่ชนะจะได้รับรางวัลอะไร?,"['A) เงินสด', 'B) ข้าวสาร', 'C) สัตว์เลี้ยง', 'D) เครื่องใช้ในครัวเรือน']",A) เงินสด
HBQ,Thailand_HBQ.xlsx,chon wua,สถานที่ที่นิยมจัดชนวัวในอดีตคือที่ใด?,A) ลานกว้างกลางหมู่บ้าน; B) ใต้ต้นไม้ใหญ่; C) สนามกีฬา; D) ใกล้แม่น้ำ,A) ลานกว้างกลางหมู่บ้าน,1,no mistake,no correction needed,no correction needed,A) ลานกว้างกลางหมู่บ้าน
HBQ,Thailand_HBQ.xlsx,chon wua,ชนวัวในยุคปัจจุบันแตกต่างจากอดีตอย่างไร?,A) มีการใช้เทคโนโลยีมากขึ้น; B) มีกฎกติกาที่เข้มงวดขึ้น; C) มีการเดิมพัน; D) ทั้งหมด,D) ทั้งหมด,0,"The question 'ชนวัวในยุคปัจจุบันแตกต่างจากอดีตอย่างไร?' is factually incorrect because 'ชนวัว' (bull fighting) is not a traditional or recognized sport in Thailand or most of Southeast Asia. The term 'ชนวัว' is more commonly associated with Spanish-style bullfighting, which does not have a historical or cultural presence in Thailand. Therefore, comparing modern and past versions of 'ชนวัว' in Thailand is misleading and lacks factual basis.",การแข่งขันวัวในยุคปัจจุบันแตกต่างจากอดีตอย่างไร?,"['มีการใช้เทคโนโลยีมากขึ้น', 'มีกฎกติกาที่เข้มงวดขึ้น', 'มีการเดิมพัน', 'ทั้งห��ด']",ทั้งหมด
