country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
SBQ,Indonesia_SBQ.xlsx,Karapan_Sapi,"Dalam perlombaan Karapan Sapi, apa faktor utama yang menentukan pemenangnya?","A) Waktu mulai tim, B) Keterampilan joki, C) Hidung banteng pertama yang melewati garis finis, D) Kecepatan keseluruhan rata-rata selama perlombaan",C) Hidung banteng pertama yang melintasi garis finis,1,no mistake,no correction needed,no correction needed,C) Hidung banteng pertama yang melewati garis finis
SBQ,Indonesia_SBQ.xlsx,Karapan_Sapi,"Banteng dari satu tim tersandung dan jatuh tepat sebelum garis finis, tetapi momentumnya membawa kereta luncur lebih dulu. Banteng dari tim lain menyeberang dengan kakinya beberapa saat kemudian. Siapa yang menang?","A) Tim yang bantengnya menyeberang dengan kakinya, B) Tim yang kereta luncurnya menyeberang terlebih dahulu, C) Perlombaan dinyatakan seri, D) Perlombaan ulang diperintahkan",A) Tim yang bantengnya menyeberang dengan kakinya,0,"The question is factually incorrect and logically flawed. Banteng (a type of wild cattle) cannot be part of a sled race or pull a sled; the scenario confuses animals with sled teams. In real sled races (like dog sledding), it's the sled and its driver that cross the finish line, not the animals' legs. The premise violates basic knowledge of the sport being referenced. Additionally, the answer key incorrectly states that the team whose 'banteng' crossed with its legs wins, which makes no sense in context.","Anjing dari satu tim tersandung dan jatuh tepat sebelum garis finis, tetapi momentumnya membawa kereta luncur lebih dulu. Anjing dari tim lain menyeberang dengan kakinya beberapa saat kemudian. Siapa yang menang?","['A) Tim yang anjingnya menyeberang dengan kakinya', 'B) Tim yang kereta luncurnya menyeberang terlebih dahulu', 'C) Perlombaan dinyatakan seri', 'D) Perlombaan ulang diperintahkan']",B) Tim yang kereta luncurnya menyeberang terlebih dahulu
SBQ,Indonesia_SBQ.xlsx,Karapan_Sapi,"Saat balapan, seorang joki kehilangan kendali dan salah satu bantengnya melesat keluar jalur. Apa keputusan langsungnya?","A) Tim menerima penalti waktu 10 detik, B) Tim didiskualifikasi, C) Perlombaan dihentikan sementara sampai banteng ditemukan kembali, D) Tim dapat melanjutkan dengan satu banteng.",B) Tim tersebut didiskualifikasi,0,"The question contains a factual error: jockeys (joki) are associated with horse racing, not bull racing. Banteng (wild cattle) are not used in professional racing events where jockeys ride. The scenario is logically inconsistent because jockeys do not control bantengs. The answer 'didiskualifikasi' is given for an impossible scenario, making the entire MCQ invalid.","Saat balapan kuda, seorang joki kehilangan kendali dan salah satu kudanya melesat keluar jalur. Apa keputusan langsungnya?","['A) Tim menerima penalti waktu 10 detik', 'B) Tim didiskualifikasi', 'C) Perlombaan dihentikan sementara sampai kuda ditemukan kembali', 'D) Tim dapat melanjutkan dengan satu kuda']",B) Tim didiskualifikasi
SBQ,Indonesia_SBQ.xlsx,Karapan_Sapi,"Jika banteng suatu tim roboh karena kelelahan di tengah perlombaan dan tidak dapat melanjutkan perlombaan, apa yang akan terjadi pada tim tersebut?","A) Mereka diperbolehkan mengganti banteng baru, B) Mereka langsung didiskualifikasi, C) Perlombaan dihentikan untuk bantuan dokter hewan, D) Mereka diberi penalti waktu",B) Mereka langsung didiskualifikasi,0,"The question refers to 'banteng' (buffalo/bull) in a racing context, which is not a standard or recognized sport in any major international or Indonesian context. 'Banteng' is not typically used in racing events like horses or dogs; this makes the premise factually incorrect and logically flawed. Additionally, the concept of a bull 'roboh karena kelelahan' (falling due to fatigue) in a race is not grounded in any real sport, making the MCQ invalid.","Jika kuda milik suatu tim jatuh karena kelelahan di tengah perlombaan dan tidak dapat melanjutkan perlombaan, apa yang akan terjadi pada tim tersebut?","['A) Mereka diperbolehkan mengganti kuda baru', 'B) Mereka langsung didiskualifikasi', 'C) Perlombaan dihentikan untuk bantuan dokter hewan', 'D) Mereka diberi penalti waktu']",B) Mereka langsung didiskualifikasi
SBQ,Indonesia_SBQ.xlsx,Karapan_Sapi,Sebuah tim diketahui telah memberikan zat peningkat performa kepada banteng mereka sebelum perlombaan. Apa konsekuensinya?,"A) Peringatan dikeluarkan, B) Tim didiskualifikasi dan mungkin menghadapi larangan, C) Tim diizinkan untuk berlomba tetapi kehilangan hadiah apa pun, D) Penalti waktu diterapkan",B) Tim tersebut didiskualifikasi dan mungkin menghadapi larangan,0,"The question is factually incorrect because bulls (banteng) are not used in human sports competitions where performance-enhancing drugs are regulated. The scenario confuses animal racing (e.g., horse racing) with human sports, making the premise logically invalid for a standard sports MCQ. Additionally, 'banteng' refers to a wild cattle species, not typically used in racing contexts in Indonesia or globally.",Sebuah tim diketahui telah memberikan zat peningkat performa kepada kuda mereka sebelum perlombaan. Apa konsekuensinya?,"['A) Peringatan dikeluarkan', 'B) Tim didiskualifikasi dan mungkin menghadapi larangan', 'C) Tim diizinkan untuk berlomba tetapi kehilangan hadiah apa pun', 'D) Penalti waktu diterapkan']",B) Tim didiskualifikasi dan mungkin menghadapi larangan
SBQ,Indonesia_SBQ.xlsx,Karapan_Sapi,Seorang joki tidak sengaja menjatuhkan cambuknya saat balapan. Bagaimana prosedur yang benar?,"A) Joki didiskualifikasi karena kehilangan perlengkapan, B) Perlombaan berlanjut; joki dapat menyelesaikan lomba tanpa cambuk, C) Asisten dapat memberinya cambuk baru, D) Perlombaan harus dihentikan",B) Perlombaan terus berlanjut; joki dapat menyelesaikannya tanpa cambuk,1,no mistake,no correction needed,no correction needed,B) Perlombaan berlanjut; joki dapat menyelesaikan lomba tanpa cambuk
SBQ,Indonesia_SBQ.xlsx,Karapan_Sapi,"Saat balapan di lintasan berlumpur, strategi apa yang paling efektif bagi joki untuk mempertahankan kecepatan dan kendali?","A) Mendorong banteng hingga kecepatan maksimal, B) Menggunakan belokan yang lebih lebar untuk menghindari tergelincir, C) Memandu banteng di sepanjang jalur yang paling lurus, D) Menggunakan kereta yang lebih berat untuk traksi yang lebih baik",C) Memandu banteng di sepanjang jalur yang paling lurus,0,"The question refers to 'joki' (jockey) and 'banteng' (bull), which are inconsistent with horse racing on a muddy track. A jockey rides a horse, not a bull. 'Banteng' is a wild bull, not used in horse racing. This is a factual and logical error. The scenario described does not exist in real sports.","Saat balapan di lintasan berlumpur, strategi apa yang paling efektif bagi joki untuk mempertahankan kecepatan dan kendali?","['A) Mendorong kuda hingga kecepatan maksimal', 'B) Menggunakan belokan yang lebih lebar untuk menghindari tergelincir', 'C) Memandu kuda di sepanjang jalur yang paling lurus', 'D) Menggunakan pelana yang lebih berat untuk traksi yang lebih baik']",C) Memandu kuda di sepanjang jalur yang paling lurus
SBQ,Indonesia_SBQ.xlsx,Karapan_Sapi,Apa makna budaya dari hiasan dan ornamen berwarna-warni yang ditaruh di atas banteng sebelum perlombaan?,"A) Mereka digunakan untuk mengintimidasi tim lawan, B) Mereka meningkatkan aerodinamika banteng, C) Mereka melambangkan kekayaan, status, dan kebanggaan pemiliknya, D) Mereka membantu menjaga banteng tetap tenang","C) Melambangkan kekayaan, status, dan kebanggaan pemiliknya",1,no mistake,no correction needed,no correction needed,"C) Mereka melambangkan kekayaan, status, dan kebanggaan pemiliknya"
SBQ,Indonesia_SBQ.xlsx,Karapan_Sapi,Orkestra gamelan merupakan bagian integral dari acara Karapan Sapi. Apa peran utamanya?,"A) Untuk menandai dimulainya dan berakhirnya perlombaan, B) Untuk menciptakan suasana yang meriah dan tradisional, C) Untuk memotivasi banteng dengan ketukan berirama, D) Untuk meredam kebisingan dari kerumunan.",B) Untuk menciptakan suasana yang meriah dan tradisional,0,"The question is factually incorrect. Gamelan orchestras are not traditionally associated with Karapan Sapi, which is a bull racing event in Madura, Indonesia. Karapan Sapi is accompanied by traditional drums (kendang) and other local percussion, not gamelan, which is a Javanese/Balinese ensemble typically used in courtly or religious ceremonies. The provided answer (B) is therefore misleading, as gamelan does not play any role in Karapan Sapi.",Orkestra kendang merupakan bagian integral dari acara Karapan Sapi. Apa peran utamanya?,"['A) Untuk menandai dimulainya dan berakhirnya perlombaan', 'B) Untuk menciptakan suasana yang meriah dan tradisional', 'C) Untuk memotivasi banteng dengan ketukan berirama', 'D) Untuk meredam kebisingan dari kerumunan']",B) Untuk menciptakan suasana yang meriah dan tradisional
SBQ,Indonesia_SBQ.xlsx,Karapan_Sapi,"Jika lomba karapan sapi dihentikan sementara karena hujan deras sehingga membahayakan keselamatan lintasan, bagaimana protokolnya?","A) Acara dibatalkan segera, B) Tim yang memimpin dinyatakan sebagai pemenang, C) Perlombaan dijadwalkan ulang untuk hari lain, D) Perlombaan dilanjutkan setelah hujan berhenti dan lintasan dianggap aman.",D) Balapan dilanjutkan setelah hujan berhenti dan lintasan dianggap aman,1,no mistake,no correction needed,no correction needed,D) Perlombaan dilanjutkan setelah hujan berhenti dan lintasan dianggap aman
