image_no,country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
chon_wua_2.jpg,IBQ,Thailand_IBQ.xlsx,chon_wua(bull fighting),ภาพที่แสดงเป็นกิจกรรมหลักอะไร?,(A) ชายคนหนึ่งกำลังจูงกระทิง (B) กระทิงกำลังสู้กับกระทิงอีกตัวหนึ่ง (C) ชายคนหนึ่งอยู่บนหลังวัวกระทิง (D) กระทิงกำลังถูกฝึก,ชายคนหนึ่งกำลังจูงกระทิง,1,no mistake,no correction needed,no correction needed,no answer needed
chon_wua_2.jpg,IBQ,Thailand_IBQ.xlsx,chon_wua(bull fighting),เสาไม้ยาวที่ผู้ชายถืออยู่มีจุดประสงค์อะไร?,(A) เพื่อทำร้ายกระทิง (B) เพื่อนำทางและควบคุมการเคลื่อนไหวของกระทิง (C) เพื่อผลักกระทิง (D) เพื่อเป็นสัญญาณการเริ่มการแข่งขัน,เพื่อนำทางและควบคุมการเคลื่อนไหวของกระทิง,1,no mistake,no correction needed,no correction needed,no answer needed
chon_wua_2.jpg,IBQ,Thailand_IBQ.xlsx,chon_wua(bull fighting),ลักษณะเด่นของร่างกายวัวคืออะไร?,(A) มันมีปลอกคอ (B) มันมีสายรัด (C) มีหลังโค้งใหญ่ (D) มันมีเชือกอยู่รอบคอ,มีหลังโค้งใหญ่,1,no mistake,no correction needed,no correction needed,no answer needed
chon_wua_2.jpg,IBQ,Thailand_IBQ.xlsx,chon_wua(bull fighting),ชายคนนี้เท้าเปล่า สิ่งนี้บ่งบอกอะไรเกี่ยวกับสิ่งแวดล้อมบ้าง?,(A) เป็นสนามกีฬาที่มีความทันสมัย (B) เป็นสนามต่อสู้อย่างเป็นทางการ (C) เป็นบรรยากาศแบบดั้งเดิมและชนบทมากขึ้น (D) เป็นงานส่วนตัว,เป็นบรรยากาศแบบดั้งเดิมและชนบทมากขึ้น,1,no mistake,no correction needed,no correction needed,no answer needed
chon_wua_2.jpg,IBQ,Thailand_IBQ.xlsx,chon_wua(bull fighting),ฝูงชนหลังรั้วมีจุดประสงค์อะไร?,(A) พวกเขาเป็นผู้ชม (B) พวกเขาเป็นนักสู้คนอื่น (C) พวกเขาเป็นผู้พิพากษา (D) พวกเขาเป็นเจ้าหน้าที่รักษาความปลอดภัย,พวกเขาเป็นผู้ชม,1,no mistake,no correction needed,no correction needed,no answer needed
chon_wua_3.jpg,IBQ,Thailand_IBQ.xlsx,chon_wua(bull fighting),แหวนที่จมูกวัวมีไว้เพื่ออะไร?,(A) มันเป็นของตกแต่ง (B) เป็นเครื่องมือสำหรับนำทางกระทิง (C) เป็นสัญลักษณ์แห่งโคชั้นสูง (D) เป็นสัญญาณของกระทิงที่ชนะ,เป็นเครื่องมือสำหรับนำทางกระทิง,1,no mistake,no correction needed,no correction needed,no answer needed
chon_wua_3.jpg,IBQ,Thailand_IBQ.xlsx,chon_wua(bull fighting),วัวกระทิงมีรอยแผลเป็นและรอยต่างๆ บนเขา สิ่งนี้บ่งบอกอะไร?,(A) พวกเขาได้รับบาดเจ็บ (B) พวกเขาเป็นสัญลักษณ์ของกระทิงป่า (C) พวกเขามีประวัติการต่อสู้กัน (D) พวกเขาแก่แล้ว,พวกเขามีประวัติการต่อสู้กัน,1,no mistake,no correction needed,no correction needed,no answer needed
chon_wua_3.jpg,IBQ,Thailand_IBQ.xlsx,chon_wua(bull fighting),หน้ากระทิงแสดงอารมณ์อะไร?,(A) พวกเขาโกรธ (B) พวกเขามีความมุ่งมั่นและตั้งใจ (C) พวกเขาหวาดกลัว (D) พวกเขาสับสน,พวกเขามีความมุ่งมั่นและตั้งใจ,0,"The question asks about the emotion displayed by the bulls, but the image clearly depicts a violent clash/fight. While determination could be *present*, the dominant emotion conveyed is aggression/anger. Therefore, the correct answer should reflect this more accurately.",หน้ากระทิงแสดงอารมณ์อะไรในการต่อสู้?,"['(A) พวกเขาโกรธ', '(B) พวกเขามุ่งมั่นที่จะชนะ', '(C) พวกเขาหวาดกลัว', '(D) พวกเขาสับสน']",พวกเขามุ่งมั่นที่จะชนะ
chon_wua_3.jpg,IBQ,Thailand_IBQ.xlsx,chon_wua(bull fighting),ลักษณะเด่นของกระทิงบนหัวซ้ายคืออะไร?,(A) มันมีเขาที่ยาวมาก (B) มันมีเขาสั้นมาก (C) เขาของมันถูกหุ้มด้วยผ้าสีแดง (D) เขาของมันมีดอกไม้ประดับอยู่,เขาของมันถูกหุ้มด้วยผ้าสีแดง,1,no mistake,no correction needed,no correction needed,no answer needed
chon_wua_7.jpg,IBQ,Thailand_IBQ.xlsx,chon_wua(bull fighting),กระทิงสู้กันในสภาพแวดล้อมแบบไหน?,(A) ลานปูหิน (B) หลุมดินและโคลน (C) ทุ่งโล่งกว้างใหญ่ (D) สนามกีฬาในร่ม,หลุมดินและโคลน,1,no mistake,no correction needed,no correction needed,no answer needed
chon_wua_7.jpg,IBQ,Thailand_IBQ.xlsx,chon_wua(bull fighting),รั้วหลังวัวมีไว้เพื่ออะไร?,(A) เป็นองค์ประกอบการตกแต่ง (B) เป็นสิ่งกั้นแบ่งแยกกระทิง (C) เป็นเครื่องกั้นความปลอดภัยให้กับผู้ชม (D) เป็นเขตแดนของกระทิง,เป็นเครื่องกั้นความปลอดภัยให้กับผู้ชม,1,no mistake,no correction needed,no correction needed,no answer needed
chon_wua_7.jpg,IBQ,Thailand_IBQ.xlsx,chon_wua(bull fighting),สามารถอนุมานถึงความแข็งแกร่งและพลังของกระทิงได้อย่างไรบ้าง?,(A) พวกเขาอ่อนแอ (B) พวกเขาแข็งแกร่งมาก (C) พวกเขาได้รับการฝึกให้มีความอ่อนโยน (D) พวกมันเชื่องมาก,พวกเขาแข็งแกร่งมาก,1,no mistake,no correction needed,no correction needed,no answer needed
chon_wua_7.jpg,IBQ,Thailand_IBQ.xlsx,chon_wua(bull fighting),บรรยากาศโดยรวมงานเป็นอย่างไรบ้าง?,(A) เป็นที่เงียบสงบและสันติ (B) แบบตึงเครียดและมีสมาธิ (C) แบบเฉลิมฉลองและรื่นเริง (D) แบบสบายๆ และผ่อนคลาย,แบบตึงเครียดและมีสมาธิ,1,no mistake,no correction needed,no correction needed,no answer needed
chon_wua_10.jpg,IBQ,Thailand_IBQ.xlsx,chon_wua(bull fighting),จุดประสงค์ของการต่อสู้คืออะไร?,(A) เพื่อสร้างอันตรายแก่กระทิง (B) เป็นพิธีกรรมในการคัดเลือกกระทิงที่แข็งแกร่งที่สุด (C) มันคือรูปแบบหนึ่งของความบันเทิง (D) มันเป็นงานพิธีกรรมทางศาสนา,มันคือรูปแบบหนึ่งของความบันเทิง,1,no mistake,no correction needed,no correction needed,no answer needed
chon_wua_10.jpg,IBQ,Thailand_IBQ.xlsx,chon_wua(bull fighting),สถานที่จัดงานครั้งนี้มีสภาพแวดล้อมแบบใด?,(A) สนามกีฬาที่ทันสมัย (B) ทุ่งโล่งกว้างและมีโคลนมากมาย (C) ลานปูหิน (D) สนามกีฬาในร่ม,ทุ่งโล่งกว้างและมีโคลนมากมาย,1,no mistake,no correction needed,no correction needed,no answer needed
chon_wua_10.jpg,IBQ,Thailand_IBQ.xlsx,chon_wua(bull fighting),บรรยากาศโดยรวมของภาพเป็นอย่างไร?,(A) แบบสนุกสนานรื่นเริง (B) เป็นเรื่องที่จริงจังและตึงเครียด (C) เป็นบรรยากาศเงียบสงบและเศร้าหมอง (D) แบบสบายๆ และผ่อนคลาย,เป็นเรื่องที่จริงจังและตึงเครียด,1,no mistake,no correction needed,no correction needed,no answer needed
chon_wua_15.jpg,IBQ,Thailand_IBQ.xlsx,chon_wua(bull fighting),ลักษณะเด่นของเขากระทิงคืออะไร?,(A) มีการตกแต่งด้วยดอกไม้ (B) มันยาวและตรงมาก (C) พวกมันสั้นและอ้วนมาก (D) มีลักษณะบิดเบี้ยวและมีรูปร่างที่เป็นเอกลักษณ์,มีลักษณะบิดเบี้ยวและมีรูปร่างที่เป็นเอกลักษณ์,1,no mistake,no correction needed,no correction needed,no answer needed
chon_wua_15.jpg,IBQ,Thailand_IBQ.xlsx,chon_wua(bull fighting),โคลนและน้ำที่กระเซ็นไปทั่วบ่งบอกอะไร?,(A) วัวกำลังเล่นอยู่ในโคลน (B) กระทิงกำลังต่อสู้กันอย่างเข้มข้นมาก (C) กระทิงอยู่ในภาวะต่อสู้ที่อ่อนแอมาก (D) กระทิงกำลังพักผ่อน,กระทิงกำลังต่อสู้กันอย่างเข้มข้นมาก,1,no mistake,no correction needed,no correction needed,no answer needed
chon_wua_20.jpg,IBQ,Thailand_IBQ.xlsx,chon_wua(bull fighting),จุดประสงค์ของผู้จัดการคืออะไร?,(A) เพื่อเป็นกำลังใจให้กระทิงสู้ต่อไป (B) เพื่อให้แน่ใจว่ากระทิงจะไม่ได้รับบาดเจ็บ (C) เพื่อควบคุมการเคลื่อนไหวของกระทิงและป้องกันไม่ให้มันออกจากสังเวียน (D) เพื่อช่วยเหลือวัวกระทิง,เพื่อควบคุมการเคลื่อนไหวของกระทิงและป้องกันไม่ให้มันออกจากสังเวียน,1,no mistake,no correction needed,no correction needed,no answer needed
chon_wua_20.jpg,IBQ,Thailand_IBQ.xlsx,chon_wua(bull fighting),เสาไม้ยาวมีไว้ทำอะไร?,(A) พวกมันไว้เพื่อการตกแต่ง (B) พวกเขาทำหน้าที่นำทางวัวกระทิง (C) พวกเขาเป็นสิ่งกั้นความปลอดภัย (D) พวกเขาเป็นเขตแดนของกระทิง,พวกเขาทำหน้าที่นำทางวัวกระทิง,1,no mistake,no correction needed,no correction needed,no answer needed
chon_wua_23.jpg,IBQ,Thailand_IBQ.xlsx,chon_wua(bull fighting),งานนี้กับชนวัวต่างกันอย่างไร?,(A) การใช้กระทิง (B) การใช้สนามชนวัว (C) การใช้ของผู้ชาย (D) การใช้ผู้ชายในเครื่องแต่งกาย,การใช้สนามชนวัว,1,no mistake,no correction needed,no correction needed,no answer needed
chon_wua_23.jpg,IBQ,Thailand_IBQ.xlsx,chon_wua(bull fighting),คนในสนามสู้วัวกระทิงมีจุดประสงค์อะไร?,(A) พวกเขาเป็นผู้ชม (B) พวกเขาเป็นผู้พิพากษา (C) พวกเขาคือนักสู้วัวกระทิง (D) พวกเขาเป็นเจ้าหน้าที่รักษาความปลอดภัย,พวกเขาคือนักสู้วัวกระทิง,1,no mistake,no correction needed,no correction needed,no answer needed
chon_wua_34.jpg,IBQ,Thailand_IBQ.xlsx,chon_wua(bull fighting),ลักษณะเด่นของร่างกายวัวกระทิงคืออะไร?,(A) พวกมันมีหลังโค้งใหญ่มาก (B) มันผอมมาก (C) พวกมันเล็กมาก (D) พวกมันไม่มีเขา,พวกมันมีหลังโค้งใหญ่มาก,1,no mistake,no correction needed,no correction needed,no answer needed
