country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
SBQ,Italy_SBQ.xlsx,Calcio,Se un giocatore fa un fallo gravecosa succede?,A. Il gioco continua B. Il giocatore viene espulso C. Il giocatore riceve un cartellino giallo D. Il gioco viene fermato,Il giocatore viene espulso,0,"The question is grammatically incorrect ('fatto un fallo gravecosa succede?' lacks space and proper punctuation). The correct answer 'Il giocatore viene espulso' is factually accurate for a serious foul in football (red card), but the question is not properly formed as a valid MCQ due to the typo. Also, option D ('Il gioco viene fermato') is also true after a serious foul, making the question ambiguous without specifying the consequence for the player. The question should clearly ask about the consequence for the player, not just 'cosa succede?'","Se un giocatore commette un fallo grave, cosa succede al giocatore?","['A. Il gioco continua', 'B. Il giocatore viene espulso', 'C. Il giocatore riceve un cartellino giallo', 'D. Il gioco viene fermato']",B. Il giocatore viene espulso
SBQ,Italy_SBQ.xlsx,Calcio,Se un giocatore commette un fallo ma non viene visto dall'arbitrocosa succede?,A. Il gioco continua B. La squadra avversaria chiede un rinvio C. Il gioco è interrotto D. La squadra guadagna un calcio di punizione,Il gioco continua,0,"The question is factually incorrect because in football (soccer), if a player commits a foul but the referee does not see it, the game may still continue, but this is not a rule-based outcome—it's a refereeing error. The correct principle is that if the referee does not see the foul, no sanction is applied, and play continues. However, the question implies this is a standard rule scenario, which is misleading. Additionally, option D ('La squadra guadagna un calcio di punizione') is incorrect because a penalty is not awarded unless the referee sees the foul. The question needs to be rephrased to reflect the official rule: 'What happens if a foul is committed but not seen by the referee?'","Se un giocatore commette un fallo ma l'arbitro non lo vede, cosa succede?","['A. Il gioco continua', 'B. La squadra avversaria chiede un rinvio', 'C. Il gioco è interrotto', 'D. La squadra guadagna un calcio di punizione']",A. Il gioco continua
SBQ,Italy_SBQ.xlsx,Calcio,Se la palla tocca il terreno fuori dal campocosa succede?,A. Il gioco continua B. La palla viene restituita alla squadra avversaria C. Il gioco è fermato D. La squadra ottiene un calcio di punizione,La palla viene restituita alla squadra avversaria,0,"The question is about a ball touching the ground outside the field, but the provided answer ('La palla viene restituita alla squadra avversaria') is incorrect for most sports. In soccer (calcio), if the ball crosses the touchline (side boundary) on the ground, the correct outcome is a throw-in to the opposing team, not a general 'restitution'. The phrasing 'restituita alla squadra avversaria' is vague and not standard terminology. Additionally, the question does not specify the sport, but given the Italian language and context, it's likely referring to soccer. The correct rule is a throw-in, not the vague option B.","Se la palla tocca il terreno oltre la linea laterale, cosa succede?","['A. Il gioco continua', 'B. Viene effettuato un lancio laterale dalla squadra avversaria', 'C. Il gioco è fermato', 'D. La squadra ottiene un calcio di punizione']",B. Viene effettuato un lancio laterale dalla squadra avversaria
SBQ,Italy_SBQ.xlsx,Calcio,Se un giocatore ferisce un avversario accidentalmentecosa succede?,A. Il gioco continua B. Il giocatore viene ammonito C. Il gioco è fermato D. Il giocatore riceve una punizione,Il gioco è fermato,0,"The question contains a spelling error: 'accidentalmentecosa' is incorrectly concatenated. Also, the options are not clearly distinct in phrasing, and 'punizione' is too vague without context (e.g., red card, penalty). The correct rule in football is that play is stopped for an accidental injury, but the answer choice 'Il gioco è fermato' is correct — however, the question's phrasing undermines its validity.","Se un giocatore ferisce un avversario accidentalmente, cosa succede?","['A. Il gioco continua', 'B. Il giocatore viene ammonito', 'C. Il gioco è fermato', 'D. Il giocatore riceve una punizione']",Il gioco è fermato
SBQ,Italy_SBQ.xlsx,Calcio,Se un giocatore segna un puntocosa succede?,A. Il gioco continua normalmente B. La squadra avversaria guadagna un calcio di punizione C. Il gioco viene fermato D. La squadra ottiene un vantaggio,Il gioco continua normalmente,0,"The question is factually incorrect because in sports like basketball or volleyball, 'segna un punto' (scores a point) does not cause the game to continue normally in the context of rules — scoring a point ends the current play and resets the game state. The correct consequence of scoring a point is that the game stops temporarily to reset, and the opposing team typically gets possession. The provided answer 'Il gioco continua normalmente' is misleading and incorrect for any standard sport where points are scored. Additionally, the question lacks specificity about the sport, making it ambiguous.","Se un giocatore segna un punto in una partita di basket, cosa succede?","['A. Il gioco continua normalmente', 'B. La squadra avversaria guadagna un calcio di punizione', 'C. Il gioco viene fermato e la squadra avversaria ottiene la palla', 'D. La squadra ottiene un vantaggio']",C. Il gioco viene fermato e la squadra avversaria ottiene la palla
SBQ,Italy_SBQ.xlsx,Calcio,Se un giocatore entra in un’area di gioco proibitacosa succede?,A. Il gioco continua B. Il giocatore riceve un calcio di punizione C. Il giocatore è espulso D. Il gioco è fermato,Il giocatore riceve un calcio di punizione,0,"The question contains a typo: 'proibitacosa' is not a valid word; it should be 'proibita'. Additionally, the scenario described is incomplete or ambiguous — entering a prohibited area in football (soccer) is not a standard rule by itself. The correct rule refers to a player entering the penalty area illegally during a goal kick or free kick, or being in an offside position, but the question lacks specificity. The provided answer ('calcio di punizione') is only correct in very specific contexts (e.g., offside or illegal entry during a restart), but not universally. The question must be clarified to match a real, standard rule.","Se un giocatore entra nell'area di rigore prima che il pallone sia calciato durante un calcio di rigore, cosa succede?","['A. Il gioco continua', 'B. Il giocatore riceve un calcio di punizione', 'C. Il giocatore è espulso', 'D. Il gioco è fermato e il calcio di rigore viene ripetuto']",D. Il gioco è fermato e il calcio di rigore viene ripetuto
SBQ,Italy_SBQ.xlsx,Calcio,Se un giocatore tocca la palla con il piede in modo violentocosa succede?,A. Il gioco continua B. La squadra avversaria riceve un calcio di punizione C. Il giocatore riceve un cartellino giallo D. Il gioco è interrotto,Il giocatore riceve un cartellino giallo,0,"The question describes a player touching the ball with the foot in a violent manner, which in football (soccer) rules is a foul, but the correct consequence is not automatically a yellow card. A yellow card is shown for unsporting behavior or reckless challenges, but if the action is deemed violent conduct (e.g., kicking or attempting to kick an opponent), it results in a red card, not a yellow. The provided answer is factually incorrect. Additionally, the question is ambiguous — it doesn't specify whether the violent contact is with an opponent or just the ball. If only the ball is touched violently, it's a direct free kick for the opposing team, not a card. The question and answer do not align with Law 12 of FIFA.","Se un giocatore tocca la palla con il piede in modo violento e irregolare contro un avversario, cosa succede?","['A. Il gioco continua', 'B. La squadra avversaria riceve un calcio di punizione', 'C. Il giocatore riceve un cartellino giallo', 'D. Il giocatore riceve un cartellino rosso']",D. Il giocatore riceve un cartellino rosso
SBQ,Italy_SBQ.xlsx,Calcio,Se un giocatore colpisce un avversario intenzionalmentecosa succede?,A. Il gioco continua B. Il giocatore riceve un cartellino rosso C. Il gioco è fermato D. Il giocatore riceve un cartellino giallo,Il giocatore riceve un cartellino rosso,0,"The question contains a spelling error: 'intenzionalmentecosa' is incorrectly concatenated. It should be 'intenzionalmente, cosa'. Additionally, the correct answer 'Il giocatore riceve un cartellino rosso' is factually accurate under FIFA rules for intentional foul against an opponent, but the question phrasing is malformed and could confuse the respondent. The options are otherwise valid, but the question must be properly punctuated to be a valid MCQ.","Se un giocatore colpisce un avversario intenzionalmente, cosa succede?","['A. Il gioco continua', 'B. Il giocatore riceve un cartellino rosso', 'C. Il gioco è fermato', 'D. Il giocatore riceve un cartellino giallo']",B. Il giocatore riceve un cartellino rosso
SBQ,Italy_SBQ.xlsx,Calcio,Se una squadra segna un puntocosa succede?,A. Il gioco continua normalmente B. La squadra avversaria guadagna un calcio di punizione C. Il gioco viene fermato D. La squadra segna due punti,Il gioco continua normalmente,0,"The question contains a typo: 'puntocosa' is not a valid word. It should be 'un punto' or 'un punto?' to make sense. Also, the correct answer 'Il gioco continua normalmente' is factually incorrect in most sports contexts where a point is scored — typically the game stops to reset (e.g., basketball, soccer after goal). In soccer, scoring a goal stops the game; in basketball, the game stops briefly. No major sport continues play immediately after a point is scored without a stoppage. Thus, the premise and answer are both flawed.","Se una squadra segna un punto, cosa succede?","['A. Il gioco viene fermato', 'B. La squadra avversaria guadagna un calcio di punizione', 'C. Il gioco continua normalmente', 'D. La squadra segna due punti']",Il gioco viene fermato
SBQ,Italy_SBQ.xlsx,Calcio,Se un giocatore calcia un calcio di punizione ma la palla va fuori dal campocosa succede?,A. La squadra avversaria guadagna la palla B. Il gioco continua normalmente C. Il calcio di punizione è ripetuto D. La squadra riceve un nuovo calcio di punizione,Il calcio di punizione è ripetuto,0,"The question is factually incorrect. According to FIFA Laws of the Game, if a direct or indirect free kick goes directly out of bounds without touching another player, the opposing team is awarded a corner kick (if the ball went out over the goal line) or a throw-in (if it went out over the touchline). The free kick is NOT repeated. The provided answer 'Il calcio di punizione è ripetuto' is wrong.","Se un giocatore calcia un calcio di punizione e la palla esce dal campo senza toccare un altro giocatore, cosa succede?","[""A. La squadra avversaria guadagna la palla con un calcio d'angolo o un calcio di rinvio"", 'B. Il gioco continua normalmente', 'C. Il calcio di punizione è ripetuto', 'D. La squadra riceve un nuovo calcio di punizione']",A. La squadra avversaria guadagna la palla con un calcio d'angolo o un calcio di rinvio
SBQ,Italy_SBQ.xlsx,Calcio,Se un giocatore tocca il terreno con le mani durante il giococosa succede?,A. Il gioco continua B. Il giocatore riceve un cartellino rosso C. Il gioco è fermato D. La squadra avversaria guadagna un calcio di punizione,Il gioco continua,0,"The question is factually incorrect. In football (soccer), if a player touches the ground with their hands (excluding the goalkeeper within their own penalty area), it is a handball offense, which results in a free kick for the opposing team. The given correct answer 'Il gioco continua' is wrong. Additionally, the phrasing 'durante il giococosa succede?' contains a typo (missing space).","Se un giocatore tocca il pallone con le mani durante il gioco, cosa succede?","['A. Il gioco continua', 'B. Il giocatore riceve un cartellino rosso', 'C. Il gioco è fermato', 'D. La squadra avversaria guadagna un calcio di punizione']",D. La squadra avversaria guadagna un calcio di punizione
SBQ,Italy_SBQ.xlsx,Calcio,Se un giocatore viene espulsocosa succede?,A. Il gioco continua normalmente B. Il giocatore deve uscire dal campo C. Il giocatore deve restare in panchina D. La squadra gioca con un giocatore in meno,Il giocatore deve uscire dal campo,0,"The question contains a spelling error ('espulsocosa' instead of 'espulso, cosa') and is grammatically incorrect, making it unclear. The provided answer 'Il giocatore deve uscire dal campo' is factually correct, but the question as written is not a valid MCQ due to poor phrasing. Additionally, option D ('La squadra gioca con un giocatore in meno') is also a correct consequence of an expulsion in soccer, so the answer is ambiguous without clearer phrasing.","Se un giocatore viene espulso, cosa succede?","['A. Il gioco continua normalmente', 'B. Il giocatore deve uscire dal campo', 'C. Il giocatore deve restare in panchina', 'D. La squadra gioca con un giocatore in meno']",Il giocatore deve uscire dal campo
SBQ,Italy_SBQ.xlsx,Calcio,Se il gioco è interrotto per un infortuniocosa succede?,A. Il gioco continua B. Il giocatore infortunato è sostituito C. Il gioco è sospeso per il tempo necessario D. Il giocatore infortunato riceve un trattamento,Il gioco è sospeso per il tempo necessario,0,"The question is ambiguous and poorly phrased. 'Se il gioco è interrotto per un infortunio' implies the game is already interrupted, so asking 'cosa succede?' is redundant or unclear. The correct rule in football (soccer) is that play is stopped for an injury, and the game resumes with a dropped ball or indirect free kick depending on context, but the provided answer 'Il gioco è sospeso per il tempo necessario' is vague and not a standard rule phrasing. Moreover, option D is also factually true (treatment is given), but the question doesn't specify if it's about immediate action or procedure. The options lack precision and the correct answer is not clearly the best choice under official rules.","Se un giocatore rimane infortunato durante il gioco, cosa deve fare l'arbitro?","['A. Il gioco continua senza interruzioni', 'B. Il giocatore infortunato è sostituito immediatamente', ""C. L'arbitro interrompe il gioco per permettere il trattamento"", 'D. Il giocatore infortunato riceve un trattamento senza interrompere il gioco']",C. L'arbitro interrompe il gioco per permettere il trattamento
SBQ,Italy_SBQ.xlsx,Calcio,Se una squadra guadagna un calcio di punizione in una zona pericolosacosa succede?,A. Il gioco continua B. Il giocatore tira il calcio di punizione C. Il gioco è fermato D. Il calcio di punizione è ripetuto,Il giocatore tira il calcio di punizione,0,"The question is factually incorrect because a free kick in a dangerous area does not automatically mean the player 'tira il calcio di punizione' as the only or immediate consequence. In football, after a free kick is awarded, the game is stopped, the kick is taken, and only then does play resume. Option B is misleading as it skips the necessary context: the game is first stopped (Option C). The question also contains a typo: 'zona pericolosacosa' should be 'zona pericolosa'. The correct logical sequence requires the game to be stopped before the kick is taken.","Se una squadra guadagna un calcio di punizione in una zona pericolosa, cosa succede?","['A. Il gioco continua', 'B. Il giocatore tira il calcio di punizione', 'C. Il gioco è fermato', 'D. Il calcio di punizione è ripetuto']",C. Il gioco è fermato
SBQ,Italy_SBQ.xlsx,Calcio,Se un giocatore non è in grado di continuare a giocare a causa di un infortuniocosa succede?,A. Il gioco continua normalmente B. Il giocatore è sostituito C. Il giocatore riceve un trattamento D. Il gioco è fermato,Il giocatore è sostituito,0,"The question is factually incorrect because in most sports (e.g., football/soccer), if a player is injured and cannot continue, the game is stopped for treatment, but substitution is not automatic — it depends on rules, available substitutes, and whether the team chooses to substitute. The correct procedural outcome is not necessarily 'Il giocatore è sostituito' — it could be 'Il gioco è fermato' for treatment. The provided answer is misleading without context. The question also lacks specificity about the sport.","Se un giocatore non è in grado di continuare a giocare a causa di un infortunio, cosa deve accadere secondo le regole del calcio?","['A. Il gioco continua normalmente', 'B. Il giocatore è sostituito', 'C. Il gioco è fermato per il trattamento e il giocatore può essere sostituito', 'D. Il giocatore riceve un trattamento senza fermare il gioco']",C. Il gioco è fermato per il trattamento e il giocatore può essere sostituito
SBQ,Italy_SBQ.xlsx,Calcio,Se un giocatore viene ammonitocosa succede?,A. Il gioco continua normalmente B. Il giocatore riceve una punizione C. Il giocatore è espulso D. Il giocatore riceve un avvertimento,Il gioco continua normalmente,0,"The question contains a typo ('ammonitocosa' instead of 'ammonito, cosa') and the correct answer provided ('Il gioco continua normalmente') is misleading. Being cautioned (ammonito) means the player receives a yellow card (warning), not that the game continues normally — while the game does continue, the primary consequence is the warning, not the continuation. The correct answer should reflect the direct consequence of a caution.","Se un giocatore viene ammonito, cosa succede?","['A. Il gioco continua normalmente', 'B. Il giocatore riceve una punizione', 'C. Il giocatore è espulso', 'D. Il giocatore riceve un avvertimento']",D. Il giocatore riceve un avvertimento
SBQ,Italy_SBQ.xlsx,Calcio,Se un giocatore fa un fallo che non è visto dall'arbitrocosa succede?,A. Il gioco continua B. Il fallo viene sanzionato retroattivamente C. Il giocatore è ammonito D. Il gioco viene fermato,Il gioco continua,0,"The question is factually incorrect. According to FIFA Laws of the Game, if a foul is not seen by the referee but is observed by an assistant referee or VAR (where applicable), the referee can still penalize it retroactively. The answer 'Il gioco continua' is only correct if no official sees the foul and there is no VAR intervention. The question implies that the foul is completely unnoticed and uncorrectable, which is misleading and not aligned with modern football rules. The question also lacks context about VAR or assistant referees, making it ambiguous.","Se un giocatore fa un fallo che non è visto dall'arbitro ma è osservato dall'arbitro ausiliario, cosa succede?","['A. Il gioco continua', 'B. Il fallo viene sanzionato retroattivamente', 'C. Il giocatore è ammonito', 'D. Il gioco viene fermato']",B. Il fallo viene sanzionato retroattivamente
SBQ,Italy_SBQ.xlsx,Calcio,Se un giocatore si avvicina troppo all'arbitrocosa succede?,A. Il gioco continua normalmente B. Il giocatore riceve un avvertimento C. Il gioco è fermato D. Il giocatore è ammonito,Il giocatore riceve un avvertimento,0,"The question is factually incorrect because approaching the referee too closely does not automatically result in a warning (avvertimento) under standard football rules. According to FIFA Laws of the Game, a player who approaches the referee too closely or shows dissent may be cautioned (ammonito), but the phrasing 'si avvicina troppo all'arbitro' alone is ambiguous and not sufficient to justify a warning without context (e.g., dissent, protest). Also, options B and D are semantically redundant in Italian — 'avvertimento' is not the official term; 'ammonito' is. The correct term for a caution is 'ammonizione', and the verb form 'è ammonito' is grammatically correct in context.","Se un giocatore si avvicina troppo all'arbitro per protestare, cosa succede?","['A. Il gioco continua normalmente', 'B. Il giocatore riceve un avvertimento', 'C. Il gioco è fermato', 'D. Il giocatore è ammonito']",D. Il giocatore è ammonito
SBQ,Italy_SBQ.xlsx,Calcio,Se un giocatore calcia la palla contro la testa di un avversariocosa succede?,A. Il gioco continua B. Il giocatore riceve un cartellino rosso C. Il giocatore riceve un cartellino giallo D. Il gioco viene fermato,Il giocatore riceve un cartellino rosso,0,"The question implies that kicking the ball against an opponent's head is automatically a red card offense, which is factually incorrect under FIFA rules. A red card is only given if the action is deemed violent conduct, reckless, or intentional. Kicking the ball accidentally into an opponent's head is not automatically a red card — it may result in a foul, a yellow card, or no card at all, depending on intent and context. The provided answer is misleading and violates fair sports rules.","Se un giocatore calcia la palla intenzionalmente contro la testa di un avversario, cosa succede?","['A. Il gioco continua', 'B. Il giocatore riceve un cartellino rosso', 'C. Il giocatore riceve un cartellino giallo', 'D. Il gioco viene fermato']",B. Il giocatore riceve un cartellino rosso
SBQ,Italy_SBQ.xlsx,Calcio,Se una squadra commette un fallo da ultimo uomocosa succede?,A. Il gioco continua normalmente B. Il giocatore viene espulso C. Il gioco è fermato D. La squadra avversaria riceve un calcio di punizione,Il giocatore viene espulso,0,"The question uses 'ultimo uomo' which is not standard terminology in football (soccer). The correct term is 'last man' in English, and in Italian it should be 'ultimo giocatore' or 'ultima persona' in context of a foul denying an obvious goal-scoring opportunity. The provided answer 'Il giocatore viene espulso' is correct in context, but the question is misleadingly phrased. Additionally, option D ('calcio di punizione') is also a correct consequence — the question fails to specify the context (e.g., denying a clear goal-scoring opportunity), making it ambiguous.","Se una squadra commette un fallo contro l'ultimo giocatore della squadra avversaria che sta per segnare, cosa succede?","['A. Il gioco continua normalmente', 'B. Il giocatore viene espulso', 'C. Il gioco è fermato', 'D. La squadra avversaria riceve un calcio di punizione']",B. Il giocatore viene espulso
SBQ,Italy_SBQ.xlsx,Calcio,Se un giocatore corre con la palla senza passarla per troppo tempocosa succede?,A. Il gioco continua B. Il giocatore è ammonito C. Il gioco viene fermato D. La squadra avversaria riceve un calcio di punizione,Il gioco continua,0,"The question and answer are factually incorrect. In basketball, running with the ball without passing or dribbling for too long is a violation called 'traveling', which results in the opposing team getting a turnover (not continuation of play). The correct outcome is that the game is stopped and the ball is awarded to the opposing team, typically via a throw-in, not a free kick (which is a soccer term). The provided answer 'Il gioco continua' is wrong. Additionally, option D incorrectly uses 'calcio di punizione' (free kick), which is soccer terminology, not basketball.","Se un giocatore corre con la palla senza dribblarla per troppo tempo, cosa succede?","['A. Il gioco continua', 'B. Il giocatore è ammonito', 'C. Il gioco viene fermato e la palla viene assegnata alla squadra avversaria', 'D. La squadra avversaria riceve un calcio di punizione']",C. Il gioco viene fermato e la palla viene assegnata alla squadra avversaria
SBQ,Italy_SBQ.xlsx,Calcio,Se un giocatore tiene la palla troppo a lungo senza cercare di segnarecosa succede?,A. Il gioco continua B. Il giocatore riceve un avvertimento C. Il gioco viene fermato D. La squadra avversaria riceve un calcio di punizione,Il gioco viene fermato,0,"The question is factually incorrect in the context of football (soccer). Holding the ball too long without attempting to score is not a violation in football; however, the rule being referenced is likely the 'three-second rule' in basketball or 'time-wasting' in football, which is penalized differently. In football, if a goalkeeper holds the ball for more than six seconds, the game is stopped and an indirect free kick is awarded to the opposing team. The question does not specify the player's position or sport context clearly, leading to ambiguity. The provided answer 'Il gioco viene fermato' is incomplete without specifying the consequence (e.g., free kick).","Se un portiere tiene la palla per più di sei secondi senza calciarla, cosa succede?","['A. Il gioco continua', 'B. Il giocatore riceve un avvertimento', ""C. Il gioco viene fermato e la squadra avversaria riceve un calcio d'angolo"", 'D. Il gioco viene fermato e la squadra avversaria riceve un calcio di punizione indiretto']",D. Il gioco viene fermato e la squadra avversaria riceve un calcio di punizione indiretto
SBQ,Italy_SBQ.xlsx,Calcio,Se un giocatore è fuori gioco durante il giococosa succede?,A. Il gioco continua B. La squadra avversaria guadagna un calcio di punizione C. Il gioco è fermato D. Il giocatore è espulso,Il gioco è fermato,0,"The question contains a grammatical error: 'durante il giococosa' is a concatenation of 'durante il gioco' and 'cosa' without a space, making it unreadable. Also, the phrasing is awkward and ambiguous. The correct term in football is 'fuori gioco' (offside), and the standard consequence is that play is stopped and an indirect free kick is awarded to the opposing team. Option B is technically more accurate than C, but the question as written does not reflect the official rule precisely.","Se un giocatore è fuori gioco durante il gioco, cosa succede?","['A. Il gioco continua', 'B. La squadra avversaria guadagna un calcio di punizione indiretto', 'C. Il gioco è fermato', 'D. Il giocatore è espulso']",B. La squadra avversaria guadagna un calcio di punizione indiretto
SBQ,Italy_SBQ.xlsx,Calcio,Se un giocatore fa un'entrata pericolosacosa succede?,A. Il gioco continua B. Il giocatore riceve un cartellino rosso C. Il giocatore riceve un cartellino giallo D. Il gioco viene fermato,Il giocatore riceve un cartellino rosso,0,"The question contains a typo: 'entrata pericolosacosa' is incorrectly written as one word. It should be 'entrata pericolosa'. Additionally, the correct answer provided ('cartellino rosso') is not always accurate — a dangerous tackle typically results in a yellow card for reckless play, and only a red card if it's excessive force or endangers the opponent's safety. The question as phrased is ambiguous and does not specify the severity, making the provided answer potentially incorrect according to FIFA rules. The most accurate default for a dangerous tackle is a yellow card.","Se un giocatore fa un'entrata pericolosa, cosa succede?","['A. Il gioco continua', 'B. Il giocatore riceve un cartellino rosso', 'C. Il giocatore riceve un cartellino giallo', 'D. Il gioco viene fermato']",Il giocatore riceve un cartellino giallo
SBQ,Italy_SBQ.xlsx,Calcio,Se un giocatore segnando un gol ma tocca la linea di porta primacosa succede?,A. Il gol è valido B. Il gioco continua C. Il gol non è valido D. Il gioco viene fermato,Il gol non è valido,0,"The question contains a grammatical and logical error: 'tocca la linea di porta primacosa' is nonsensical and appears to be a corrupted phrase. It likely intended to say 'tocca la linea di porta prima che la palla attraversi completamente' or similar, but as written, it makes no clear reference to the rule. Additionally, the correct rule is that a goal is valid if the entire ball crosses the goal line between the posts and under the crossbar, regardless of a player touching the line. The provided answer 'Il gol non è valido' is incorrect under standard football rules.","Se un giocatore segna un gol ma tocca la linea di porta prima che la palla attraversi completamente la linea, cosa succede?","['A. Il gol è valido', 'B. Il gioco continua', 'C. Il gol non è valido', 'D. Il gioco viene fermato']",A. Il gol è valido
