Started at: 10:07:28

📌 Processing: /DATA/rohan_kirti/country/indonesia/HBQ/Indonesia_HBQ.xlsx
✅ Saved → HBQ | badminton | Row 0
✅ Saved → HBQ | badminton | Row 1
✅ Saved → HBQ | badminton | Row 2
✅ Saved → HBQ | badminton | Row 3
✅ Saved → HBQ | badminton | Row 4
✅ Saved → HBQ | badminton | Row 5
✅ Saved → HBQ | badminton | Row 6
✅ Saved → HBQ | badminton | Row 7
✅ Saved → HBQ | badminton | Row 8
✅ Saved → HBQ | badminton | Row 9
✅ Saved → HBQ | badminton | Row 10
✅ Saved → HBQ | badminton | Row 11
✅ Saved → HBQ | badminton | Row 12
✅ Saved → HBQ | badminton | Row 13
✅ Saved → HBQ | badminton | Row 14
✅ Saved → HBQ | badminton | Row 15
✅ Saved → HBQ | badminton | Row 16
✅ Saved → HBQ | badminton | Row 17
✅ Saved → HBQ | badminton | Row 18
✅ Saved → HBQ | badminton | Row 19
✅ Saved → HBQ | badminton | Row 20
✅ Saved → HBQ | badminton | Row 21
✅ Saved → HBQ | badminton | Row 22
✅ Saved → HBQ | badminton | Row 23
✅ Saved → HBQ | badminton | Row 24
✅ Saved → HBQ | badminton | Row 25
✅ Saved → HBQ | badminton | Row 26
✅ Saved → HBQ | badminton | Row 27
✅ Saved → HBQ | badminton | Row 28
✅ Saved → HBQ | badminton | Row 29
✅ Saved → HBQ | badminton | Row 30
✅ Saved → HBQ | badminton | Row 31
✅ Saved → HBQ | badminton | Row 32
✅ Saved → HBQ | badminton | Row 33
✅ Saved → HBQ | badminton | Row 34
✅ Saved → HBQ | badminton | Row 35
✅ Saved → HBQ | badminton | Row 37
✅ Saved → HBQ | badminton | Row 38
✅ Saved → HBQ | badminton | Row 39
✅ Saved → HBQ | badminton | Row 40
✅ Saved → HBQ | badminton | Row 41
✅ Saved → HBQ | badminton | Row 42
✅ Saved → HBQ | badminton | Row 43
✅ Saved → HBQ | badminton | Row 44
✅ Saved → HBQ | badminton | Row 45
✅ Saved → HBQ | badminton | Row 46
✅ Saved → HBQ | badminton | Row 47
✅ Saved → HBQ | badminton | Row 48
✅ Saved → HBQ | badminton | Row 49
✅ Saved → HBQ | badminton | Row 50
✅ Saved → HBQ | badminton | Row 51
✅ Saved → HBQ | badminton | Row 52
✅ Saved → HBQ | badminton | Row 53
✅ Saved → HBQ | badminton | Row 54
✅ Saved → HBQ | badminton | Row 55
✅ Saved → HBQ | badminton | Row 56
✅ Saved → HBQ | badminton | Row 57
✅ Saved → HBQ | badminton | Row 58
✅ Saved → HBQ | badminton | Row 59
✅ Saved → HBQ | karapan sapi | Row 0
✅ Saved → HBQ | karapan sapi | Row 1
✅ Saved → HBQ | karapan sapi | Row 2
✅ Saved → HBQ | karapan sapi | Row 3
✅ Saved → HBQ | karapan sapi | Row 4
✅ Saved → HBQ | karapan sapi | Row 5
✅ Saved → HBQ | karapan sapi | Row 6
✅ Saved → HBQ | karapan sapi | Row 7
✅ Saved → HBQ | karapan sapi | Row 8
✅ Saved → HBQ | karapan sapi | Row 9
✅ Saved → HBQ | karapan sapi | Row 10
✅ Saved → HBQ | karapan sapi | Row 11
✅ Saved → HBQ | karapan sapi | Row 12
✅ Saved → HBQ | karapan sapi | Row 13
✅ Saved → HBQ | karapan sapi | Row 14
✅ Saved → HBQ | karapan sapi | Row 15
✅ Saved → HBQ | karapan sapi | Row 16
✅ Saved → HBQ | karapan sapi | Row 17
✅ Saved → HBQ | karapan sapi | Row 18
✅ Saved → HBQ | karapan sapi | Row 19
✅ Saved → HBQ | karapan sapi | Row 20
✅ Saved → HBQ | karapan sapi | Row 21
✅ Saved → HBQ | karapan sapi | Row 22
✅ Saved → HBQ | karapan sapi | Row 23
✅ Saved → HBQ | karapan sapi | Row 24
✅ Saved → HBQ | karapan sapi | Row 25
✅ Saved → HBQ | karapan sapi | Row 26
✅ Saved → HBQ | karapan sapi | Row 27
✅ Saved → HBQ | karapan sapi | Row 28
✅ Saved → HBQ | karapan sapi | Row 29
✅ Saved → HBQ | karapan sapi | Row 30
✅ Saved → HBQ | karapan sapi | Row 31
✅ Saved → HBQ | karapan sapi | Row 33
✅ Saved → HBQ | karapan sapi | Row 34
✅ Saved → HBQ | karapan sapi | Row 35
✅ Saved → HBQ | karapan sapi | Row 36
✅ Saved → HBQ | karapan sapi | Row 37
✅ Saved → HBQ | karapan sapi | Row 38
✅ Saved → HBQ | karapan sapi | Row 39
✅ Saved → HBQ | karapan sapi | Row 40
✅ Saved → HBQ | karapan sapi | Row 41
✅ Saved → HBQ | karapan sapi | Row 42
✅ Saved → HBQ | karapan sapi | Row 43
✅ Saved → HBQ | karapan sapi | Row 44
✅ Saved → HBQ | karapan sapi | Row 45
✅ Saved → HBQ | karapan sapi | Row 46
✅ Saved → HBQ | karapan sapi | Row 47
