country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
HBQ,HBQ_Germany.xlsx,Rowing,Wann fand das erste dokumentierte Ruderrennen statt?,A. Im Jahr 1715 B. Im Jahr 1829 C. Im Jahr 1490 D. Im Jahr 1865,Im Jahr 1715,0,"The question asks for the first documented rowing race, but the provided correct answer (1715) is incorrect. The first documented rowing race took place in 1829 between Oxford and Cambridge universities. The year 1715 is not historically accurate for the first documented rowing race.",Wann fand das erste dokumentierte Ruderrennen zwischen Oxford und Cambridge statt?,"['A. Im Jahr 1715', 'B. Im Jahr 1829', 'C. Im Jahr 1490', 'D. Im Jahr 1865']",Im Jahr 1829
HBQ,HBQ_Germany.xlsx,Rowing,Welches ist das älteste bekannte Ruderrennen der Welt?,A. Das Oxford-Cambridge-Ruderrennen B. Das Doggett's Coat and Badge Race C. Die Henley Royal Regatta D. Die Ruder-Weltmeisterschaft,The Doggett's Coat and Badge Race,1,no mistake,no correction needed,no correction needed,Das Doggett's Coat and Badge Race
HBQ,HBQ_Germany.xlsx,Rowing,Wann fand die erste Oxford-Cambridge Bootsrace statt?,A. 1829 B. 1920 C. 1905 D. 1850,1829,1,no mistake,no correction needed,no correction needed,no answer needed
HBQ,HBQ_Germany.xlsx,Rowing,In welchem Jahr wurde Rudern erstmals bei den Olympischen Spielen eingeführt?,A. 1896 B. 1900 C. 1924 D. 1936,1900,0,"Rudern (rowing) was indeed introduced at the 1900 Paris Olympics, but it was also scheduled for the 1896 Athens Olympics; however, the 1896 rowing events were canceled due to bad weather. Therefore, stating 1900 as the first introduction is factually correct, but the question is misleading because it implies 1896 was a valid introduction. To avoid ambiguity, the question should specify 'first held' or 'first successfully held' instead of 'erstmals eingeführt', which can be interpreted as 'first introduced' (including planned but canceled events).",In welchem Jahr wurde Rudern erstmals erfolgreich bei den Olympischen Spielen ausgetragen?,"['A. 1896', 'B. 1900', 'C. 1924', 'D. 1936']",B. 1900
HBQ,HBQ_Germany.xlsx,Rowing,Welche Nation hat die meisten olympischen Goldmedaillen im Rudern gewonnen?,A. USA B. Deutschland C. Großbritannien D. Italien,USA,0,"The provided correct answer 'USA' is factually incorrect. As of the most recent Olympic data (up to Tokyo 2020), Great Britain (Großbritannien) has won the most Olympic gold medals in rowing, not the USA. The USA is high on the list but does not lead in gold medals in this sport.",Welche Nation hat die meisten olympischen Goldmedaillen im Rudern gewonnen?,"['A. USA', 'B. Deutschland', 'C. Großbritannien', 'D. Italien']",C. Großbritannien
HBQ,HBQ_Germany.xlsx,Rowing,Welcher Wettbewerb wird oft als das prestigeträchtigste Ruderrennen der Welt angesehen?,A. Henley Royal Regatta B. Das Boat Race C. Ruder-Weltmeisterschaft D. Head of the Charles,Henley Royal Regatta,0,"The question asks for the most prestigious rowing event in the world, and while Henley Royal Regatta is highly prestigious, the correct answer among the options is actually 'Das Boat Race' (The Boat Race) in many international contexts, especially when considering historic rivalry and global recognition. However, Henley Royal Regatta is widely regarded as the most prestigious in terms of tradition, exclusivity, and royal patronage. The real issue is that option B ('Das Boat Race') is in German while the question and other options are in German too — but 'Das Boat Race' is not the standard German term; it should be 'Das Boot-Rennen'. Also, the correct answer 'Henley Royal Regatta' is in English, not German, which breaks language consistency. The question and options must be uniformly in German for coherence.",Welcher Wettbewerb wird oft als das prestigeträchtigste Ruderrennen der Welt angesehen?,"['A. Henley Royal Regatta', 'B. Das Boot-Rennen', 'C. Ruder-Weltmeisterschaft', 'D. Head of the Charles']",A. Henley Royal Regatta
HBQ,HBQ_Germany.xlsx,Rowing,"Wann wurde die FISA, der internationale Ruderverband, gegründet?",A. 1892 B. 1900 C. 1888 D. 1912,1892,1,no mistake,no correction needed,no correction needed,A. 1892
HBQ,HBQ_Germany.xlsx,Rowing,Welches Land gewann die erste Weltmeisterschaft im Rudern im Jahr 1962?,A. Sowjetunion B. USA C. Deutschland D. Großbritannien,Sowjetunion,0,"The first World Championship in rowing was held in 1962, but it was not won by the Soviet Union. The correct winner was the United States. The question is factually incorrect as stated.",Welches Land gewann die erste Weltmeisterschaft im Rudern im Jahr 1962?,"['A. Sowjetunion', 'B. USA', 'C. Deutschland', 'D. Großbritannien']",B. USA
HBQ,HBQ_Germany.xlsx,Rowing,Wann wurde die Henley Royal Regatta gegründet?,A. 1839 B. 1900 C. 1850 D. 1820,1839,1,no mistake,no correction needed,no correction needed,no answer needed
HBQ,HBQ_Germany.xlsx,Rowing,Welcher Ruderer gewann bei den Olympischen Spielen 2000 in Sydney drei Goldmedaillen?,A. Steve Redgrave B. Matthew Pinsent C. James Cracknell D. Mahe Drysdale,Steve Redgrave,0,"Steve Redgrave won two gold medals at the 2000 Sydney Olympics, not three. He won three golds in 1984, 1988, 1992, 1996, and 2000 combined, but only two in Sydney (men's coxless four and men's eight). The correct athlete who won three golds at the 2000 Sydney Olympics is Matthew Pinsent, who won in the coxless four (with Steve Redgrave, James Cracknell, and Tim Foster), the eight, and also the coxless four was his third medal — wait, actually Pinsent won two golds in Sydney: coxless four and eight. Correction: No rower won three golds in Sydney 2000. The only rower to win three golds in a single Olympics in modern history is not applicable here. The question is factually wrong because no rower won three golds in Sydney 2000. Steve Redgrave won two, Pinsent won two, Cracknell won two. The correct fact is that Steve Redgrave won his fifth consecutive gold medal in Sydney 2000 (his third in the coxless four and second in the eight), but still only two medals total in 2000. The question falsely claims someone won three golds in Sydney 2000 — which never happened. Therefore, the question is factually incorrect.",Welcher Ruderer gewann bei den Olympischen Spielen 2000 in Sydney zwei Goldmedaillen und damit seinen fünften olympischen Goldmedaillen insgesamt?,"['A. Steve Redgrave', 'B. Matthew Pinsent', 'C. James Cracknell', 'D. Mahe Drysdale']",A. Steve Redgrave
