country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলায় খেলার মূল লক্ষ্য কী?,"ক) গোল করা, খ) লক্ষ্যবস্তুতে আঘাত করা, গ) বলটি দীর্ঘ সময় ধরে ধরে রাখা, ঘ) অন্য দলকে গোল করা থেকে বিরত রাখা",খ) লক্ষ্যবস্তু ধ্বংস করা,0,"The question asks about the main objective of 'বলি খেলা' (Boli Khela), but the provided correct answer refers to 'লক্ষ্যবস্তু ধ্বংস করা' (destroying the target), which is inconsistent with the question's phrasing. Additionally, 'বলি খেলা' is not a recognized sport; it is likely a mistranslation or misnomer for 'বলি খেলা' as in 'Boli' (a traditional Bengali game involving throwing a ball at a target, often a wooden structure). The question should refer to the actual objective of the traditional game, which is to hit or knock down a target (like a wooden pillar or structure). The answer option in the question says 'লক্ষ্যবস্তুতে আঘাত করা', but the correct answer is written as 'লক্ষ্যবস্তু ধ্বংস করা' — this mismatch makes the MCQ invalid. The options and answer must align in wording and meaning.",বলি খেলায় খেলার মূল লক্ষ্য কী?,"['ক) গোল করা', 'খ) লক্ষ্যবস্তুতে আঘাত করা', 'গ) বলটি দীর্ঘ সময় ধরে ধরে রাখা', 'ঘ) অন্য দলকে গোল করা থেকে বিরত রাখা']",খ) লক্ষ্যবস্তুতে আঘাত করা
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলায় ব্যবহৃত পাথরের ওজন কত?,"A) 2-3 কেজি, B) 3-4 কেজি, C) 4-5 কেজি, D) 5-6 কেজি",গ) ৪-৫ কেজি,0,"The question refers to 'বলি খেলায় ব্যবহৃত পাথরের ওজন' (weight of stone used in Boli game), but 'বলি' is likely a misspelling or misrendering of 'বোলি' or 'বোলি খেলা', which is a traditional Bengali sport also known as 'Kho-Kho' or 'Gilli Danda' in some regions — however, no standard traditional game called 'বলি' uses a stone. The correct game referred to here is likely 'কাবাডি' (Kabaddi) or 'বোলি' (a variant of stone-throwing or stone-lifting game in rural Bengal). But more accurately, the intended game is probably 'হাতি বোলি' or 'পাথর বোলি', a traditional Bengali stone-throwing game where a stone of 4-5 kg is used. The term 'বলি' is ambiguous and incorrect; it should be 'বোলি'.",বোলি খেলায় ব্যবহৃত পাথরের ওজন কত?,"['A) 2-3 কেজি', 'B) 3-4 কেজি', 'C) 4-5 কেজি', 'D) 5-6 কেজি']",গ) ৪-৫ কেজি
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলা খেলার সাধারণ সময়কাল কত?,"ক) ১০-২০ মিনিট, খ) ৩০-৪০ মিনিট, গ) ১-২ ঘন্টা, ঘ) ২-৩ ঘন্টা",খ) ৩০-৪০ মিনিট,0,"The question asks about 'বলি খেলা' (Boli Khela), which is not a recognized or standard sport. It appears to be a mistranslation or misinterpretation of 'বলি খেলা' as a formal sport with a defined time duration. In reality, 'বলি খেলা' may refer to 'Boli Khela' — a traditional Bengali rural game involving wrestling or physical contest, but it does not have a standardized time duration like professional sports. The provided answer (30-40 minutes) is arbitrary and not factually supported. The question is misleading and not valid as a standard MCQ.",বাংলাদেশের জনপ্রিয় ঐতিহ্যবাহী ক্রীড়া কুস্তির একটি রূপ কোনটি?,"['ক) বলি খেলা', 'খ) কাবাডি', 'গ) ফুটবল', 'ঘ) ক্রিকেট']",ক) বলি খেলা
RBQ,Bangladesh_RBQ.xlsx,boli khela,"বলি খেলায়, একটি খেলায় কয়টি দল অংশগ্রহণ করে?","ক) ১, খ) ২, গ) ৩, ঘ) ৪",খ) ২,0,"The question is factually incorrect because 'বলি' (Boli) is not a recognized sport. It appears to be a misspelling or misinterpretation of 'বলি' as 'বলি খেলা' (Boli Khela), which is not a standard sport. The intended sport is likely 'বাস্কেটবল' (Basketball) or 'ফুটবল' (Football), both of which involve 2 teams. The question as written does not refer to a real sport, making the MCQ invalid.","বাস্কেটবল খেলায়, একটি খেলায় কয়টি দল অংশগ্রহণ করে?","['ক) ১', 'খ) ২', 'গ) ৩', 'ঘ) ৪']",খ) ২
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলায় ব্যবহৃত পাথরের নাম কী?,"ক) বলি, খ) খিল, গ) গোলা, ঘ) পট",ক) বলি,0,"The question 'বলি খেলায় ব্যবহৃত পাথরের নাম কী?' is circular and logically flawed because it asks for the name of the stone used in 'বলি খেলা', but 'বলি' itself is the name of the stone or the game — making the question self-referential and confusing. Additionally, 'বলি খেলা' is not a standard term for the sport; the correct term is 'ক্যাম্প বলি' or 'stone throwing' in Bengali/Assamese context, where the stone is called 'বলি'. The question should ask for the name of the stone used in the sport, not refer to the sport by the stone's name.",ক্যাম্প বলি খেলায় ব্যবহৃত পাথরের নাম কী?,"['ক) বলি', 'খ) খিল', 'গ) গোলা', 'ঘ) পট']",ক) বলি
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলায় পাথর নিক্ষেপের জন্য প্রয়োজনীয় দূরত্ব কত?,"ক) ১০ মিটার, খ) ২০ মিটার, গ) ৩০ মিটার, ঘ) ৪০ মিটার",খ) ২০ মিটার,0,"The question refers to 'বলি খেলায় পাথর নিক্ষেপ' (stone throwing in Boli game), but 'Boli' is not a recognized or standardized sport with official rules for stone throwing. This appears to be a confusion or misstatement—likely intending to refer to 'Hammer Throw' (হামার থ্রো) in athletics, where the standard throwing circle diameter is 2.135m and the sector distance is around 30m for competition, but the question incorrectly frames it as 'stone throwing in Boli'. The provided answer of 20 meters is not accurate for any recognized sport involving stone throwing. The term 'Boli' may be a regional or colloquial misreference to 'Shot Put' or 'Hammer Throw', but as written, the question is factually incorrect and misleading.",হামার থ্রো খেলায় প্রয়োজনীয় নিক্ষেপ দূরত্ব কত?,"['���) ১০ মিটার', 'খ) ২০ মিটার', 'গ) ৩০ মিটার', 'ঘ) ৪০ মিটার']",গ) ৩০ মিটার
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলায় লক্ষ্যবস্তুর আকার কত?,"ক) ১ মিটার ব্যাস, খ) ২ মিটার ব্যাস, গ) ৩ মিটার ব্যাস, ঘ) ৪ মিটার ব্যাস",খ) ব্যাস ২ মিটার,0,"The question asks about 'লক্ষ্যবস্তুর আকার' (target size) in 'বলি খেলা' (Boli Khela), but 'বলি খেলা' is not a recognized or standard sport with a defined target of 2-meter diameter. This appears to be a confusion with 'বোলি' (Boli) as a local or folk game, or possibly a misstatement of 'ক্রিকেট' (cricket) or 'বলি বোলিং' (bolo bowling). The term 'বলি খেলা' is ambiguous and not standard in sports terminology. Additionally, the provided answer of 2-meter diameter target is factually incorrect for any known sport referred to as 'বলি খেলা'.",বোলি বোলিং খেলায় লক্ষ্যবস্তুর (বোলি) ব্যাস কত?,"['ক) ১ মিটার ব্যাস', 'খ) ২ মিটার ব্যাস', 'গ) ৩ মিটার ব্যাস', 'ঘ) ৪ মিটার ব্যাস']",ক) ১ মিটার ব্যাস
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলায় যদি পাথরটি লক্ষ্যবস্তুতে আঘাত করে তাহলে কী হবে?,"ক) খেলা শেষ, খ) দলটি একটি পয়েন্ট অর্জন করে, গ) দলটি অযোগ্য ঘোষণা করা হয়, ঘ) খেলাটি কোনও পরিবর্তন ছাড়াই চলতে থাকে",খ) দলটি একটি পয়েন্ট অর্জন করে,0,"The question refers to 'বলি খেলায়' (Boli game) and 'পাথরটি' (the stone), which is not a recognized or standard sport. There is no official sport called 'Boli' in which a stone is thrown at a target for scoring. This appears to be a confusion with 'Kho Kho', 'Stone throwing', or possibly 'Jallikattu' or 'Lathi Khela', but none match the description accurately. The given answer ('দলটি একটি পয়েন্ট অর্জন করে') assumes a scoring rule that does not exist in any known regulated sport under this description. The question is factually incorrect and not a valid MCQ.",খেলায় যদি বলটি লক্ষ্যবস্তুতে আঘাত করে তাহলে কী হবে?,"['ক) খেলা শেষ', 'খ) দলটি একটি পয়েন্ট অর্জন করে', 'গ) দলট��� অযোগ্য ঘোষণা করা হয়', 'ঘ) খেলাটি কোনও পরিবর্তন ছাড়াই চলতে থাকে']",খ) দলটি একটি পয়েন্ট অর্জন করে
RBQ,Bangladesh_RBQ.xlsx,boli khela,"বলি খেলায়, বিজয়ী দল কীভাবে নির্ধারিত হয়?","ক) সর্বোচ্চ সংখ্যক পয়েন্টের ভিত্তিতে, খ) দ্রুততম নিক্ষেপের ভিত্তিতে, গ) সর্বাধিক সংখ্যক সফল নিক্ষেপের ভিত্তিতে, ঘ) দীর্ঘতম দূরত্বের নিক্ষেপের ভিত্তিতে",ক) সর্বোচ্চ পয়েন্ট সংখ্যা অনুসারে,0,"The question mentions 'বলি খেলায়' (Boli Khela), which is not a recognized sport. It appears to be a mistranslation or misstatement of 'বাস্কেটবল' (basketball). The correct sport being referred to is likely basketball, where the winning team is determined by the highest score (points). The provided answer is correct for basketball, but the question is factually wrong due to the incorrect sport name.","বাস্কেটবল খেলায়, বিজয়ী দল কীভাবে নির্ধারিত হয়?","['ক) সর্বোচ্চ সংখ্যক পয়েন্টের ভিত্তিতে', 'খ) দ্রুততম নিক্ষেপের ভিত্তিতে', 'গ) সর্বাধিক সংখ্যক সফল নিক্ষেপের ভিত্তিতে', 'ঘ) দীর্ঘতম দূরত্বের নিক্ষেপের ভিত্তিতে']",ক) সর্বোচ্চ সংখ্যক পয়েন্টের ভিত্তিতে
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলা বছরের ঐতিহ্যবাহী সময় কোনটি?,"ক) শীতকাল, খ) বসন্তকাল, গ) গ্রীষ্মকাল, ঘ) শরৎকাল",খ) বসন্তকাল,0,"The question 'বলি খেলা বছরের ঐতিহ্যবাহী সময় কোনটি?' is factually incorrect. 'বলি খেলা' (Boli Khela) is a traditional Bengali sport, primarily played during the Bengali New Year (পৌষ সংক্রান্তি) in mid-January, which falls in the winter season (শীতকাল), not spring (বসন্তকাল). The provided correct answer is wrong.",বলি খেলা বছরের ঐতিহ্যবাহী সময় কোনটি?,"['ক) শীতকাল', 'খ) বসন্তকাল', 'গ) গ্রীষ্মকাল', 'ঘ) শরৎকাল']",ক) শীতকাল
