country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
SBQ,Bangladesh_SBQ.xlsx,boli khela,"একটি বলি খেলা ম্যাচে, খেলোয়াড় A সফলভাবে একটি বল ছুঁড়ে মারে যা খেলোয়াড় B কে আউট করে দেয়, কিন্তু খেলোয়াড় B থ্রো করার সময় লাঠিটি ধরে ছিল। এরপর কী হবে?","A) খেলোয়াড় A অবৈধ থ্রোয়ের জন্য অযোগ্য ঘোষণা করা হয়েছে, B) খেলোয়াড় B কে নক আউট বলে গণ্য করা হয়েছে, C) কোনও পরিবর্তন ছাড়াই খেলা চলতে থাকে, D) খেলোয়াড় B লাঠি ধরে রাখার জন্য শাস্তি পেয়েছে",ঘ) খেলোয়াড় খ লাঠি ধরে রাখার জন্য শাস্তি পেয়েছে,0,"The question contains a factual error: 'বলি খেলা' is not a recognized sport; it appears to be a mistranslation or confusion with 'ক্রিকেট' (cricket). Additionally, the scenario describes a 'থ্রো' (throw) where a batsman holds the bat — this is irrelevant in cricket rules. In cricket, a batsman is not out for holding the bat during a throw; the bat must be in hand to play the shot, but holding it is not a foul. The described rule violation does not exist in any standard sport. The answer option D claims punishment for holding the bat, which is not a real rule. The entire scenario is based on a false premise.","একটি ক্রিকেট ম্যাচে, খেলোয়াড় A সফলভাবে একটি বল ছুঁড়ে মারে যা খেলোয়াড় B-এর উইকেট ভাঙে, কিন্তু খেলোয়াড় B থ্রো করা��� সময় লাঠিটি ধরে ছিল। এরপর কী হবে?","['A) খেলোয়াড় A অবৈধ থ্রোয়ের জন্য অযোগ্য ঘোষণা করা হয়েছে', 'B) খেলোয়াড় B কে নক আউট বলে গণ্য করা হয়েছে', 'C) কোনও পরিবর্তন ছাড়াই খেলা চলতে থাকে', 'D) খেলোয়াড় B লাঠি ধরে রাখার জন্য শাস্তি পেয়েছে']",B) খেলোয়াড় B কে নক আউট বলে গণ্য করা হয়েছে
SBQ,Bangladesh_SBQ.xlsx,boli khela,"বলি খেলা খেলার সময়, খেলোয়াড় A বল ছুঁড়তে যাচ্ছিল, কিন্তু আম্পায়ার লক্ষ্য করলেন খেলোয়াড় B এর দলের মাঠে অনুমোদিত সংখ্যক খেলোয়াড় রয়েছে। কী ব্যবস্থা নেওয়া উচিত?","A) খেলোয়াড় A তাদের থ্রো হারায় এবং খেলোয়াড় B কে শাস্তি দেওয়া হয়, B) খেলোয়াড় B কে তাৎক্ষণিকভাবে অযোগ্য ঘোষণা করা হয়, C) দলগুলিকে সংশোধন করার জন্য খেলাটি বিরতি দেওয়া হয়, D) খেলোয়াড় A এর দল পয়েন্ট জিতে নেয়",গ) দলগুলিকে সংশোধন করার জন্য খেলাটি বিরতি দেওয়া হয়েছে,0,"The question mentions 'বলি খেলা' (balli khela), which is not a recognized sport. The context and rules described (e.g., throw, number of players on field, referee intervention) suggest the intended sport is 'বাস্কেটবল' (basketball) or 'ফুটবল' (football), but 'বলি খেলা' is ambiguous or incorrect. Additionally, the correct answer option is labeled as 'গ)' in the answer key but the options are labeled as A, B, C, D in English letters — this is inconsistent. The answer description also uses past tense 'হয়েছে' which doesn't match the question's present tense structure.","বাস্কেটবল খেলার সময়, খেলোয়াড় A বল ছুঁড়তে যাচ্ছিল, কিন্তু আম্পায়ার লক্ষ্য করলেন খেলোয়াড় B এর দলের মাঠে অনুমোদিত স��খ্যক খেলোয়াড় রয়েছে। কী ব্যবস্থা নেওয়া উচিত?","['A) খেলোয়াড় A তাদের থ্রো হারায় এবং খেলোয়াড় B কে শাস্তি দেওয়া হয়', 'B) খেলোয়াড় B কে তাৎক্ষণিকভাবে অযোগ্য ঘোষণা করা হয়', 'C) দলগুলিকে সংশোধন করার জন্য খেলাটি বিরতি দেওয়া হয়', 'D) খেলোয়াড় A এর দল পয়েন্ট জিতে নেয়']",C) দলগুলিকে সংশোধন করার জন্য খেলাটি বিরতি দেওয়া হয়
SBQ,Bangladesh_SBQ.xlsx,boli khela,"বলি খেলা খেলার সময়, খেলোয়াড় A খেলোয়াড় B কে বল দিয়ে সফলভাবে আঘাত করে কিন্তু খেলোয়াড় B ছিটকে পড়া এড়াতে সক্ষম হয়। খেলার পরবর্তী ধাপ কী?","A) খেলোয়াড় B কে ছিটকে দেওয়া হয়, B) খেলোয়াড় A কে নিয়ম না মানার জন্য শাস্তি দেওয়া হয়, C) খেলাটি কোনও শাস্তি ছাড়াই চলতে থাকে, D) খেলোয়াড় B কে কিছুক্ষণের জন্য মাঠ ছেড়ে যেতে হয়।",গ) খেলাটি কোনও পেনাল্টি ছাড়াই চলতে থাকে,0,"The question refers to 'বলি খেলা' (Boli Khela), which is not a recognized or standardized sport with official rules. The scenario described (hitting a player with a ball and they avoid falling) does not correspond to any known sport's regulations, making the question factually invalid. Additionally, the correct answer option is labeled as 'গ)' in the answer key but the options are labeled as A, B, C, D — this inconsistency further invalidates the MCQ structure.","বলি খেলা খেলার সময়, খেলোয়াড় A খেলোয়াড় B কে বল দিয়ে সফলভাবে আঘাত করে কিন্তু খেলোয়াড় B ছিটকে পড়া এড়াতে সক্ষম হয়। খেলার পরবর্তী ধাপ কী?","['A) খেলোয়াড় B কে ছিটকে দেওয়া হয়', 'B) খেলোয়াড় A কে নিয়ম না মানার জন্য শাস্তি দেওয়া হয়', 'C) খেলাটি কোনও শাস্তি ছাড়াই চলতে থাকে', 'D) খেলোয়াড় B কে কিছুক্ষণের জন্য মাঠ ছেড়ে যেতে হয়']",C) খেলাটি কোনও শাস্তি ছাড়াই চলতে থাকে
SBQ,Bangladesh_SBQ.xlsx,boli khela,"বলি খেলা ম্যাচে, খেলোয়াড় A বল ছুঁড়ে মারে কিন্তু তা লাফিয়ে উঠে তাদের নিজেরই একজন সতীর্থকে আঘাত করে। এরপর কী হয়?","A) খেলোয়াড় A খারাপ থ্রোয়ের জন্য অযোগ্য ঘোষণা করা হয়েছে, B) পেনাল্টি ছাড়াই খেলা চলতে থাকে, C) খেলোয়াড় A এর দল একটি পয়েন্ট হারায়, D) খেলোয়াড় A এর থ্রো অবৈধ বলে বিবেচিত হয়",খ) খেলাটি পেনাল্টি ছাড়াই চলতে থাকে,0,"The question mentions 'বলি খেলা' (balli khela), which is not a recognized sport. It appears to be a mistranslation or misstatement of 'বাস্কেটবল' (basketball). In basketball, if a player throws the ball and it accidentally hits a teammate, play continues without penalty. The provided answer is correct for basketball, but the question incorrectly names the sport. Also, the correct answer option is labeled 'খ)' in Bengali, but the options are labeled in English letters (A, B, C, D), creating inconsistency.","বাস্কেটবল খেলায়, খেলোয়াড় A বল ছুঁড়ে মারে কিন্তু তা লাফিয়ে উঠে তাদের নিজেরই একজন সতীর্থকে আঘাত করে। এরপর কী হয়?","['A) খেলোয়াড় A খারাপ থ্রোয়ের জন্য অযোগ্য ঘোষণা করা হয়েছে', 'B) পেনাল্টি ছাড়াই খেলা চলতে থাকে', 'C) খেলোয়াড় A এর দল একটি পয়েন্ট হারায়', 'D) খেলোয়াড় A এর থ্রো অবৈধ বলে বিবেচিত হয়']",B) পেনাল্টি ছাড়াই খেলা চলতে থাকে
SBQ,Bangladesh_SBQ.xlsx,boli khela,"একটি খেলা চলাকালীন, খেলোয়াড় A খেলোয়াড় B-এর দিকে বল ছুঁড়ে মারে, কিন্তু খেলোয়াড় B মাঝ আকাশে বলটি ধরে ফেলে। এরপর কী হবে?","A) খেলোয়াড় B ছিটকে যায়, B) খেলোয়াড় A অযোগ্য ঘোষণা করা হয়, C) খেলোয়াড় B বল ধরে খেলা চালিয়ে যায়, D) খেলোয়াড় A আবার থ্রো করার সুযোগ পায়",গ) খেলোয়াড় খ বল ধরে এবং খেলা চালিয়ে যায়,0,"The question describes a scenario that resembles basketball (catching a thrown ball), but the correct answer option is written in Bengali as 'গ) খেলোয়াড় খ বল ধরে এবং খেলা চালিয়ে যায়', which incorrectly uses 'খ' (B) instead of 'B' in the context of the question where the player is named 'B'. Also, the options are labeled in English letters (A, B, C, D) but the correct answer is given in Bengali lettering (গ), which is inconsistent. Furthermore, the scenario lacks context—no sport is specified, making it ambiguous. In basketball, catching a pass is legal and play continues, but the question doesn't clarify the sport, and the answer option contains a labeling inconsistency.","একটি বাস্কেটবল খেলার সময়, খেলোয়াড় A খেলোয়াড় B-এর দিকে বল ছুঁড়ে মারে, কিন���তু খেলোয়াড় B মাঝ আকাশে বলটি ধরে ফেলে। এরপর কী হবে?","['A) খেলোয়াড় B ছিটকে যায়', 'B) খেলোয়াড় A অযোগ্য ঘোষণা করা হয়', 'C) খেলোয়াড় B বল ধরে খেলা চালিয়ে যায়', 'D) খেলোয়াড় A আবার থ্রো করার সুযোগ পায়']",C) খেলোয়াড় B বল ধরে খেলা চালিয়ে যায়
SBQ,Bangladesh_SBQ.xlsx,boli khela,"এক কঠিন বোলি খেলা ম্যাচে, খেলোয়াড় A সফলভাবে বল ছুঁড়ে মারে এবং খেলোয়াড় B কে আঘাত করে। তবে, বলটি খেলার ক্ষেত্রের বাইরে পড়ে যায়। কী হয়?","A) খেলোয়াড় B কে খেলার বাইরে বলে গণ্য করা হয়, B) থ্রো অবৈধ, এবং খেলা চলতে থাকে, C) খেলোয়াড় A কে সীমানার বাইরে বল মারার জন্য শাস্তি দেওয়া হয়, D) খেলা বন্ধ হয়ে যায় এবং কোনও দল গোল করতে পারে না","খ) থ্রো অবৈধ, এবং খেলা চলতে থাকে",0,"The question is factually incorrect because it describes a scenario that mixes elements of different sports. 'থ্রো' (throw) is not a term used in cricket (where 'বোলি' is mentioned), and in cricket, hitting a player with the ball and the ball going out of bounds does not result in an 'অবৈধ থ্রো'. The term 'থ্রো' suggests handball or basketball, but 'বোলি' is a cricket term. The scenario is logically inconsistent. Additionally, the correct answer provided ('থ্রো অবৈধ, এবং খেলা চলতে থাকে') is not applicable to cricket, making the entire MCQ invalid.","একটি হ্যান্ডবল ম্যাচে, খেলোয়াড় A সফলভাবে বল ছুঁড়ে মারে এবং খেলোয়াড় B কে আঘাত করে। তবে, বলটি খেলার ক্ষেত্রের বাইরে ��ড়ে যায়। কী হয়?","['A) খেলোয়াড় B কে খেলার বাইরে বলে গণ্য করা হয়', 'B) থ্রো অবৈধ, এবং খেলা চলতে থাকে', 'C) খেলোয়াড় A কে সীমানার বাইরে বল ছুঁড়ে মারার জন্য শাস্তি দেওয়া হয়', 'D) খেলা বন্ধ হয়ে যায় এবং কোনও দল গোল করতে পারে না']","B) থ্রো অবৈধ, এবং খেলা চলতে থাকে"
SBQ,Bangladesh_SBQ.xlsx,boli khela,"বলি খেলা খেলার সময়, খেলোয়াড় A খেলোয়াড় B কে বল দিয়ে ছিটকে দেয়। তবে, খেলোয়াড় B এর দল দাবি করে যে খেলোয়াড় A এর থ্রো অবৈধ ছিল কারণ এটি সেন্টার লাইন অতিক্রম করেছিল। রায় কী?","A) খেলোয়াড় A এর থ্রো বৈধ, এবং খেলোয়াড় B আউট, B) খেলোয়াড় A কে সেন্টার লাইন অতিক্রম করার জন্য শাস্তি দেওয়া হয়েছে, C) থ্রো অবৈধ এবং খেলোয়াড় B আউট নয়, D) খেলাটি পর্যালোচনার জন্য স্থগিত করা হয়েছে","A) খেলোয়াড় A এর থ্রো বৈধ, এবং খেলোয়াড় B আউট",0,"The question is factually incorrect because 'বলি খেলা' (Kabaddi) does not involve throwing a ball or a center line violation in the manner described. In Kabaddi, players do not throw balls; instead, they tag opponents while holding their breath. The concept of a 'throw' crossing the center line is irrelevant to Kabaddi. The scenario described resembles basketball or handball, not Kabaddi. Therefore, the question is logically flawed and misrepresents the sport.","বাস্কেটবল খেলার সময়, খেলোয়াড় A খেলোয়াড় B কে বল দিয়ে ছিটকে দেয়। তবে, খেলোয়াড় B এর দল দাবি করে যে খেলোয়াড় A এর থ্রো অবৈধ ছিল কারণ এটি সেন্টার লাইন অতিক্রম করেছিল। রায় কী?","['A) খেলোয়াড় A এর থ্রো বৈধ, এবং খেলোয়াড় B আউট', 'B) খেলোয়াড় A কে সেন্টার লাইন অতিক্রম করার জন্য শাস্তি দেওয়া হয়েছে', 'C) থ্রো অবৈধ এবং খেলোয়াড় B আউট নয়', 'D) খেলাটি পর্যালোচনার জন্য স্থগিত করা হয়েছে']","A) খেলোয়াড় A এর থ্রো বৈধ, এবং খেলোয়াড় B আউট"
SBQ,Bangladesh_SBQ.xlsx,boli khela,"বলি খেলা ম্যাচে, খেলোয়াড় A বল ছুঁড়ে মারার প্রস্তুতি নিচ্ছিল, ঠিক তখনই খেলোয়াড় B হঠাৎ থ্রোয়িং লাইনে ঢুকে পড়ে। আম্পায়ারের কী করা উচিত?","A) হস্তক্ষেপের জন্য খেলোয়াড় B কে শাস্তি দিন, B) থ্রোকে এগিয়ে যেতে দিন এবং খেলোয়াড় B এর অ্যাকশন উপেক্ষা করুন, C) ম্যাচ থামান এবং উভয় খেলোয়াড়কে সতর্ক করুন, D) খেলোয়াড় B কে অযোগ্য ঘোষণা করুন।",ক) হস্তক্ষেপের জন্য খেলোয়াড় খ কে শাস্তি দিন,0,"The question refers to 'বলি খেলা' (Boli Khela), which is not a recognized sport. The context describes a throwing line and interference during a throw, which aligns with 'Kho Kho' or 'Throwball', but not 'Boli Khela'. This makes the question factually incorrect and misleading. Additionally, the correct answer option is labeled 'ক)' while the options are labeled 'A)', 'B)', etc., creating inconsistency. The term 'থ্রোয়িং লাইন' suggests a formal sport like Throwball or Kho Kho, not Boli Khela.","থ্রোবল ম্যাচে, খেলোয়াড় A বল ছুঁড়ে মারার প্রস্তুতি নিচ্ছিল, ঠিক তখনই খেলোয়াড় B হঠাৎ থ্রোয়িং লাইনে ঢুকে পড়ে। আম্পায়ারের কী করা উচিত?","['A) হস্তক্ষেপের জন্য খেলোয়াড় B কে শাস্তি দিন', 'B) থ্রোকে এগিয়ে যেতে দিন এবং খেলোয়াড় B এর অ্যাকশন উপেক্ষা করুন', 'C) ম্যাচ থামান এবং উভয় খেলোয়াড়কে সতর্ক করুন', 'D) খেলোয়াড় B কে অযোগ্য ঘোষণা করুন']",A) হস্তক্ষেপের জন্য খেলোয়াড় B কে শাস্তি দিন
SBQ,Bangladesh_SBQ.xlsx,boli khela,"বলি খেলা খেলার সময়, খেলোয়াড় 'খ' খেলোয়াড়ের ছোঁড়া বল খেলোয়াড় 'ক'কে ছিটকে দেয়। তবে, খেলোয়াড় 'ক' দাবি করে যে আম্পায়ারের বাঁশি বাজানোর পরে বলটি ছুঁড়ে ফেলা হয়েছিল। আম্পায়ারের কী করা উচিত?","A) খেলোয়াড় A কে আউট ঘোষণা করুন এবং চালিয়ে যান, B) নিশ্চিত করুন যে খেলোয়াড় A বাঁশির কারণে আউট হননি, C) বাঁশি উপেক্ষা করুন এবং থ্রো স্থির রাখুন, D) আরও পর্যালোচনার জন্য ম্যাচটি স্থগিত করুন",খ) নিশ্চিত করুন যে বাঁশির কারণে খেলোয়াড় A আউট হননি।,0,"The question contains a logical inconsistency: it mentions 'খেলোয়াড় 'ক'কে ছিটকে দেয়' (player B throws the ball at player A), but then refers to 'খেলোয়াড় A' in the answer options and the correct answer, creating a mismatch in labeling. Also, the correct answer option is labeled as 'খ)' in the answer key but the options are labeled as A), B), C), D) in the question — this inconsistency makes the MCQ invalid. Furthermore, the scenario describes a throw-in situation in football (based on 'বল ছিটকে দেয়' and 'আম্পায়ারের বাঁশি'), but the rules referenced are not clearly aligned with official football law — specifically, a throw-in cannot be legally executed after the referee's whistle if the whistle was for a foul or stoppage; the throw-in must be retaken if the whistle was blown before the throw. The question lacks clarity on why the whistle was blown and whether the throw was legal.","বলি খেলার সময়, খেলোয়াড় 'ক' বাঁশি বাজানোর পরে বলটি ছুঁড়ে ফেলে। খেলোয়াড় 'খ' দাবি করে যে বাঁশি বাজানোর আগেই বলটি ছুঁড়ে ফেলা হয়েছিল। আম্পায়ারের কী করা উচিত?","['A) খেলোয়াড় ক-কে আউট ঘোষণা করুন এবং চালিয়ে যান', 'B) নিশ্চিত করুন যে বাঁশির আগেই বলটি ছুঁড়ে ফেলা হয়েছিল কিনা', 'C) বাঁশি উপেক্ষা করুন এবং থ্রো স্থির রাখুন', 'D) আরও পর্যালোচনার জন্য ম্যাচটি স্থগিত করুন']",B) নিশ্চিত করুন যে বাঁশির আগেই বলটি ছুঁড়ে ফেলা হয়েছিল কিনা
SBQ,Bangladesh_SBQ.xlsx,boli khela,"বলি খেলা ম্যাচে, খেলোয়াড় A-এর দল খেলোয়াড় B-কে সফলভাবে নক আউট করেছে। তবে, খেলোয়াড় B-এর সতীর্থ তৎক্ষণাৎ খেলোয়াড় A-এর দিকে বল ছুঁড়ে মারতে এগিয়ে আসে, তাদের নক আউট করার লক্ষ্যে। এরপর কী হবে?","A) খেলাটি কোনও পরিবর্তন ছাড়াই চলতে থাকে, B) খেলোয়াড় A কে তাৎক্ষণিকভাবে ছিটকে দেওয়া হয়, C) খেলোয়াড় B এর সতীর্থকে হস্তক্ষেপের জন্য শাস্তি দেওয়া হয়, D) নিয়ম পর্যালোচনার জন্য খেলাটি স্থগিত করা হয়",গ) খেলোয়াড় B এর সতীর্থকে হস্তক্ষেপের জন্য শাস্তি দেওয়া হয়েছে,0,"The question refers to 'বলি খেলা' (Boli Khela), which is not a recognized or standardized sport with official rules like cricket, football, or volleyball. The scenario describes a 'nok out' (knock out) and a teammate throwing a ball to knock out the opponent — this resembles kabaddi or some folk game, but 'বলি খেলা' is not a valid or commonly known sport in Bangla-speaking regions. The terminology and context are factually inconsistent, making the question invalid as a sports MCQ.","কবাডি খেলায়, খেলোয়াড় A-এর দল খেলোয়াড় B-কে সফলভাবে আউট করেছে। তবে, খেলোয়াড় B-এর সতীর্থ তৎক্ষণাৎ খেলোয়াড় A-এর দিকে বল ছুঁড়ে মারতে এগিয়ে আসে, তাদের আউট করার লক্ষ্যে��� এরপর কী হবে?","['A) খেলাটি কোনও পরিবর্তন ছাড়াই চলতে থাকে', 'B) খেলোয়াড় A কে তাৎক্ষণিকভাবে ছিটকে দেওয়া হয়', 'C) খেলোয়াড় B এর সতীর্থকে হস্তক্ষেপের জন্য শাস্তি দেওয়া হয়', 'D) নিয়ম পর্যালোচনার জন্য খেলাটি স্থগিত করা হয়']",C) খেলোয়াড় B এর সতীর্থকে হস্তক্ষেপের জন্য শাস্তি দেওয়া হয়
