country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
SBQ,India_SBQ.xlsx,Kabaddi,"कबड्डी मैच के दौरान, यदि कोई रेडर प्रतिद्वंद्वी के हाफ में प्रवेश करता है, प्रतिद्वंद्वी को छूता है, लेकिन बिना टैकल किए सीमा रेखा के बाहर चला जाता है, तो परिणाम क्या होगा?","A) रेडर आउट हो गया, B) डिफेंडर आउट हो गया, C) रेडर ने एक अंक अर्जित किया, D) दोनों टीमों को एक अंक मिला",A) रेडर बाहर है,0,"The question describes a scenario where the raider enters the opponent's half, touches a defender, but exits the court without tackling. According to standard kabaddi rules, if a raider touches an opponent and returns to their own half without being tackled, they score a point. However, the question states the raider exits 'beyond the boundary line' (i.e., out of bounds) without being tackled — which means the raider is out. But the provided answer 'A) रेडर आउट हो गया' is correct only if the raider steps out of bounds while in the opponent's half. The issue is that the question is ambiguous: it says 'बिना टैकल किए सीमा रेखा के बाहर चला जाता है' — which could mean the raider leaves the court from the opponent's side, which is an out. However, the correct interpretation under standard rules is: if the raider touches a defender and then steps out of bounds without being tackled, the raider is out and no point is scored. But the answer option is labeled correctly as A, yet the question's phrasing is slightly misleading because it doesn't clearly state whether the raider returned to their own half or not. The key flaw is that the question says 'प्रतिद्वंद्वी के हाफ में प्रवेश करता है, प्रतिद्वंद्वी को छूता है, लेकिन बिना टैकल किए सीमा रेखा के बाहर चला जाता है' — which implies the raider is still in the opponent's half when stepping out. That is correct for 'raider out'. But the answer option says 'रेडर बाहर है' — which is correct, yet the option text in the question is inconsistent with the answer key. The options list says A) रेडर आउट हो गया, but the correct answer is written as 'A) रेडर बाहर है' — this is a mismatch in wording. Also, the answer key says 'A) रेडर बाहर है' but the options say 'A) रेडर आउट हो गया' — these are synonyms, but the inconsistency in phrasing makes the MCQ flawed. Additionally, the question does not specify that the raider was not tackled and stepped out from the opponent’s side — which is the key condition. The phrasing is acceptable, but the answer key in the note contradicts the option label. The real issue is: the answer provided in the note ('A) रेडर बाहर है') does not match the option text ('A) रेडर आउट हो गया') — this is a labeling error. However, in kabaddi rules, the scenario described leads to the raider being out — so the logic is correct. But the options and answer key use different phrasing. To fix: make the answer key consistent with option text. Also, the question implies the raider stepped out without returning — which is correct for 'raider out'. So the main mistake is inconsistency between answer key and option text. But the instruction says to evaluate the MCQ as given. The answer key says 'Correct Answer: A) रेडर बाहर है' but option A is 'रेडर आउट हो गया' — these are not the same phrase. This is a critical mismatch. The question is factually correct in content, but the answer key does not match the option text. This makes the MCQ invalid. Therefore, score = 0.","कबड्डी मैच के दौरान, यदि कोई रेडर प्रतिद्वंद्वी के हाफ में प्रवेश करता है, प्रतिद्वंद्वी को छूता है, लेकिन बिना टैकल किए सीमा रेखा के बाहर निकल जाता है, तो परिणाम क्या होगा?","['A) रेडर आउट हो गया', 'B) डिफेंडर आउट हो गया', 'C) रेडर ने एक अंक अर्जित किया', 'D) दोनों टीमों को एक अंक मिला']",A) रेडर आउट हो गया
SBQ,India_SBQ.xlsx,Kabaddi,"एक कबड्डी मैच में, टीम A के 6 खिलाड़ी मैट पर हैं और टीम B के 7 खिलाड़ी हैं। अगर टीम B का कोई खिलाड़ी बाहर चला जाए, तो क्या होगा?","A) टीम B एक अंक खो देती है, B) टीम A एक अंक प्राप्त करती है, C) टीम B को खिलाड़ी को पुनर्जीवित करना होगा, D) टीम B 6 खिलाड़ियों के साथ खेलना जारी रखती है",D) टीम B 6 खिलाड़ियों के साथ जारी है,0,"The question is factually incorrect because in kabaddi, each team must have exactly 7 players on the mat at the start of a raid. If a player from Team B leaves the mat, the team cannot continue with 6 players; it results in a point for the opposing team (Team A) as per standard kabaddi rules. The provided answer D is wrong. Also, option D has a grammatical error ('जारी है' should be 'जारी रखती है').","एक कबड्डी मैच में, टीम A और टीम B के 7-7 खिलाड़ी मैदान पर हैं। अगर टीम B का कोई खिलाड़ी मैदान से बाहर चला जाए, तो क्या होगा?","['A) टीम B एक अंक खो देती है', 'B) टीम A एक अंक प्राप्त करती है', 'C) टीम B को खिला���़ी को पुनर्जीवित करना होगा', 'D) टीम B 6 खिलाड़ियों के साथ खेलना जारी रखती है']",B) टीम A एक अंक प्राप्त करती है
SBQ,India_SBQ.xlsx,Kabaddi,"यदि कोई रेडर सफलतापूर्वक दो डिफेंडरों को छू लेता है और बिना टैकल किए अपने हाफ में वापस लौट जाता है, तो रेडर की टीम को कितने अंक मिलते हैं?","A) 1 अंक, B) 2 अंक, C) 3 अंक, D) कोई अंक नहीं",बी) 2 अंक,0,"The question is factually incorrect. In Kho Kho, if a raider touches two defenders without being tackled and returns to their half, they earn 2 points (one for each defender touched). However, the scenario described is valid and the answer '2 अंक' is correct, but the question uses the term 'हाफ' which is not standard terminology in Kho Kho rules. The correct term is 'अपनी ओर' or 'अपने पक्ष में'. Also, 'टैकल' is an English word used in Hindi context; it should be 'पकड़े जाने' or 'टैकल नहीं होने' for better linguistic consistency in Hindi. The question needs minimal language correction to match official Kho Kho terminology.","यदि कोई रेडर सफलतापूर्वक दो डिफेंडरों को छू लेता है और बिना पकड़े जाए अपने पक्ष में वापस ��ौट जाता है, तो रेडर की टीम को कितने अंक मिलते हैं?","['A) 1 अंक', 'B) 2 अंक', 'C) 3 अंक', 'D) कोई अंक नहीं']",बी) 2 अंक
SBQ,India_SBQ.xlsx,Kabaddi,"रेड के दौरान, रेडर को लगातार 'कबड्डी' का नारा लगाना चाहिए। अगर रेडर अपनी सीमा में वापस जाने से पहले नारा लगाना बंद कर दे, तो क्या होगा?","A) रेडर को आउट घोषित कर दिया जाता है, B) विरोधी टीम एक अंक खो देती है, C) रेड सफल हो जाती है, D) कोई कार्रवाई नहीं की जाती है",A) रेडर को आउट घोषित कर दिया गया है,0,"The question contains a factual error: in kabaddi, the raider must continuously chant 'kabaddi' during the raid, but if they stop chanting before returning to their half, it is not automatically an 'out' — it results in a 'do-or-die' situation or a 'no point' raid depending on rules, but the raider is not declared 'out' for stopping the chant alone. The correct consequence is that the raid is invalid (no point), and the raider is not necessarily 'out' unless they are touched or fail to return. The given answer A is incorrect based on official kabaddi rules (KFI).","रेड के दौरान, रेडर को लगातार 'कबड्डी' का नारा लगाना चाहिए। अगर रेडर अपनी सीमा में वापस जाने से पहले नारा लगाना बंद कर दे, तो क्या होगा?","['A) र��ड असफल हो जाती है और कोई अंक नहीं मिलता', 'B) रेडर को आउट घोषित कर दिया जाता है', 'C) विरोधी टीम एक अंक खो देती है', 'D) कोई कार्रवाई नहीं की जाती है']",A) रेड असफल हो जाती है और कोई अंक नहीं मिलता
SBQ,India_SBQ.xlsx,Kabaddi,कबड्डी मैच की शुरुआत में प्रत्येक टीम के लिए मैट पर अधिकतम कितने खिलाड़ियों को अनुमति दी जाती है?,"A) 6 खिलाड़ी, B) 7 खिलाड़ी, C) 8 खिलाड़ी, D) 9 खिलाड़ी",बी) 7 खिलाड़ी,0,"The question asks about the maximum number of players allowed on the mat at the start of a kabaddi match, but the correct answer provided (7 players) is inaccurate. According to standard kabaddi rules (Kabaddi Federation of India and international rules), each team has 7 players on the mat at the start of the match. However, the option labeling is inconsistent: the correct answer is labeled as 'बी) 7 खिलाड़ी' but the option letters are in English (A, B, C, D), while the answer key uses Hindi ('बी'). This creates confusion and formatting inconsistency. Also, the question does not specify whether it refers to 'on the mat' or 'in the squad' — but since it says 'मैट पर', it is clear. The factual content is correct, but the answer key formatting is flawed.",कबड्डी मैच की शुरुआत में प्रत्येक टीम के लिए मैट पर अधिकतम कित���े खिलाड़ियों को अनुमति दी जाती है?,"['A) 6 खिलाड़ी', 'B) 7 खिलाड़ी', 'C) 8 खिलाड़ी', 'D) 9 खिलाड़ी']",B) 7 खिलाड़ी
SBQ,India_SBQ.xlsx,Kabaddi,"यदि कोई रेडर टैकल करते समय मिडलाइन को छू लेता है, तो परिणाम क्या होगा?","A) रेड को असफल माना जाता है, B) रेडर आउट हो जाता है, C) रेडर को एक अंक मिलता है, D) कोई अंक नहीं दिया जाता",C) रेडर एक अंक अर्जित करता है,0,"The question is factually incorrect. In Kabaddi, if a raider touches the mid-line while tackling, it does not result in a point for the raider. Instead, the raider is declared out (out of bounds) and no point is awarded. The correct rule is that a raider earns a point only if they successfully touch one or more defenders and return to their half without being tackled, and if they touch the mid-line during the raid, they are out. The provided answer 'C' is wrong based on official Kabaddi rules.","यदि कोई रेडर टैकल करते समय मिडलाइन को छू लेता है, तो परिणाम क्या होगा?","['A) रेडर आउट हो जाता है', 'B) रेडर को एक अंक मिलता है', 'C) कोई अंक नहीं दिया जाता', 'D) रेड को असफल माना जाता है']",A) रेडर आउट हो जाता है
SBQ,India_SBQ.xlsx,Kabaddi,निम्नलिखित में से कौन सी कबड्डी में वैध रक्षात्मक तकनीक नहीं है?,"A) एंकल होल्ड, B) ब्लॉक, C) चेन टैकल, D) पंच",डी) पंच,0,"The term 'पंच' (punch) is not a recognized technique in kabaddi at all, making it an invalid option as a 'non-valid defensive technique' because it's not a technique in the sport. The question implies that all options are techniques, but 'punch' is not a kabaddi move — it's a violation. The correct approach is to replace 'पंच' with a real but incorrectly assumed defensive technique that is actually invalid in kabaddi rules. 'चेन टैकल' (chain tackle) is also not a standard term; the valid term is 'chain defence' or 'chain tackle' as a team strategy, but it's not a foul. However, 'एंकल होल्ड' (ankle hold) is a valid defensive move. 'ब्लॉक' (block) is valid. The real invalid technique among recognized terms is 'चेन टैकल' if interpreted as an illegal individual move — but the terminology is ambiguous. The best fix is to replace 'पंच' with 'गले का दबाव' (choke hold), which is explicitly illegal in kabaddi and commonly tested.",निम्नलिखित में से कौन सी कबड्डी में वैध रक्षात्मक तकनीक नहीं है?,"['A) एंकल होल्ड', 'B) ब्लॉक', 'C) चेन टैकल', 'D) गले का दबाव']",D) गले का दबाव
SBQ,India_SBQ.xlsx,Kabaddi,कबड्डी में यदि किसी टीम के सभी खिलाड़ी आउट घोषित कर दिए जाएं तो इसे क्या कहते हैं?,"A) सुपर रेड, B) बोनस, C) ऑल-आउट, D) टाइम-आउट",पुकारें,0,"The correct answer is listed as 'पुकारें', which is not a valid option and does not match any of the provided choices (A, B, C, D). The correct term for when all players of a team are out in kabaddi is 'ऑल-आउट', which is option C. The answer field is erroneous and inconsistent with the options.",कबड्डी में यदि किसी टीम के सभी खिलाड़ी आउट घोषित कर दिए जाएं तो इसे क्या कहते हैं?,"['A) सुपर रेड', 'B) बोनस', 'C) ऑल-आउट', 'D) टाइम-आउट']",C) ऑल-आउट
SBQ,India_SBQ.xlsx,Kabaddi,"यदि कोई टीम ऑल-आउट हो जाती है, तो विरोधी टीम को कितने अंक मिलते हैं?","A) 1 अंक, B) 2 अंक, C) 3 अंक, D) 5 अंक",बी) 2 अंक,0,"The question is factually incorrect because in cricket (the most likely context for 'all-out'), an all-out does not directly award points to the opposing team. Points are not awarded in this manner in any standard cricket format. The concept of awarding 2 points for an all-out is not valid in any recognized sports rulebook. The question misrepresents how scoring works in sports like cricket or other team games.","यदि कोई टीम क्रिकेट में ऑल-आउट हो जाती है, तो उसका स्कोर क्या होता है?","['A) 10 विकेट', 'B) 100 रन', 'C) 200 रन', 'D) 5 विकेट']",A) 10 विकेट
SBQ,India_SBQ.xlsx,Kabaddi,कबड्डी में एक रेडर को अपनी रेड पूरी करने में कितना समय लगता है?,"A) 10 सेकंड, B) 20 सेकंड, C) 30 सेकंड, D) 40 सेकंड",सी) 30 सेकंड,0,"The question is factually incorrect. In kabaddi, a raider has 30 seconds to complete a raid, but the correct answer option is labeled as 'सी)' which is a Hindi numeral for 'C)', but the options are labeled in English letters (A, B, C, D). This inconsistency makes the MCQ invalid. Also, the correct answer should be matched with the option label format used.",कबड्डी में एक रेडर को अपनी रेड पूरी करने में कितना समय लगता है?,"['A) 10 सेकंड', 'B) 20 सेकंड', 'C) 30 सेकंड', 'D) 40 सेकंड']",C) 30 सेकंड
