country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
SBQ,Pakistan_SBQ.xlsx,Malakhra,سندھ میں ایک فائنل میچ میں، ریسلر A اپنی اعلی گرفت طاقت کا استعمال کرتے ہوئے ایک طاقتور تھرو کو انجام دیتا ہے، پہلوان B کی کمر کو زمین پر لگاتا ہے۔ ریفری کا فوری فیصلہ کیا ہے؟,A) ریسلر A کو 3 پوائنٹس دیں، B) ریسلر A کو پن فال سے فاتح قرار دیں، C) میچ دوبارہ شروع کریں، D) ریسلر B کو صحت یاب ہونے کا وقت دیں۔,ب) ریسلر A کو پنفال کے ذریعہ فاتح قرار دیں۔,0,"The question uses 'ریسلر' (wrestler) and 'پہلوان' (wrestler) interchangeably, but in standard Urdu sports terminology for wrestling (کشتی), 'پہلوان' is the correct term. Also, 'پن فال' is not a standard term in wrestling; the correct term is 'پن فول' or 'پن فول کے ذریعہ فاتح'. Moreover, the scenario describes a throw that lands the opponent on the back — which in wrestling (کشتی) typically results in 'پن فول' (pinfall), but the spelling and terminology are inconsistent. The question also incorrectly refers to 'سندھ میں ایک فائنل میچ' without specifying the wrestling style, which may confuse context. Minimal corrections are needed for terminology and spelling.",سندھ میں ایک فائنل میچ میں، پہلوان A اپنی اعلیٰ گرفت طاقت کا استعمال کرتے ہوئے ایک طاقتور تھرو کو انجام دیتا ہے، جس سے پ��لوان B کی کمر اور پیٹ زمین پر لگ جاتے ہیں۔ ریفری کا فوری فیصلہ کیا ہے؟,"['A) پہلوان A کو 3 پوائنٹس دیں', 'B) پہلوان A کو پن فول کے ذریعہ فاتح قرار دیں', 'C) میچ دوبارہ شروع کریں', 'D) پہلوان B کو صحت یاب ہونے کا وقت دیں']",ب) پہلوان A کو پن فول کے ذریعہ فاتح قرار دیں
SBQ,Pakistan_SBQ.xlsx,Malakhra,ریسلر وائی، جو چستی کے لیے مشہور ہیں، کو ایک بہت بھاری حریف کا سامنا ہے۔ مخالف اسے توازن سے باہر نکالنے کے لیے طاقت کا استعمال کرنے کی کوشش کرتا ہے۔ Y کی سب سے زیادہ ممکنہ انسداد تکنیک کیا ہے؟,A) ایک باڈی سلیم، B) ایک بازو کا تالا، C) ایک ٹانگ جھاڑنا یا ٹرپ، D) ایک ہیڈ بٹ,سی) ایک ٹانگ جھاڑو یا سفر,0,"The question contains a factual inconsistency: 'ریسلر وائی' (Wai wrestler) is not a recognized or standard term in wrestling. Additionally, the correct answer option is written as 'سی) ایک ٹانگ جھاڑو یا سفر' which contains a typo ('سفر' instead of 'جھاڑنا' or 'ٹرپ'). The options also have inconsistent phrasing (e.g., 'ٹانگ جھاڑنا یا ٹرپ' in option C vs 'ٹانگ جھاڑو یا سفر' in the answer). The term 'جھاڑو' is a noun (broom), not a verb, making it grammatically incorrect in context. The answer should match the option phrasing exactly.",ریسلر وائی، جو توازن کے لیے مشہور ہیں، کو ایک بہت بھاری حریف کا سامنا ہے۔ مخالف اسے توازن سے باہر نکالنے کے لیے طاقت کا استعمال کرنے کی کوشش کرتا ہے۔ وائی کی سب سے زیادہ ممکنہ انسداد تکنیک کیا ہے؟,"['A) ایک باڈی سلیم', 'B) ایک بازو کا تالا', 'C) ایک ٹانگ جھاڑنا یا ٹرپ', 'D) ایک ہیڈ بٹ']",C) ایک ٹانگ جھاڑنا یا ٹرپ
SBQ,Pakistan_SBQ.xlsx,Malakhra,دونوں پہلوان پھینکنے کی کوشش کے بغیر ایک منٹ سے زیادہ ایک گرفت میں بند ہیں۔ ہجوم بے چین ہو جاتا ہے۔ ریفری ممکنہ طور پر کیا کارروائی کرے گا؟,A) میچ ڈرا میں ختم کریں، B) دونوں پہلوانوں کو اسٹال کرنے پر زبانی طور پر تنبیہ کریں، پھر اگر یہ جاری رہے تو جرمانہ کریں، C) انہیں غیر معینہ مدت تک جاری رکھنے کی اجازت دیں، D) دونوں پہلوانوں کو نااہل قرار دیں۔,ب) دونوں پہلوانوں کو سٹال کرنے پر زبانی طور پر تنبیہ کریں، پھر اگر یہ جاری رہے تو جرمانہ کریں۔,1,no mistake,no correction needed,no correction needed,ب) دونوں پہلوانوں کو سٹال کرنے پر زبانی طور پر تنبیہ کریں، پھر اگر یہ جاری رہے تو جرمانہ کریں۔
SBQ,Pakistan_SBQ.xlsx,Malakhra,ہنگامہ آرائی کے دوران، پہلوان اے کا پاؤں مکمل طور پر اکھاڑہ کی حدود سے باہر نکلتا ہے۔ اس کا کیا حکم ہے؟,A) میچ روک کر دوبارہ شروع کیا جاتا ہے، B) ریسلر B کو A پوائنٹ دیا جاتا ہے، C) ریسلر A کو وارننگ دی جاتی ہے، D) کوئی جرمانہ نہیں ہوتا,B) ریسلر B کو ایک پوائنٹ دیا جاتا ہے۔,0,"The question mentions 'ہنگامہ آرائی کے دوران' (during a scramble), but in wrestling rules, a wrestler's foot leaving the mat boundary during active engagement (not during a stalemate or pause) typically results in a point for the opponent. However, the phrasing 'ہنگامہ آرائی' is ambiguous and may not accurately reflect standard wrestling terminology in Urdu. The correct context should be 'مبارزہ کے دوران' (during the match) or 'کھیل کے دوران' (during active play). Also, the correct answer option says 'ایک پوائنٹ' but the option label in the question says 'A پوائنٹ' — this inconsistency must be fixed for clarity and correctness.",مبارزہ کے دوران، پہلوان اے کا پاؤں مکمل طور پر اکھاڑہ کی حدود سے باہر نکلتا ہے۔ اس کا کیا حکم ہے؟,"['A) میچ روک کر دوبارہ شرو�� کیا جاتا ہے', 'B) ریسلر B کو ایک پوائنٹ دیا جاتا ہے', 'C) ریسلر A کو وارننگ دی جاتی ہے', 'D) کوئی جرمانہ نہیں ہوتا']",B) ریسلر B کو ایک پوائنٹ دیا جاتا ہے
SBQ,Pakistan_SBQ.xlsx,Malakhra,ایک پہلوان نے میچ سے پہلے اپنے جسم پر تیل لگایا ہوا پایا گیا ہے۔ فوری نااہلی کی یہ بنیاد کیوں ہے؟,A) انہیں پکڑنا ناممکن بنا کر اسے غیر منصفانہ فائدہ سمجھا جاتا ہے، B) یہ کھیل کے مذہبی رسوم کے خلاف ہے، C) یہ مخالف کی پٹی کو نقصان پہنچا سکتا ہے، D) یہ غیر صحت بخش ہے۔,A) انہیں گرفت میں لانا ناممکن بنا کر ایک غیر منصفانہ فائدہ سمجھا جاتا ہے۔,1,no mistake,no correction needed,no correction needed,A) انہیں گرفت میں لانا ناممکن بنا کر ایک غیر منصفانہ فائدہ سمجھا جاتا ہے۔
SBQ,Pakistan_SBQ.xlsx,Malakhra,ایک پہلوان کو زمین پر پھینک دیا جاتا ہے، لیکن وہ اپنی پیٹھ پر نہیں بلکہ اپنے سینے اور پیٹ پر اترنے میں کامیاب ہوتے ہیں۔ میچ کی کیا حیثیت ہے؟,الف,ب) پھینکنے والے کو ٹیک ڈاؤن کے لیے پوائنٹس دیے جاتے ہیں، لیکن میچ جاری رہتا ہے۔,0,"The question is factually incorrect and logically inconsistent. In wrestling (کوشکی/کشتی), if a wrestler is thrown and lands on their chest and stomach (not back), it does not automatically result in a technical fall or points being awarded to the thrower unless a pin (پین) is achieved. The provided answer mentions 'ٹیک ڈاؤن کے لیے پوائنٹس' (points for takedown), which is misleading because a takedown typically awards points regardless of landing position, but the match continues unless a pin is secured. The question implies a specific outcome based on landing on chest/stomach, which is not a standard rule. Also, the correct answer option (ب) is not listed as the correct choice in the question — the question incorrectly labels 'الف' as the option but refers to 'ب' as correct, indicating a formatting error.",ایک پہلوان کو زمین پر پھینک دیا جاتا ہے اور وہ اپنی پیٹھ پر اترتا ہے، جس سے اس کے کندھوں یا گھٹنوں کا کوئی حصہ زمین سے لگا رہتا ہے۔ میچ کی کیا حیثیت ہے؟,"['الف) میچ ختم ہو جاتا ہے اور پہلوان کو جیت دی جاتی ہے۔', 'ب) پھینکنے والے کو ٹیک ڈاؤن کے لیے پوائنٹس دیے جاتے ہیں، لیکن میچ جاری رہتا ہے۔', 'ج) پہلوان فوراً باہر ہو جاتا ہے۔', 'د) کوئی پوائنٹس نہیں دیے جاتے اور میچ جاری رہتا ہے۔']",ب) پھینکنے والے کو ٹیک ڈاؤن کے لیے پوائنٹس دیے جاتے ہیں، لیکن میچ جاری رہتا ہے۔
SBQ,Pakistan_SBQ.xlsx,Malakhra,ریسلر A طاقتور ہپ تھرو کی کوشش کرتا ہے، لیکن ریسلر B اپنا وزن کم کرکے اور مرکز ثقل کو کم کرکے مقابلہ کرتا ہے۔ ممکنہ نتیجہ کیا ہے؟,A) ریسلر A نے تھرو مکمل کیا، B) ریسلر B نے تھرو کا کامیابی سے دفاع کیا، C) دونوں پہلوان گر گئے، D) ریفری نے میچ روک دیا۔,ب) پہلوان بی نے تھرو کا کامیابی سے دفاع کیا۔,0,"The question contains a factual error: 'ہپ تھرو' (hip throw) is a wrestling technique, not something that can be 'کوشش کرتا ہے' (attempted) in the way described. The phrasing 'وزن کم کرکے اور مرکز ثقل کو کم کرکے' (reducing weight and lowering center of gravity) is logically inconsistent — a wrestler cannot reduce their body weight mid-move during a throw attempt; they can only adjust posture or leverage. Also, the correct answer option is labeled 'ب)' but the option text is written as 'پہلوان بی' — inconsistent naming ('B' vs 'بی'). The options use mixed English and Urdu script (e.g., 'B' in option labels but 'بی' in answer).",ریسلر A ہپ تھرو کی کوشش کرتا ہے، لیکن ریسلر B اپنی پوزیشن بدل کر اور اپنا مرکز ثقل کم کرکے اسے روکنے کی کوشش کرتا ہے۔ ممکنہ نتیجہ کیا ہے؟,"['A) ریسلر A نے ہپ تھرو مکمل کیا', 'B) ریسلر B نے ہپ تھرو کا کامیابی سے دفاع کیا', 'C) دونوں پہلوان گر گئے', 'D) ریفری نے میچ روک دیا']",B) ریسلر B نے ہپ تھرو کا کامیابی سے دفاع کیا
SBQ,Pakistan_SBQ.xlsx,Malakhra,ایک تبادلے کے دوران، پہلوان اے کی بیلٹ (سندرو) کھل جاتی ہے۔ صحیح طریقہ کار کیا ہے؟,A) میچ جاری ہے، B) ریفری نے بیلٹ کو ریٹائی کرنے کی اجازت دینے کے لیے فوری طور پر میچ روک دیا، C) ریسلر A کو نااہل قرار دے دیا گیا، D) ریسلر A ایک پوائنٹ کھو دیتا ہے۔,ب) ریفری بیلٹ کو ریٹائی کرنے کی اجازت دینے کے لیے فوری طور پر میچ روک دیتا ہے۔,0,"The question and answer contain a mismatch in option labeling. The correct answer is labeled as 'ب)' in the answer key, but in the options, it is listed as 'B)'. Additionally, the answer key uses Urdu script ('ب') while the options use English letter ('B'), causing inconsistency. The content of the correct answer is accurate per wrestling rules, but the option labeling must be uniform.",ایک تبادلے کے دوران، پہلوان اے کی بیلٹ (سندرو) کھل جاتی ہے۔ صحیح طریقہ کار کیا ہے؟,"['A) میچ جاری ہے', 'B) ریفری بیلٹ کو ریٹائی کرنے کی اجازت دینے کے لیے فوری طور پر میچ روک دیتا ہے', 'C) ریسلر A کو نااہل قرار دے دیا گیا', 'D) ریسلر A ایک پوائنٹ کھو دیتا ہے']",B) ریفری بیلٹ کو ریٹائی ک��نے کی اجازت دینے کے لیے فوری طور پر میچ روک دیتا ہے
SBQ,Pakistan_SBQ.xlsx,Malakhra,ایک پہلوان کو ریفری نے غیر قانونی گرفت کے لیے تنبیہ کی ہے۔ انہوں نے کیا کیا ہوگا؟,A) بیلٹ کو بہت مضبوطی سے پکڑا، B) بیلٹ کے بجائے مخالف کی شارٹس یا لنگوٹی کو پکڑا، C) بیلٹ پر دونوں ہاتھوں کا استعمال کیا، D) گرفت کو زیادہ دیر تک پکڑے رکھا,ب) بیلٹ کے بجائے مخالف کی شارٹس یا لنگوٹی کو پکڑنا,0,"The question is factually incorrect because in wrestling (specifically traditional South Asian styles like Kushti), gripping the opponent's shorts or lungi (loincloth) is NOT a foul — it is the standard and legal way to hold. The actual foul is gripping below the belt (e.g., legs, groin) or using excessive force, or using both hands on the belt in some styles. The provided answer is wrong. The correct foul leading to a warning is typically gripping below the belt or using illegal holds, not gripping shorts/lungi.",ایک پہلوان کو ریفری نے غیر قانونی گرفت کے لیے تنبیہ کی ہے۔ انہوں نے کیا کیا ہوگا؟,"['A) بیلٹ کو بہت مضبوطی سے پکڑا', 'B) بیلٹ کے نیچے مخالف کی جانگ یا ٹانگوں کو پکڑا', 'C) بیلٹ پر دونوں ہاتھوں کا استعمال کیا', 'D) گرفت کو زیادہ دیر تک پکڑے رکھا']",B) بیلٹ کے نیچے مخالف کی جانگ یا ٹانگوں کو پکڑا
SBQ,Pakistan_SBQ.xlsx,Malakhra,"ریفری اپنا ہاتھ اٹھا کر چلاتا ہے ""مالہ!"" ایک پھینکنے کے بعد. اس سے کیا مراد ہے؟",A) ایک غلط کام کیا گیا ہے، B) ایک پوائنٹ اسکور کیا گیا ہے، C) راؤنڈ ختم ہو گیا ہے، D) ایک فیصلہ کن پن حاصل کیا گیا ہے، اور میچ ختم ہو گیا ہے,D) ایک فیصلہ کن پن حاصل ہو گیا ہے، اور میچ ختم ہو گیا ہے۔,0,"The question is factually incorrect. In basketball, a referee raising their hand and shouting 'Malha!' is not a recognized or standard call. 'Malha' is not a term used in basketball or any major sport; it appears to be a misspelling or misrepresentation of 'Malfunction' or possibly 'Ball!' (as in 'Ball!' for a stoppage), but even then, the context is wrong. The correct term in basketball for a game-ending basket is 'basket' or 'score', and the referee signals a made basket by raising one arm with an open hand, not by shouting 'Malha!'. The provided answer D claims it means a decisive point and match end, which is not accurate for any standard sport. The term 'Malha' is likely intended to be 'Malfunction' or 'Ball!' but is incorrectly used. The question is misleading and based on a non-existent term.",ریفری اپنا ہاتھ اٹھا کر چلاتا ہے 'بال!' ایک سکور کے بعد۔ اس سے کیا مراد ہے؟,"['A) ایک غلط کام کیا گیا ہے', 'B) ایک پوائنٹ اسکور کیا گیا ہے', 'C) راؤنڈ ختم ہو گیا ہے', 'D) ایک فیصلہ کن پن حاصل ہو گیا ہے، اور میچ ختم ہو گیا ہے']",B) ایک پوائنٹ اسکور کیا گیا ہے
