image_no,country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
bocce_2,IBQ,IBQ_Italy.xlsx,Bocce,Qual è l'obiettivo principale del gioco della bocce?,"a) Segnare punti
b) Colpire l'avversario
c) Evitare le bocce
d) Passare la boccia",Segnare punti,1,no mistake,no correction needed,no correction needed,no answer needed
bocce_2,IBQ,IBQ_Italy.xlsx,Bocce,Quali sono i colori tipici delle bocce utilizzate nel gioco?,"a) Rosso e verde
b) Blu e giallo
c) Bianco e nero
d) Arancione e viola",Rosso e verde,1,no mistake,no correction needed,no correction needed,no answer needed
bocce_2,IBQ,IBQ_Italy.xlsx,Bocce,Qual è il ruolo del pallino nel gioco della bocce?,"a) Segnare punti
b) Essere colpito dalle bocce
c) Determinare la distanza
d) Essere evitato",Essere colpito dalle bocce,1,no mistake,no correction needed,no correction needed,no answer needed
bocce_2,IBQ,IBQ_Italy.xlsx,Bocce,Qual è la superficie di gioco ideale per il gioco della bocce?,"a) Erba sintetica
b) Asfalto
c) Sabbia
d) Erba naturale",Erba naturale,1,no mistake,no correction needed,no correction needed,no answer needed
bocce_2,IBQ,IBQ_Italy.xlsx,Bocce,Qual è l'importanza culturale del gioco della bocce in Italia?,"a) Celebrare le festività religiose
b) Rappresentare la storia e le tradizioni locali
c) Promuovere il turismo
d) Insegnare abilità sportive",Rappresentare la storia e le tradizioni locali,1,no mistake,no correction needed,no correction needed,no answer needed
bocce_3,IBQ,IBQ_Italy.xlsx,Bocce,Quante persone stanno giocando a bocce nell'immagine?,"a) Due
b) Quattro
c) Sei
d) Otto",Quattro,1,no mistake,no correction needed,no correction needed,no answer needed
bocce_3,IBQ,IBQ_Italy.xlsx,Bocce,Quali sono i colori delle bocce visibili nell'immagine?,"a) Rosso e verde
b) Bianco e nero
c) Blu e giallo
d) Arancione e viola",Rosso e verde,0,"The question asks for the colors of the 'bocce' (bowls) visible in the image, but the correct answer 'Rosso e verde' (Red and Green) doesn't fully align with the colors shown. While there is a red bocce, there's also a blue, yellow and white bocce visible in the image. The question and answer needs to be updated to accurately reflect the image content.",Quali colori di bocce sono visibili nell'immagine?,"['a) Rosso, giallo e blu', 'b) Bianco e nero', 'c) Verde e viola', 'd) Arancione e marrone']","a) Rosso, giallo e blu"
bocce_3,IBQ,IBQ_Italy.xlsx,Bocce,Chi sta lanciando la boccia rossa nell'immagine?,"a) Una donna
b) Un bambino
c) Un uomo
d) Un anziano",Un uomo,1,no mistake,no correction needed,no correction needed,no answer needed
bocce_3,IBQ,IBQ_Italy.xlsx,Bocce,In quale ambiente si sta svolgendo il gioco di bocce nell'immagine?,"a) In un parco pubblico
b) In una spiaggia
c) In una palestra
d) In un cortile",In un parco pubblico,1,no mistake,no correction needed,no correction needed,no answer needed
bocce_3,IBQ,IBQ_Italy.xlsx,Bocce,Quante bocce sono visibili sull'erba nell'immagine?,"a) Due
b) Tre
c) Quattro
d) Cinque",Quattro,1,no mistake,no correction needed,no correction needed,no answer needed
bocce_4,IBQ,IBQ_Italy.xlsx,Bocce,Dove si trovano le persone rispetto al campo di bocce?,"a) Ai lati del campo
b) Al centro del campo
c) Sedute nelle tribune
d) Fuori dal campo",Ai lati del campo,1,no mistake,no correction needed,no correction needed,no answer needed
bocce_4,IBQ,IBQ_Italy.xlsx,Bocce,Qual è lo sfondo dell'immagine?,"a) Edifici
b) Alberi
c) Strada
d) Mare",Alberi,1,no mistake,no correction needed,no correction needed,no answer needed
bocce_4,IBQ,IBQ_Italy.xlsx,Bocce,Quali dettagli dell'immagine indicano che si tratta di una partita di bocce?,"a) Pallone da calcio
b) Bastoni e palle
c) Palline e stecche
d) Bocce e pallino",Bocce e pallino,1,no mistake,no correction needed,no correction needed,no answer needed
bocce_5,IBQ,IBQ_Italy.xlsx,Bocce,Qual è la posizione delle persone che giocano a bocce nell'immagine?,"a) In piedi
b) Seduti
c) Accovacciati
d) Sdraiati",Accovacciati,1,no mistake,no correction needed,no correction needed,no answer needed
bocce_5,IBQ,IBQ_Italy.xlsx,Bocce,Quali sono le caratteristiche del campo di gioco visibile nell'immagine?,"a) In cemento
b) In erba
c) In sabbia
d) In legno",In erba,0,"The image shows a bowling green, which is a surface covered in a very short, dense grass or artificial turf. The question asks about the characteristics of the playing field and the correct answer should reflect this. While technically 'erba' (grass) is correct, it's not specific enough. The surface is not a typical lawn grass, but a specialized bowling surface.",Qual è la superficie del campo di gioco visibile nell'immagine?,"['a) Cemento', 'b) Erba sintetica', 'c) Sabbia', 'd) Legno']",b) Erba sintetica
bocce_5,IBQ,IBQ_Italy.xlsx,Bocce,Quanti giocatori sono visibili nell'immagine?,"a) Uno
b) Due
c) Tre
d) Quattro",Due,1,no mistake,no correction needed,no correction needed,no answer needed
bocce_5,IBQ,IBQ_Italy.xlsx,Bocce,Qual è l'atteggiamento dei giocatori visibili nell'immagine?,"a) Rilassato
b) Concentrato
c) Disinteressato
d) Arrabbiato",Concentrato,1,no mistake,no correction needed,no correction needed,no answer needed
bocce_5,IBQ,IBQ_Italy.xlsx,Bocce,Quali accessori si vedono nell'immagine oltre alle bocce?,"a) Racchette
b) Bastoni
c) Occhiali da sole
d) Nessuno accessorio",Nessuno accessorio,1,no mistake,no correction needed,no correction needed,no answer needed
bocce_6,IBQ,IBQ_Italy.xlsx,Bocce,Quali colori di bocce sono visibili nell'immagine?,"a) Rosso e verde
b) Blu e giallo
c) Bianco e nero
d) Arancione e viola",Rosso e verde,1,no mistake,no correction needed,no correction needed,no answer needed
bocce_6,IBQ,IBQ_Italy.xlsx,Bocce,Che tipo di ambiente circonda il campo di bocce nell'immagine?,"a) Urbano
b) Montano
c) Naturale
d) Marino",Naturale,1,no mistake,no correction needed,no correction needed,no answer needed
bocce_6,IBQ,IBQ_Italy.xlsx,Bocce,Qual è la posizione delle persone rispetto alle bocce nell'immagine?,"a) Accanto
b) A distanza
c) Lontano
d) Tra le bocce",Accanto,1,no mistake,no correction needed,no correction needed,no answer needed
bocce_6,IBQ,IBQ_Italy.xlsx,Bocce,Quali azioni stanno compiendo le persone nell'immagine?,"a) Lanciando le bocce
b) Osservando
c) Disegnando
d) Giocando a carte",Lanciando le bocce,1,no mistake,no correction needed,no correction needed,no answer needed
bocce_7,IBQ,IBQ_Italy.xlsx,Bocce,Che tipo di abbigliamento indossano i giocatori di bocce nell'immagine?,"a) Magliette rosse
b) Magliette blu
c) Pantaloni bianchi
d) Cappelli neri",Magliette rosse e blu,0,The correct answer 'Magliette rosse e blu' is not a single option. The question asks for 'what type of clothing' and the answer should be a single choice.,Che colore di maglietta indossano i giocatori di bocce nell'immagine?,"['a) Rossa', 'b) Blu', 'c) Bianca', 'd) Nera']",a) Rossa
bocce_7,IBQ,IBQ_Italy.xlsx,Bocce,Qual è la superficie su cui si gioca a bocce nell'immagine?,"a) Erba naturale
b) Cemento
c) Sabbia
d) Erba sintetica",Erba naturale,1,no mistake,no correction needed,no correction needed,no answer needed
bocce_7,IBQ,IBQ_Italy.xlsx,Bocce,Quali accessori o attrezzature sono visibili nell'immagine?,"a) Racchette
b) Bastoni
c) Occhiali da sole
d) Nessuno accessorio",Nessuno accessorio,0,"The question asks about visible accessories or equipment in the image. Bocce balls are clearly visible, making the correct answer 'Nessuno accessorio' incorrect. The question is logically sound, but the answer doesn't align with the visual information.",Quali accessori o attrezzature sono visibili nell'immagine?,"['Racchette', 'Bastoni', 'Occhiali da sole', 'Bocce']",Bocce
