Started at: 10:24:08

📌 Processing: /DATA/rohan_kirti/country/indonesia/SBQ/Indonesia_SBQ.xlsx
✅ Saved → SBQ | Karapan_Sapi | Row 0
✅ Saved → SBQ | Karapan_Sapi | Row 1
✅ Saved → SBQ | Karapan_Sapi | Row 2
✅ Saved → SBQ | Karapan_Sapi | Row 3
✅ Saved → SBQ | Karapan_Sapi | Row 4
✅ Saved → SBQ | Karapan_Sapi | Row 5
✅ Saved → SBQ | Karapan_Sapi | Row 6
✅ Saved → SBQ | Karapan_Sapi | Row 7
✅ Saved → SBQ | Karapan_Sapi | Row 8
✅ Saved → SBQ | Karapan_Sapi | Row 9
✅ Saved → SBQ | Karapan_Sapi | Row 10
✅ Saved → SBQ | Karapan_Sapi | Row 11
✅ Saved → SBQ | Karapan_Sapi | Row 12
✅ Saved → SBQ | Karapan_Sapi | Row 13
✅ Saved → SBQ | Karapan_Sapi | Row 14
✅ Saved → SBQ | Karapan_Sapi | Row 15
✅ Saved → SBQ | Karapan_Sapi | Row 16
✅ Saved → SBQ | Karapan_Sapi | Row 17
✅ Saved → SBQ | Karapan_Sapi | Row 18
✅ Saved → SBQ | Karapan_Sapi | Row 19
✅ Saved → SBQ | Karapan_Sapi | Row 20
✅ Saved → SBQ | Karapan_Sapi | Row 21
✅ Saved → SBQ | Karapan_Sapi | Row 22
✅ Saved → SBQ | Karapan_Sapi | Row 23
✅ Saved → SBQ | Karapan_Sapi | Row 24
✅ Saved → SBQ | Karapan_Sapi | Row 25
✅ Saved → SBQ | Karapan_Sapi | Row 26
✅ Saved → SBQ | Karapan_Sapi | Row 27
✅ Saved → SBQ | Karapan_Sapi | Row 28
✅ Saved → SBQ | Karapan_Sapi | Row 29
✅ Saved → SBQ | Karapan_Sapi | Row 30
✅ Saved → SBQ | Karapan_Sapi | Row 31
✅ Saved → SBQ | Karapan_Sapi | Row 32
✅ Saved → SBQ | Karapan_Sapi | Row 33
✅ Saved → SBQ | Karapan_Sapi | Row 34
✅ Saved → SBQ | Karapan_Sapi | Row 35
✅ Saved → SBQ | Karapan_Sapi | Row 36
✅ Saved → SBQ | Karapan_Sapi | Row 37
✅ Saved → SBQ | Karapan_Sapi | Row 38
✅ Saved → SBQ | Karapan_Sapi | Row 39
✅ Saved → SBQ | Karapan_Sapi | Row 40
✅ Saved → SBQ | Karapan_Sapi | Row 41
✅ Saved → SBQ | Karapan_Sapi | Row 42
✅ Saved → SBQ | Karapan_Sapi | Row 43
✅ Saved → SBQ | Karapan_Sapi | Row 44
✅ Saved → SBQ | Karapan_Sapi | Row 45
✅ Saved → SBQ | Karapan_Sapi | Row 46
✅ Saved → SBQ | Karapan_Sapi | Row 47
✅ Saved → SBQ | Karapan_Sapi | Row 48
✅ Saved → SBQ | Karapan_Sapi | Row 49
✅ Saved → SBQ | Karapan_Sapi | Row 50
✅ Saved → SBQ | Karapan_Sapi | Row 51
✅ Saved → SBQ | Karapan_Sapi | Row 52
✅ Saved → SBQ | Karapan_Sapi | Row 53
✅ Saved → SBQ | Karapan_Sapi | Row 54
✅ Saved → SBQ | Karapan_Sapi | Row 55
✅ Saved → SBQ | Karapan_Sapi | Row 56
✅ Saved → SBQ | Karapan_Sapi | Row 57
✅ Saved → SBQ | Karapan_Sapi | Row 58
✅ Saved → SBQ | Karapan_Sapi | Row 59
✅ Saved → SBQ | Karapan_Sapi | Row 60
✅ Saved → SBQ | Karapan_Sapi | Row 61
✅ Saved → SBQ | Karapan_Sapi | Row 62
✅ Saved → SBQ | Karapan_Sapi | Row 63
✅ Saved → SBQ | Karapan_Sapi | Row 64
✅ Saved → SBQ | Karapan_Sapi | Row 65
✅ Saved → SBQ | Karapan_Sapi | Row 66
✅ Saved → SBQ | Karapan_Sapi | Row 67
✅ Saved → SBQ | Karapan_Sapi | Row 68
✅ Saved → SBQ | Karapan_Sapi | Row 69
✅ Saved → SBQ | Karapan_Sapi | Row 70
✅ Saved → SBQ | Karapan_Sapi | Row 71
✅ Saved → SBQ | Karapan_Sapi | Row 72
✅ Saved → SBQ | Karapan_Sapi | Row 73
✅ Saved → SBQ | Karapan_Sapi | Row 74
✅ Saved → SBQ | Karapan_Sapi | Row 75
✅ Saved → SBQ | Karapan_Sapi | Row 76
✅ Saved → SBQ | Karapan_Sapi | Row 77
✅ Saved → SBQ | Karapan_Sapi | Row 78
✅ Saved → SBQ | Karapan_Sapi | Row 79
✅ Saved → SBQ | Karapan_Sapi | Row 80
✅ Saved → SBQ | Karapan_Sapi | Row 81
✅ Saved → SBQ | Karapan_Sapi | Row 82
✅ Saved → SBQ | Karapan_Sapi | Row 83
✅ Saved → SBQ | Karapan_Sapi | Row 84
✅ Saved → SBQ | Karapan_Sapi | Row 85
✅ Saved → SBQ | Karapan_Sapi | Row 86
✅ Saved → SBQ | Karapan_Sapi | Row 87
✅ Saved → SBQ | Karapan_Sapi | Row 88
✅ Saved → SBQ | Karapan_Sapi | Row 89
✅ Saved → SBQ | Karapan_Sapi | Row 90
✅ Saved → SBQ | Karapan_Sapi | Row 91
✅ Saved → SBQ | Karapan_Sapi | Row 92
✅ Saved → SBQ | Karapan_Sapi | Row 93
✅ Saved → SBQ | Karapan_Sapi | Row 94
✅ Saved → SBQ | Karapan_Sapi | Row 95
✅ Saved → SBQ | Karapan_Sapi | Row 96
✅ Saved → SBQ | Karapan_Sapi | Row 97
✅ Saved → SBQ | Karapan_Sapi | Row 98
✅ Saved → SBQ | Karapan_Sapi | Row 99
✅ Saved → SBQ | Karapan_Sapi | Row 100
✅ Saved → SBQ | Karapan_Sapi | Row 101
✅ Saved → SBQ | Karapan_Sapi | Row 102
✅ Saved → SBQ | Karapan_Sapi | Row 103
✅ Saved → SBQ | Karapan_Sapi | Row 104
✅ Saved → SBQ | Karapan_Sapi | Row 105
✅ Saved → SBQ | Karapan_Sapi | Row 106
✅ Saved → SBQ | Karapan_Sapi | Row 107
✅ Saved → SBQ | Karapan_Sapi | Row 108
✅ Saved → SBQ | Karapan_Sapi | Row 109
✅ Saved → SBQ | Karapan_Sapi | Row 110
✅ Saved → SBQ | Karapan_Sapi | Row 111
✅ Saved → SBQ | Karapan_Sapi | Row 112
✅ Saved → SBQ | Karapan_Sapi | Row 113
✅ Saved → SBQ | Karapan_Sapi | Row 114
✅ Saved → SBQ | Karapan_Sapi | Row 115
✅ Saved → SBQ | Karapan_Sapi | Row 116
✅ Saved → SBQ | Karapan_Sapi | Row 117
✅ Saved → SBQ | Karapan_Sapi | Row 118
✅ Saved → SBQ | Karapan_Sapi | Row 119
✅ Saved → SBQ | Karapan_Sapi | Row 120
✅ Saved → SBQ | Karapan_Sapi | Row 121
✅ Saved → SBQ | Karapan_Sapi | Row 122
✅ Saved → SBQ | Karapan_Sapi | Row 123
✅ Saved → SBQ | Karapan_Sapi | Row 124
✅ Saved → SBQ | Karapan_Sapi | Row 125
✅ Saved → SBQ | Karapan_Sapi | Row 126
✅ Saved → SBQ | Karapan_Sapi | Row 127
✅ Saved → SBQ | Karapan_Sapi | Row 128
✅ Saved → SBQ | Karapan_Sapi | Row 129
✅ Saved → SBQ | Karapan_Sapi | Row 130
✅ Saved → SBQ | Karapan_Sapi | Row 131
✅ Saved → SBQ | Karapan_Sapi | Row 132
✅ Saved → SBQ | Karapan_Sapi | Row 133
✅ Saved → SBQ | Karapan_Sapi | Row 134
✅ Saved → SBQ | Karapan_Sapi | Row 135
✅ Saved → SBQ | Karapan_Sapi | Row 136
✅ Saved → SBQ | Karapan_Sapi | Row 137
✅ Saved → SBQ | Karapan_Sapi | Row 138
✅ Saved → SBQ | Karapan_Sapi | Row 139
✅ Saved → SBQ | Karapan_Sapi | Row 140
✅ Saved → SBQ | Karapan_Sapi | Row 141
✅ Saved → SBQ | Karapan_Sapi | Row 142
✅ Saved → SBQ | Karapan_Sapi | Row 143
✅ Saved → SBQ | Karapan_Sapi | Row 144
✅ Saved → SBQ | Karapan_Sapi | Row 145
✅ Saved → SBQ | Karapan_Sapi | Row 146
✅ Saved → SBQ | Karapan_Sapi | Row 147
✅ Saved → SBQ | Karapan_Sapi | Row 148
✅ Saved → SBQ | Karapan_Sapi | Row 149
✅ Saved → SBQ | Peresean | Row 0
✅ Saved → SBQ | Peresean | Row 1
✅ Saved → SBQ | Peresean | Row 2
✅ Saved → SBQ | Peresean | Row 3
✅ Saved → SBQ | Peresean | Row 4
✅ Saved → SBQ | Peresean | Row 5
✅ Saved → SBQ | Peresean | Row 6
✅ Saved → SBQ | Peresean | Row 7
✅ Saved → SBQ | Peresean | Row 8
✅ Saved → SBQ | Peresean | Row 9
✅ Saved → SBQ | Peresean | Row 10
✅ Saved → SBQ | Peresean | Row 11
✅ Saved → SBQ | Peresean | Row 12
✅ Saved → SBQ | Peresean | Row 13
✅ Saved → SBQ | Peresean | Row 14
✅ Saved → SBQ | Peresean | Row 15
✅ Saved → SBQ | Peresean | Row 16
✅ Saved → SBQ | Peresean | Row 17
✅ Saved → SBQ | Peresean | Row 18
✅ Saved → SBQ | Peresean | Row 19
✅ Saved → SBQ | Peresean | Row 20
✅ Saved → SBQ | Peresean | Row 21
✅ Saved → SBQ | Peresean | Row 22
✅ Saved → SBQ | Peresean | Row 23
✅ Saved → SBQ | Peresean | Row 24
✅ Saved → SBQ | Peresean | Row 25
✅ Saved → SBQ | Peresean | Row 26
✅ Saved → SBQ | Peresean | Row 27
✅ Saved → SBQ | Peresean | Row 28
✅ Saved → SBQ | Peresean | Row 29
✅ Saved → SBQ | Peresean | Row 30
✅ Saved → SBQ | Peresean | Row 31
✅ Saved → SBQ | Peresean | Row 32
✅ Saved → SBQ | Peresean | Row 33
✅ Saved → SBQ | Peresean | Row 34
✅ Saved → SBQ | Peresean | Row 35
✅ Saved → SBQ | Peresean | Row 36
✅ Saved → SBQ | Peresean | Row 37
✅ Saved → SBQ | Peresean | Row 38
✅ Saved → SBQ | Peresean | Row 39
✅ Saved → SBQ | Peresean | Row 40
✅ Saved → SBQ | Peresean | Row 41
✅ Saved → SBQ | Peresean | Row 42
✅ Saved → SBQ | Peresean | Row 43
✅ Saved → SBQ | Peresean | Row 44
✅ Saved → SBQ | Peresean | Row 45
✅ Saved → SBQ | Peresean | Row 46
✅ Saved → SBQ | Peresean | Row 47
✅ Saved → SBQ | Peresean | Row 48
✅ Saved → SBQ | Peresean | Row 49
✅ Saved → SBQ | Peresean | Row 50
✅ Saved → SBQ | Peresean | Row 51
✅ Saved → SBQ | Peresean | Row 52
✅ Saved → SBQ | Peresean | Row 53
✅ Saved → SBQ | Peresean | Row 54
✅ Saved → SBQ | Peresean | Row 55
✅ Saved → SBQ | Peresean | Row 56
✅ Saved → SBQ | Peresean | Row 57
✅ Saved → SBQ | Peresean | Row 58
✅ Saved → SBQ | Peresean | Row 59
✅ Saved → SBQ | Peresean | Row 60
✅ Saved → SBQ | Peresean | Row 61
✅ Saved → SBQ | Peresean | Row 62
✅ Saved → SBQ | Peresean | Row 63
✅ Saved → SBQ | Peresean | Row 64
✅ Saved → SBQ | Peresean | Row 65
✅ Saved → SBQ | Peresean | Row 66
✅ Saved → SBQ | Peresean | Row 67
✅ Saved → SBQ | Peresean | Row 68
✅ Saved → SBQ | Peresean | Row 69
✅ Saved → SBQ | Peresean | Row 70
✅ Saved → SBQ | Peresean | Row 71
✅ Saved → SBQ | Peresean | Row 72
✅ Saved → SBQ | Peresean | Row 73
✅ Saved → SBQ | Peresean | Row 74
✅ Saved → SBQ | Peresean | Row 75
✅ Saved → SBQ | Peresean | Row 76
✅ Saved → SBQ | Peresean | Row 77
✅ Saved → SBQ | Peresean | Row 78
✅ Saved → SBQ | Peresean | Row 79
✅ Saved → SBQ | Peresean | Row 80
✅ Saved → SBQ | Peresean | Row 81
✅ Saved → SBQ | Peresean | Row 82
✅ Saved → SBQ | Peresean | Row 83
✅ Saved → SBQ | Peresean | Row 84
