image_no,country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
kabaddi_1,IBQ,India_IBQ.xlsx,Kabaddi,चित्र में कौन सा खेल दर्शाया गया है?,"A) क्रिकेट, B) कबड्डी, C) फुटबॉल, D) बास्केटबॉल",बी) कबड्डी,1,no mistake,no correction needed,no correction needed,no answer needed
kabaddi_1,IBQ,India_IBQ.xlsx,Kabaddi,चित्र में किस प्रकार का न्यायालय दिखाया गया है?,"A) टेनिस कोर्ट, B) वॉलीबॉल कोर्ट, C) कबड्डी कोर्ट, D) बास्केटबॉल कोर्ट",C) कबड्डी कोर्ट,1,no mistake,no correction needed,no correction needed,no answer needed
kabaddi_1,IBQ,India_IBQ.xlsx,Kabaddi,चित्र में दिखाए गए खेल में प्रयुक्त मुख्य कौशल क्या है?,"A) ड्रिब्लिंग, B) रेडिंग और टैकलिंग, C) पासिंग, D) सर्विंग",बी) रेडिंग और टैकलिंग,1,no mistake,no correction needed,no correction needed,no answer needed
kabaddi_1,IBQ,India_IBQ.xlsx,Kabaddi,चित्र में दिखाया गया खेल किस देश में सबसे अधिक लोकप्रिय है?,"A) यूएसए, B) भारत, C) ऑस्ट्रेलिया, D) चीन",बी) भारत,1,no mistake,no correction needed,no correction needed,no answer needed
kabaddi_2,IBQ,India_IBQ.xlsx,Kabaddi,चित्र में खिलाड़ियों द्वारा की जा रही रक्षात्मक कार्रवाई क्या है?,"A) रेडर को रोकना, B) पास देना, C) ड्रिब्लिंग करना, D) शूटिंग करना",A) हमलावर को रोकना,1,no mistake,no correction needed,no correction needed,no answer needed
kabaddi_2,IBQ,India_IBQ.xlsx,Kabaddi,बचाव करने वाले खिलाड़ी हमलावर को कौन सी रेखा पार करने से रोकने का प्रयास कर रहे हैं?,"A) गोल लाइन, B) सेंटर लाइन, C) टचलाइन, D) अंतिम लाइन",बी) केंद्र रेखा,1,no mistake,no correction needed,no correction needed,no answer needed
kabaddi_2,IBQ,India_IBQ.xlsx,Kabaddi,चित्र में बचाव दल का प्राथमिक उद्देश्य क्या है?,"A) आक्रमण करके अंक अर्जित करना, B) हमलावर को भागने से रोकना, C) गेंद पास करना, D) विरोधियों को ड्रिबल करके पीछे छोड़ना",बी) हमलावर को भागने से रोकने के लिए,1,no mistake,no correction needed,no correction needed,no answer needed
kabaddi_2,IBQ,India_IBQ.xlsx,Kabaddi,चित्र में दर्शाई गई रक्षात्मक रणनीति का वर्णन किस शब्द से किया गया है?,"A) टैकल, B) रेड, C) पास, D) ड्रिबल",ए) टैकल,1,no mistake,no correction needed,no correction needed,no answer needed
kabaddi_3,IBQ,India_IBQ.xlsx,Kabaddi,कबड्डी कोर्ट पर कितनी मुख्य लाइनें होती हैं?,"ए) 2, बी) 4, सी) 6, डी) 8",बी) 4,1,no mistake,no correction needed,no correction needed,no answer needed
kabaddi_3,IBQ,India_IBQ.xlsx,Kabaddi,कबड्डी कोर्ट पर चिन्हित दो प्राथमिक क्षेत्र कौन से हैं?,"ए) आक्रमण और रक्षा क्षेत्र, बी) छापा और रक्षा क्षेत्र, सी) सेवा और प्राप्ति क्षेत्र, डी) गोल और दंड क्षेत्र",बी) छापे और रक्षा क्षेत्र,1,no mistake,no correction needed,no correction needed,no answer needed
kabaddi_3,IBQ,India_IBQ.xlsx,Kabaddi,इसमें कबड्डी कोर्ट के प्रत्येक आधे भाग की लंबाई कितनी है?,"A) 5 मीटर, B) 7 मीटर, C) 9 मीटर, D) 10 मीटर",डी) 10 मीटर,1,no mistake,no correction needed,no correction needed,no answer needed
kabaddi_3,IBQ,India_IBQ.xlsx,Kabaddi,सेंट्रल लाइन का उद्देश्य क्या है?,"A) कोर्ट को आक्रमण और रक्षा क्षेत्र में विभाजित करना, B) सर्विंग क्षेत्र को चिह्नित करना, C) गोल क्षेत्र को परिभाषित करना, D) सीमा रेखाओं को इंगित करना",A) कोर्ट को आक्रमण और रक्षा क्षेत्रों में विभाजित करना,1,no mistake,no correction needed,no correction needed,no answer needed
