country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
RBQ,France_RBQ.xlsx,Nautical_Jousting,Quel est l'objectif principal qu'un jouteur doit atteindre pour remporter un passage à la manière languedocienne ?,"A) Briser leur lance, B) Faire tomber l'adversaire à l'eau tout en restant sur la plateforme, C) Avoir le bateau le plus rapide, D) Marquer des points avec style",B) Faire tomber l'adversaire à l'eau tout en restant sur la plateforme,1,no mistake,no correction needed,no correction needed,B) Faire tomber l'adversaire à l'eau tout en restant sur la plateforme
RBQ,France_RBQ.xlsx,Nautical_Jousting,Quels sont les deux équipements essentiels utilisés par un jouteur lors d'un match ?,"A) Une épée et un casque, B) Une lance et un pavois, C) Un filet et un trident, D) Une rame et une corde",B) Une lance et un bouclier (pavois),0,"The correct answer provided in the note is 'Une lance et un bouclier (pavois)', but the option B in the question is written as 'Une lance et un pavois'. While 'pavois' can mean a type of shield, the term is archaic and less commonly used in modern French to refer to a jousting shield; more accurately, 'bouclier' is the standard term. Additionally, the question lists 'pavois' as the option but the correct answer references 'bouclier (pavois)', creating inconsistency. The question implies 'pavois' is correct, but the answer key adds 'bouclier' in parentheses, which is not reflected in the options. This mismatch makes the MCQ flawed.",Quels sont les deux équipements essentiels utilisés par un jouteur lors d'un match ?,"['A) Une épée et un casque', 'B) Une lance et un bouclier', 'C) Un filet et un trident', 'D) Une rame et une corde']",B) Une lance et un bouclier
RBQ,France_RBQ.xlsx,Nautical_Jousting,Quel est le rôle des dix rameurs dans un bateau de joute lourd ?,"A) Faire office de juges, B) Propulser le bateau à une allure constante et puissante, C) Secourir un jouteur tombé, D) Jouer d'instruments de musique",B) Propulser le bateau vers l'avant à une vitesse constante et puissante,1,no mistake,no correction needed,no correction needed,B) Propulser le bateau à une allure constante et puissante
RBQ,France_RBQ.xlsx,Nautical_Jousting,Quel est le nom de la plateforme surélevée à l'arrière du bateau sur laquelle se tient le jouteur ?,"A) Le pont, B) Le gaillard d'avant, C) La tonneau, D) La tribune",C) La tintaine,0,"The question asks for the name of the elevated platform at the back of the boat where the jouster stands, but the provided correct answer 'La tintaine' is not among the options. The option 'C) La tonneau' is misspelled or incorrect; the correct term in French for the elevated platform at the stern of a boat used in jousting is 'la tintaine', which is missing from the options. The question and options are therefore inconsistent.",Quel est le nom de la plateforme surélevée à l'arrière du bateau sur laquelle se tient le jouteur ?,"['A) Le pont', ""B) Le gaillard d'avant"", 'C) La tintaine', 'D) La tribune']",C) La tintaine
RBQ,France_RBQ.xlsx,Nautical_Jousting,Un jouteur tombe à l'eau. Quelle est la conséquence immédiate pour lui dans cette situation ?,"A) Ils reçoivent une pénalité, B) Ils ont perdu la passe, C) Ils peuvent remonter en selle et continuer, D) La passe est rejouée",B) Ils ont perdu le laissez-passer,0,"The question refers to 'un jouteur' (a jouster), but the context and options mention 'passe' and 'laissez-passer', which are terms from rugby or football, not jousting. Jousting involves knights on horses with lances, and falling into water is not a standard scenario with penalties or passes. The terminology is inconsistent and factually incorrect for jousting. Additionally, 'laissez-passer' means 'pass' in the sense of a document or permit, not a sports pass — this is a mistranslation or misuse.",Un joueur de rugby tombe dans l'eau pendant une passe. Quelle est la conséquence immédiate pour lui dans cette situation ?,"['A) Ils reçoivent une pénalité', 'B) Ils ont perdu la passe', 'C) Ils peuvent remonter en selle et continuer', 'D) La passe est rejouée']",B) Ils ont perdu la passe
RBQ,France_RBQ.xlsx,Nautical_Jousting,Quelle est la fonction principale du bouclier en bois ou pavois ?,"A) Pour augmenter la vitesse du bateau, B) Pour servir de cible à la lance de l'adversaire et protéger le jouteur, C) Pour faciliter la récupération des jouteurs tombés au combat, D) C'est purement décoratif",B) Servir de cible à la lance de l'adversaire et protéger le jouteur,1,no mistake,no correction needed,no correction needed,B) Pour servir de cible à la lance de l'adversaire et protéger le jouteur
RBQ,France_RBQ.xlsx,Nautical_Jousting,Quel est le nombre standard de membres d'équipage sur un bateau de joute de méthode languedocienne ?,"A) 8, B) 10, C) 12, D) 14",C) 12,1,no mistake,no correction needed,no correction needed,C) 12
RBQ,France_RBQ.xlsx,Nautical_Jousting,Quel est le rôle du tambour et du hautbois lors de l'approche des bateaux ?,"A) Pour signaler le début de la compétition, B) Pour donner le rythme aux rameurs, C) Pour encourager les spectateurs, D) Pour déconcentrer l'équipe adverse",B) Donner le rythme et la cadence aux rameurs,1,no mistake,no correction needed,no correction needed,B) Pour donner le rythme aux rameurs
RBQ,France_RBQ.xlsx,Nautical_Jousting,Quels types de bateaux sont traditionnellement et officiellement utilisés lors des tournois de joutes à Sète et à Lyon ?,"A) Bateaux en métal, B) Bateaux en plastique, C) Bateaux en bois, D) Bateaux en fibre de verre",C) Bateaux en bois,1,no mistake,no correction needed,no correction needed,C) Bateaux en bois
RBQ,France_RBQ.xlsx,Nautical_Jousting,Un jouteur porte un uniforme blanc. Quelle est la signification de cette tenue ?,"A) C'est la couleur du drapeau français, B) C'est la tenue traditionnelle et obligatoire pour tous les jouteurs, symbolisant l'équité, C) C'est la couleur de l'équipe locale, D) Cela permet au jouteur de rester au frais","B) C'est la tenue traditionnelle et obligatoire pour tous les jouteurs, symbolisant l'équité.",1,no mistake,no correction needed,no correction needed,"B) C'est la tenue traditionnelle et obligatoire pour tous les jouteurs, symbolisant l'équité"
RBQ,France_RBQ.xlsx,Nautical_Jousting,Quelle est la décision à prendre si les deux jouteurs tombent à l'eau lors de la même passe ?,A) Le tour est rejoué. B) Le jouteur tombé en premier perd. C) Le jouteur tombé en dernier perd. D) Les deux jouteurs sont éliminés.,A) La passe est rejouée,0,"The question mentions 'la même passe' but the correct answer is phrased as 'La passe est rejouée', which is inconsistent in terminology. Additionally, the correct answer option in the provided list is mislabeled as 'A) Le tour est rejoué' while the stated correct answer is 'A) La passe est rejouée' — this is a contradiction. The options do not match the stated correct answer.",Quelle est la décision à prendre si les deux jouteurs tombent à l'eau lors de la même passe ?,"['A) La passe est rejouée.', 'B) Le jouteur tombé en premier perd.', 'C) Le jouteur tombé en dernier perd.', 'D) Les deux jouteurs sont éliminés.']",A) La passe est rejouée.
