Started at: 09:20:12
SBQ

📌 Processing: /DATA/rohan_kirti/country/germany/SBQ/SBQ_Germany.xlsx
Rowing (Rudern)
✅ Saved → SBQ | Rowing (Rudern) | Row 0
✅ Saved → SBQ | Rowing (Rudern) | Row 1
✅ Saved → SBQ | Rowing (Rudern) | Row 2
✅ Saved → SBQ | Rowing (Rudern) | Row 3
✅ Saved → SBQ | Rowing (Rudern) | Row 4
✅ Saved → SBQ | Rowing (Rudern) | Row 5
✅ Saved → SBQ | Rowing (Rudern) | Row 6
✅ Saved → SBQ | Rowing (Rudern) | Row 7
✅ Saved → SBQ | Rowing (Rudern) | Row 8
✅ Saved → SBQ | Rowing (Rudern) | Row 9
✅ Saved → SBQ | Rowing (Rudern) | Row 10
✅ Saved → SBQ | Rowing (Rudern) | Row 11
✅ Saved → SBQ | Rowing (Rudern) | Row 12
✅ Saved → SBQ | Rowing (Rudern) | Row 13
✅ Saved → SBQ | Rowing (Rudern) | Row 14
✅ Saved → SBQ | Rowing (Rudern) | Row 15
✅ Saved → SBQ | Rowing (Rudern) | Row 16
✅ Saved → SBQ | Rowing (Rudern) | Row 17
✅ Saved → SBQ | Rowing (Rudern) | Row 18
✅ Saved → SBQ | Rowing (Rudern) | Row 19
✅ Saved → SBQ | Rowing (Rudern) | Row 20
✅ Saved → SBQ | Rowing (Rudern) | Row 21
✅ Saved → SBQ | Rowing (Rudern) | Row 22
✅ Saved → SBQ | Rowing (Rudern) | Row 23
✅ Saved → SBQ | Rowing (Rudern) | Row 24
✅ Saved → SBQ | Rowing (Rudern) | Row 25
✅ Saved → SBQ | Rowing (Rudern) | Row 26
✅ Saved → SBQ | Rowing (Rudern) | Row 27
✅ Saved → SBQ | Rowing (Rudern) | Row 28
✅ Saved → SBQ | Rowing (Rudern) | Row 29
✅ Saved → SBQ | Rowing (Rudern) | Row 30
✅ Saved → SBQ | Rowing (Rudern) | Row 31
✅ Saved → SBQ | Rowing (Rudern) | Row 32
✅ Saved → SBQ | Rowing (Rudern) | Row 33
✅ Saved → SBQ | Rowing (Rudern) | Row 34
✅ Saved → SBQ | Rowing (Rudern) | Row 35
✅ Saved → SBQ | Rowing (Rudern) | Row 36
