image_no,country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
horse_racing_15.jpg,IBQ,IBQ_Sudan.xlsx,Horse_Racing,ما هي المرحلة من سباق الخيل التي تُصوّرها هذه الصورة؟,أ) المرحلة الأخيرة، ب) بداية السباق، ج) لفة النصر، د) جلسة تدريبية,ب) بداية السباق,1,no mistake,no correction needed,no correction needed,no answer needed
horse_racing_15.jpg,IBQ,IBQ_Sudan.xlsx,Horse_Racing,ما هو الاسم الرسمي للمبنى الكبير الذي تخرج منه الخيول؟,أ) منطقة الحظيرة، ب) الإسطبلات، ج) بوابات البداية، د) خط النهاية,ج) بوابات البداية,1,no mistake,no correction needed,no correction needed,no answer needed
horse_racing_15.jpg,IBQ,IBQ_Sudan.xlsx,Horse_Racing,استنادًا إلى البرجين التوأمين الظاهرين أعلى المدرج الرئيسي، ما هو مضمار السباق الأمريكي الشهير الذي يُرجح ظهوره؟,أ) منتزه سانتا أنيتا، ب) مضمار سباق ساراتوغا، ج) تشرشل داونز، د) منتزه بيلمونت,ج) تشرشل داونز,1,no mistake,no correction needed,no correction needed,no answer needed
horse_racing_15.jpg,IBQ,IBQ_Sudan.xlsx,Horse_Racing,ما هو اسم المجموعة الكاملة من الخيول المتنافسة في السباق؟,أ) الحزمة، ب) الإسطبل، ج) السلسلة، د) الحقل,د) الحقل,1,no mistake,no correction needed,no correction needed,no answer needed
horse_racing_15.jpg,IBQ,IBQ_Sudan.xlsx,Horse_Racing,ماذا تمثل ألوان الحرير المختلفة التي يرتديها الفرسان في المقام الأول؟,أ) بلد منشأ الفارس، ب) مالك الحصان المسجل، ج) تفضيل الفارس الشخصي، د) راعي الفريق,ب) المالك المسجل للحصان,1,no mistake,no correction needed,no correction needed,no answer needed
horse_racing_15.jpg,IBQ,IBQ_Sudan.xlsx,Horse_Racing,ما هو تأثير العدسة ذات الزاوية الواسعة المستخدمة في هذه الصورة على المشهد؟,أ) يُسطّح المنظور، ب) يُنشئ منظرًا بانوراميًا مشوّهًا، ج) يعزل حصانًا واحدًا، د) يجعل الأشياء تبدو أقرب,ب) يخلق ذلك رؤية بانورامية مشوهة,1,no mistake,no correction needed,no correction needed,no answer needed
horse_racing_15.jpg,IBQ,IBQ_Sudan.xlsx,Horse_Racing,ماذا تمثل الأرقام الموجودة على أغطية السرج الوردية والخضراء؟,أ) عمر الحصان، ب) وزن الفارس، ج) رقم الحصان المخصص للسباق، د) عدد مرات فوز الحصان,ج) الرقم المخصص للحصان في السباق,1,no mistake,no correction needed,no correction needed,no answer needed
horse_racing_15.jpg,IBQ,IBQ_Sudan.xlsx,Horse_Racing,لماذا تتجه جميع الخيول في نفس الاتجاه؟,أ) إنهم يتبعون حصانًا متقدمًا، ب) إنهم في وضعية الاستعداد لبدء السباق، ج) إنهم يتخذون وضعية لالتقاط صورة، د) إنهم عائدون إلى الإسطبلات,ب) هم في وضع يسمح لهم ببدء السباق,1,no mistake,no correction needed,no correction needed,no answer needed
horse_racing_15.jpg,IBQ,IBQ_Sudan.xlsx,Horse_Racing,يشير هذا الحشد الكبير إلى أي نوع من أنواع الفعاليات؟,أ) تجربة خاصة، ب) يوم سباق رئيسي وعام، ج) جلسة تدريب يومية، د) مزاد,ب) يوم سباق رئيسي وعام,1,no mistake,no correction needed,no correction needed,no answer needed
horse_racing_15.jpg,IBQ,IBQ_Sudan.xlsx,Horse_Racing,ما هو السطح المحتمل لهذا المضمار؟,أ) العشب الطبيعي، ب) التراب، ج) الثلج، د) العشب الصناعي,ب) التراب,1,no mistake,no correction needed,no correction needed,no answer needed
horse_racing_1.jpg,IBQ,IBQ_Sudan.xlsx,Horse_Racing,ما هي القطعة من المعدات التي ترتديها عدة خيول على رؤوسها لتقييد رؤيتها والحفاظ على تركيزها؟,أ) كمامة، ب) لجام، ج) غطاء العينين، د) حبل المقود,ج) إشارات الانعطاف,0,"The correct answer provided is incorrect. 'إشارات الانعطاف' (turn signals) are not worn by horses. The question asks about equipment used to restrict a horse's vision and maintain focus, which refers to blinkers. Also the options are not clear enough.",ما هي القطعة من المعدات التي ترتديها بعض الخيول على رؤوسها لتقييد رؤيتها الجانبية والحفاظ على تركيزها؟,"['أ) كمامة', 'ب) لجام', 'ج) واقيات العين (غمامات)', 'د) حبل المقود']",ج) واقيات العين (غمامات)
horse_racing_1.jpg,IBQ,IBQ_Sudan.xlsx,Horse_Racing,ما هو الغرض الأساسي من وضعية الفارس المنحنية للأمام؟,أ) لرؤية خط النهاية بشكل أفضل، ب) لتقليل مقاومة الهواء، ج) لتوجيه الحصان بسهولة أكبر، د) ليبدو أطول قامة,ب) لتقليل مقاومة الرياح,1,no mistake,no correction needed,no correction needed,no answer needed
horse_racing_1.jpg,IBQ,IBQ_Sudan.xlsx,Horse_Racing,"ماذا يرمز إليه الرقم ""6"" الموجود على غطاء السرج الأحمر؟",أ) مركز انطلاق الحصان أو رقمه في البرنامج، ب) عمر الحصان، ج) احتمالات فوز الحصان، د) عدد الفرسان المشاركين في السباق,أ) مركز الحصان أو رقم البرنامج,1,no mistake,no correction needed,no correction needed,no answer needed
horse_racing_1.jpg,IBQ,IBQ_Sudan.xlsx,Horse_Racing,ما هو السبب الرئيسي لوجود السور الأبيض الموجود داخل المسار؟,أ) للزينة، ب) لتحديد حدود المضمار، ج) مكان لراحة الفرسان، د) لعرض الإعلانات,ب) لتحديد حدود المسار,1,no mistake,no correction needed,no correction needed,no answer needed
horse_racing_1.jpg,IBQ,IBQ_Sudan.xlsx,Horse_Racing,في أي مرحلة من مراحل العدو السريع يكون الحصان الأمامي (في أقصى اليمين)؟,أ) جميع الأقدام الأربعة على الأرض، ب) لحظة تعليق (جميع الأقدام مرفوعة عن الأرض)، ج) القدمان الأماميتان تهبطان، د) القدمان الخلفيتان تهبطان,ب) لحظة تعليق (جميع القدمين مرفوعتان عن الأرض),1,no mistake,no correction needed,no correction needed,no answer needed
horse_racing_1.jpg,IBQ,IBQ_Sudan.xlsx,Horse_Racing,ما هو أفضل وصف للسطح الذي تجري عليه الخيول؟,أ) مضمار عشبي، ب) مضمار ترابي، ج) مضمار صناعي، د) طريق معبد,ب) طريق ترابي,0,"The correct answer is inconsistent with the image provided. The image clearly shows horses running on a grass track, not a dirt track. The question asks for the 'best' description of the surface.",ما هو أفضل وصف للسطح الذي تجري عليه الخيول في الصورة؟,"['أ) مضمار عشبي', 'ب) مضمار ترابي', 'ج) مضمار صناعي', 'د) طريق معبد']",أ) مضمار عشبي
horse_racing_1.jpg,IBQ,IBQ_Sudan.xlsx,Horse_Racing,ما الغرض من السوط الذي يحمله الفرسان؟,أ) لإيذاء الحصان، ب) كوسيلة مساعدة في التوجيه وتشجيع الحصان، ج) للإشارة إلى الفرسان الآخرين، د) لتحقيق التوازن فقط,ب) كوسيلة مساعدة في التوجيه ولتشجيع الحصان,1,no mistake,no correction needed,no correction needed,no answer needed
horse_racing_1.jpg,IBQ,IBQ_Sudan.xlsx,Horse_Racing,ما لون الخوذة التي يرتديها الفارس على الحصان الأمامي (في أقصى اليمين)؟,أ) أزرق، ب) أبيض، ج) أخضر، د) برتقالي,ب) أبيض,1,no mistake,no correction needed,no correction needed,no answer needed
horse_racing_1.jpg,IBQ,IBQ_Sudan.xlsx,Horse_Racing,ما هو اللون الأساسي للحصان الذي يرتدي غطاء العينين الأحمر وغطاء السرج رقم 6؟,أ) أسود، ب) بني (خليجي)، ج) رمادي، د) كستنائي (بني محمر),د) كستنائي (بني محمر),1,no mistake,no correction needed,no correction needed,no answer needed
horse_racing_1.jpg,IBQ,IBQ_Sudan.xlsx,Horse_Racing,ما هو الاسم الرسمي للقمصان الملونة ذات النقوش التي يرتديها الفرسان؟,أ) قمصان رياضية، ب) أقمشة حريرية، ج) بلوزات، د) سترات سباق,ب) الحرير,1,no mistake,no correction needed,no correction needed,no answer needed
horse_racing_5.jpg,IBQ,IBQ_Sudan.xlsx,Horse_Racing,ما هي التقنية الفوتوغرافية التي تخلق خلفية ضبابية مع الحفاظ على وضوح الحصان والفارس بشكل نسبي؟,أ) التعريض الطويل، ب) التحريك البانورامي، ج) عدسة عين السمكة، د) الترشيح بالأبيض والأسود,ب) التحريك الأفقي,1,no mistake,no correction needed,no correction needed,no answer needed
horse_racing_5.jpg,IBQ,IBQ_Sudan.xlsx,Horse_Racing,ما هو الرقم المعروض على غطاء السرج البرتقالي؟,أ) 2، ب) 3، ج) 5، د) 7,ج) 5,1,no mistake,no correction needed,no correction needed,no answer needed
