country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
SBQ,Thailand_SBQ.xlsx,chon wua,คุณสังเกตเห็นว่าเพื่อนร่วมทีมในการต่อสู้วัวดูเหนื่อยล้า คุณจะทำอย่างไร?,A) รับบทผู้นำและกระตุ้นทีม; B) ลดความเร็วลง; C) รักษาจังหวะและสังเกต; D) ปรึกษาผู้ฝึกสอน,A) รับบทผู้นำและกระตุ้นทีม,0,"The question is factually incorrect because 'การต่อสู้วัว' (bull fighting) is not a team sport in Thailand or in standard sports contexts. It is a cultural spectacle, not a team-based athletic activity where teammates can be 'fatigued' and require leadership or strategy in a sports sense. The scenario misrepresents reality, making the MCQ invalid. Additionally, 'bull fighting' is not practiced as a team sport in Thailand; the term may be confused with 'การต่อสู้วัว' as in bull-running or rodeo, which still don't fit the context of team dynamics described.",คุณสังเกตเห็นว่าเพื่อนร่วมทีมในการแข่งขันฟุตบอลดูเหนื่อยล้า คุณจะทำอย่างไร?,"['A) รับบทผู้นำและกระตุ้นทีม', 'B) ล���ความเร็วลง', 'C) รักษาจังหวะและสังเกต', 'D) ปรึกษาผู้ฝึกสอน']",A) รับบทผู้นำและกระตุ้นทีม
SBQ,Thailand_SBQ.xlsx,chon wua,ผู้ฝึกสอนขอให้คุณนำร้องเพลงเชียร์ทีมในการต่อสู้วัว คุณจะทำอย่างไร?,A) ปฏิเสธ; B) เลือกเพลงที่ง่าย; C) ร้องแบบขาดพลัง; D) แต่งเพลงใหม่ที่ซับซ้อน,B) เลือกเพลงที่ง่าย,0,"The question is factually and logically incorrect because 'การต่อสู้วัว' (bullfighting) is not a sport associated with cheerleading songs in Thai culture or any mainstream context. Additionally, the scenario is culturally inappropriate and nonsensical — bullfighting is not practiced in Thailand, and cheerleading songs are not part of such events. The provided answer 'เลือกเพลงที่ง่าย' is arbitrary and not grounded in any real-world logic.",ผู้ฝึกสอนขอให้คุณนำร้องเพลงเชียร์ทีมในการแข่งขันฟุตบอล คุณจะทำอย่างไร?,"['A) ปฏิเสธ', 'B) เลือกเพลงที่ง่าย', 'C) ร้องแบบขาดพลัง', 'D) แต่งเพลงใหม่ที่ซับซ้อน']",B) เลือกเพลงที่ง่าย
SBQ,Thailand_SBQ.xlsx,chon wua,ขณะดูการต่อสู้วัว คุณสังเกตว่าฝูงชนไม่เป็นระเบียบ คุณจะทำอย่างไร?,A) ปรับตำแหน่งของคุณทันที; B) เพิกเฉยและดูต่อ; C) แจ้งผู้ฝึกสอน; D) เดินออกจากพื้นที่,A) ปรับตำแหน่งของคุณทันที,0,"The question is factually and logically incorrect because it asks about observing disorderly crowds during a bullfight and suggests adjusting one's position as the correct response, which is not a standard safety or procedural guideline. In reality, a disorderly crowd during a bullfight indicates potential danger, and the safest and most logical action is to leave the area, not adjust position. Option D is the correct response, not A.",ขณะดูการต่อสู้วัว คุณสังเกตว่าฝูงชนไม่เป็นระเบียบและเริ่มมีการผลักดัน คุณจะทำอย่างไร?,"['A) ปรับตำแหน่งของคุณทันที', 'B) เพิกเฉยและดูต่อ', 'C) แจ้งผู้ฝึกสอน', 'D) เดินออกจากพื��นที่']",D) เดินออกจากพื้นที่
SBQ,Thailand_SBQ.xlsx,chon wua,เพื่อนร่วมทีมทำจังหวะพลาดในระหว่างการต่อสู้วัว คุณจะทำอย่างไร?,A) ช่วยเขาอย่างเงียบๆ; B) ตำหนิเขาดังๆ; C) เล่นต่อไปตามปกติ; D) หยุดเกม,A) ช่วยเขาอย่างเงียบๆ,0,"The question refers to 'การต่อสู้วัว' (bullfighting), which is not a team sport and does not involve 'เพื่อนร่วมทีม' (teammates) in the way implied. Bullfighting is an individual performance, typically with a matador and assistants, but not a team-based competitive sport with coordinated plays like in football or basketball. The context is factually incorrect and misleading for a sports MCQ.",เพื่อนร่วมทีมทำจังหวะพลาดในระหว่างการแข่งขันฟุตบอล คุณจะทำอย่างไร?,"['A) ช่วยเขาอย่างเงียบๆ', 'B) ตำหนิเขาดังๆ', 'C) เล่นต่อไปตามปกติ', 'D) หยุดเกม']",A) ช่วยเขาอย่างเ��ียบๆ
SBQ,Thailand_SBQ.xlsx,chon wua,คุณเห็นว่าวัวเริ่มมีอาการเหนื่อยล้า คุณจะทำอย่างไร?,A) ปรับท่าทางการต่อสู้; B) หยุดการต่อสู้; C) แจ้งผู้ดูแลวัว; D) ขอโทษและหยุดเกม,C) แจ้งผู้ดูแลวัว,0,"The question is factually and logically incorrect because cows (วัว) are not involved in fighting or games. The options imply a context of animal combat or sport (e.g., bullfighting), which is not applicable to general cow care and misrepresents animal husbandry practices. This creates a nonsensical MCQ.",คุณเห็นว่าวัวเริ่มมีอาการเหนื่อยล้าหรือไม่สบาย คุณจะทำอย่างไร?,"['A) ปรับท่าทางการต่อสู้', 'B) หยุดการต่อสู้', 'C) แจ้งผู้ดูแลวัว', 'D) ขอโทษและหยุดเกม']",C) แจ้งผู้ดูแลวัว
SBQ,Thailand_SBQ.xlsx,chon wua,เพื่อนร่วมทีมของคุณบาดเจ็บระหว่างการต่อสู้ คุณจะทำอย่างไร?,A) ช่วยเขาทันที; B) แจ้งให้ผู้ฝึกสอนทราบ; C) เพิกเฉยและเล่นต่อ; D) หยุดการต่อสู้,A) ช่วยเขาทันที,0,"The question is not logically consistent with typical sports MCQ contexts. 'การต่อสู้' (fight) implies a combat sport like boxing or MMA, but in such sports, stopping to help an injured teammate is not standard protocol — the referee or medical staff handles injuries. Option A ('ช่วยเขาทันที') is not the correct professional response; the proper action is to stop the match and alert officials. Also, option D ('หยุดการต่อสู้') is more appropriate than A in a regulated sports setting. The question misrepresents sports ethics and safety protocols.",เพื่อนร่วมทีมของคุณบาดเจ็บระหว่างการแข่งขัน คุณจะทำอย่างไร?,"['A) ช่วยเขาทันที', 'B) แจ้งให้ผู้ตัดสินหรือเจ้า��น้าที่การแพทย์ทราบ', 'C) เพิกเฉยและเล่นต่อ', 'D) หยุดการแข่งขัน']",B) แจ้งให้ผู้ตัดสินหรือเจ้าหน้าที่การแพทย์ทราบ
SBQ,Thailand_SBQ.xlsx,chon wua,คุณต้องเลือกท่าทางในการต่อสู้ที่ดีที่สุดสำหรับวัวของคุณ คุณจะเลือกอะไร?,A) ท่าทางที่ยืดหยุ่น; B) ท่าทางที่ก้าวร้าว; C) ท่าทางที่ผ่อนคลาย; D) ท่าทางที่มั่นคง,A) ท่าทางที่ยืดหยุ่น,0,"The question is factually incorrect and illogical because cows do not engage in combat sports or fight with 'stances'. The concept of choosing a 'fighting stance' for a cow is nonsensical in reality, making this a invalid MCQ. Additionally, the provided answer 'ท่าทางที่ยืดหยุ่น' (flexible stance) has no basis in animal behavior or farming science.",คุณต้องเลือกท่าทางที่ดีที่สุดสำหรับวัวของคุณในการยืนหรือเคลื่อนไหวในฟาร์มเพื่อสุขภาพและความปลอดภัย คุณจะเลือกอะไร?,"['ท่าทางที่ยืดหยุ่น', 'ท่าทางที่ก้าวร้าว', 'ท่าทางที่ผ่อนคลาย', 'ท่าทางที่มั่นคง']",ท่าทางที่มั่นคง
SBQ,Thailand_SBQ.xlsx,chon wua,ผู้ชมเริ่มส่งเสียงดังและรบกวนการต่อสู้ คุณจะทำอย่างไร?,A) อดทนและมุ่งมั่น; B) ตำหนิผู้ชม; C) หยุดการต่อสู้; D) พูดคุยกับผู้ดูแล,A) อดทนและมุ่งมั่น,0,"The question is not factually or logically correct in a sports context. It describes a spectator disturbance during a 'fight' (การต่อสู้), which is ambiguous — it could imply a violent altercation rather than a regulated sport. In legitimate sports competitions (e.g., boxing, MMA), referees or officials, not athletes, are responsible for managing crowd disturbances. The correct response should involve following protocol, not personal endurance. Option A ('อดทนและมุ่งมั่น') is inappropriate as it suggests the athlete should ignore the crowd, which is not standard sports conduct.",ผู้ชมเริ่มส่งเสียงดังและรบกวนการแข่งขัน คุณในฐานะนักกีฬาควรทำอย่างไร?,"['A) อดทนและมุ่งมั่น', 'B) ตำหนิผู้ชม', 'C) หยุดการแข่งขัน', 'D) แจ้งผู้ตัดสินหรือเจ้าหน้าที่']",D) แจ้งผู้ตัดสินหรือเจ้าหน้าที่
SBQ,Thailand_SBQ.xlsx,chon wua,ขณะต่อสู้คุณรู้สึกกลัวว่าวัวอาจบาดเจ็บ คุณจะทำอย่างไร?,A) พยายามยุติการต่อสู้; B) แจ้งผู้ดูแลวัว; C) ยังคงต่อสู้ต่อไป; D) เปลี่ยนวิธีการต่อสู้,B) แจ้งผู้ดูแลวัว,0,"The question is logically flawed because it presents a scenario of 'fighting' with a bull, which is not a typical or safe context in real-world animal handling. The correct answer 'แจ้งผู้ดูแลวัว' (notify the cow handler) assumes the presence of a handler, but the question does not establish a realistic context (e.g., bullfighting is culturally specific and dangerous, and notifying a handler is not the standard or ethical response). Moreover, 'วัว' (cow) is not typically used in bullfighting — 'วัวกระทิง' (bull) would be more accurate. The question also implies the respondent is actively fighting, which is inappropriate and unsafe. The options do not include the most ethical and correct action: 'หยุดการต่อสู้ทันทีและแจ้งผู้เชี่ยวชาญ' (stop the fight immediately and alert a specialist).",ขณะชมการต่อ���ู้ของวัวกระทิง คุณสังเกตเห็นว่าวัวกำลังได้รับอันตรายอย่างรุนแรง คุณจะทำอย่างไร?,"['A) พยายามยุติการต่อสู้ด้วยตัวเอง', 'B) แจ้งผู้ดูแลหรือเจ้าหน้าที่จัดงานทันที', 'C) ยังคงดูการต่อสู้ต่อไป', 'D) ถ่ายภาพเพื่อรายงานบนโซเชียลมีเดีย']",B) แจ้งผู้ดูแลหรือเจ้าหน้าที่จัดงานทันที
SBQ,Thailand_SBQ.xlsx,chon wua,คุณเห็นว่าเพื่อนร่วมทีมยังไม่พร้อมสำหรับการต่อสู้ คุณจะทำอย่างไร?,A) ช่วยเขาฝึกซ้อม; B) ตำหนิเขาดังๆ; C) ปล่อยให้เขาตัดสินใจเอง; D) ประเมินทักษะของเขา,A) ช่วยเขาฝึกซ้อม,1,no mistake,no correction needed,no correction needed,A) ช่วยเขาฝึกซ้อม
