Started at: 09:42:47
SBQ

📌 Processing: /DATA/rohan_kirti/country/china/SBQ/China_SBQ.xlsx
cuju
✅ Saved → SBQ | cuju | Row 0
✅ Saved → SBQ | cuju | Row 1
✅ Saved → SBQ | cuju | Row 2
✅ Saved → SBQ | cuju | Row 3
✅ Saved → SBQ | cuju | Row 4
✅ Saved → SBQ | cuju | Row 5
✅ Saved → SBQ | cuju | Row 6
✅ Saved → SBQ | cuju | Row 7
✅ Saved → SBQ | cuju | Row 8
✅ Saved → SBQ | cuju | Row 9
✅ Saved → SBQ | cuju | Row 10
✅ Saved → SBQ | cuju | Row 11
✅ Saved → SBQ | cuju | Row 12
✅ Saved → SBQ | cuju | Row 13
✅ Saved → SBQ | cuju | Row 14
✅ Saved → SBQ | cuju | Row 15
✅ Saved → SBQ | cuju | Row 16
✅ Saved → SBQ | cuju | Row 17
✅ Saved → SBQ | cuju | Row 18
✅ Saved → SBQ | cuju | Row 19
✅ Saved → SBQ | cuju | Row 20
✅ Saved → SBQ | cuju | Row 21
✅ Saved → SBQ | cuju | Row 22
✅ Saved → SBQ | cuju | Row 23
✅ Saved → SBQ | cuju | Row 24
✅ Saved → SBQ | cuju | Row 25
✅ Saved → SBQ | cuju | Row 26
✅ Saved → SBQ | cuju | Row 27
✅ Saved → SBQ | cuju | Row 28
✅ Saved → SBQ | cuju | Row 29
✅ Saved → SBQ | cuju | Row 30
✅ Saved → SBQ | cuju | Row 31
✅ Saved → SBQ | cuju | Row 32
✅ Saved → SBQ | cuju | Row 33
✅ Saved → SBQ | cuju | Row 34
✅ Saved → SBQ | cuju | Row 35
✅ Saved → SBQ | cuju | Row 36
✅ Saved → SBQ | cuju | Row 37
✅ Saved → SBQ | cuju | Row 38
✅ Saved → SBQ | cuju | Row 39
✅ Saved → SBQ | cuju | Row 40
✅ Saved → SBQ | cuju | Row 41
✅ Saved → SBQ | cuju | Row 42
✅ Saved → SBQ | cuju | Row 43
✅ Saved → SBQ | cuju | Row 44
✅ Saved → SBQ | cuju | Row 45
✅ Saved → SBQ | cuju | Row 46
✅ Saved → SBQ | cuju | Row 47
✅ Saved → SBQ | cuju | Row 48
✅ Saved → SBQ | cuju | Row 49
✅ Saved → SBQ | cuju | Row 50
✅ Saved → SBQ | cuju | Row 51
✅ Saved → SBQ | cuju | Row 52
✅ Saved → SBQ | cuju | Row 53
✅ Saved → SBQ | cuju | Row 54
✅ Saved → SBQ | cuju | Row 55
✅ Saved → SBQ | cuju | Row 56
✅ Saved → SBQ | cuju | Row 57
✅ Saved → SBQ | cuju | Row 58
✅ Saved → SBQ | cuju | Row 59
✅ Saved → SBQ | cuju | Row 60
✅ Saved → SBQ | cuju | Row 61
✅ Saved → SBQ | cuju | Row 62
✅ Saved → SBQ | cuju | Row 63
✅ Saved → SBQ | cuju | Row 64
✅ Saved → SBQ | cuju | Row 65
✅ Saved → SBQ | cuju | Row 66
✅ Saved → SBQ | cuju | Row 67
✅ Saved → SBQ | cuju | Row 68
✅ Saved → SBQ | cuju | Row 69
✅ Saved → SBQ | cuju | Row 70
✅ Saved → SBQ | cuju | Row 71
✅ Saved → SBQ | cuju | Row 72
✅ Saved → SBQ | cuju | Row 73
✅ Saved → SBQ | cuju | Row 74
✅ Saved → SBQ | cuju | Row 75
✅ Saved → SBQ | cuju | Row 76
✅ Saved → SBQ | cuju | Row 77
✅ Saved → SBQ | cuju | Row 78
✅ Saved → SBQ | cuju | Row 79
✅ Saved → SBQ | cuju | Row 80
✅ Saved → SBQ | cuju | Row 81
✅ Saved → SBQ | cuju | Row 82
✅ Saved → SBQ | cuju | Row 83
✅ Saved → SBQ | cuju | Row 84
✅ Saved → SBQ | cuju | Row 85
✅ Saved → SBQ | cuju | Row 86
✅ Saved → SBQ | cuju | Row 87
✅ Saved → SBQ | cuju | Row 88
✅ Saved → SBQ | cuju | Row 89
✅ Saved → SBQ | cuju | Row 90
✅ Saved → SBQ | cuju | Row 91
✅ Saved → SBQ | cuju | Row 92
✅ Saved → SBQ | cuju | Row 93
✅ Saved → SBQ | cuju | Row 94
✅ Saved → SBQ | cuju | Row 95
✅ Saved → SBQ | cuju | Row 96
✅ Saved → SBQ | cuju | Row 97
✅ Saved → SBQ | cuju | Row 98
✅ Saved → SBQ | cuju | Row 99
✅ Saved → SBQ | cuju | Row 100
✅ Saved → SBQ | cuju | Row 101
✅ Saved → SBQ | cuju | Row 102
✅ Saved → SBQ | cuju | Row 103
✅ Saved → SBQ | cuju | Row 104
✅ Saved → SBQ | cuju | Row 105
✅ Saved → SBQ | cuju | Row 106
✅ Saved → SBQ | cuju | Row 107
✅ Saved → SBQ | cuju | Row 108
✅ Saved → SBQ | cuju | Row 109
✅ Saved → SBQ | cuju | Row 110
✅ Saved → SBQ | cuju | Row 111
✅ Saved → SBQ | cuju | Row 112
✅ Saved → SBQ | cuju | Row 113
