country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
SBQ,Ethopia_SBQ.xlsx,Genna,ከግብ መስመሩ አጠገብ የቆምክ ግብ ጠባቂ ነህ። ተጋጣሚው ቡድን ኳሱን መትቶ በድንገት ዱላህን መትቶ ወደ ግብህ ይገባል። ምን ይሆናል?,ሀ. የተጋጣሚ ቡድን አስቆጥሯል ለ. ለቡድንህ ግብ አስቆጥረሃል። ኳሱ ከጨዋታ ውጪ ተደርጎ ይቆጠራል.ዲ. ጨዋታው ከመሃል ተጀመረ።,ተጋጣሚው ቡድን ጎል አስቆጥሯል።,0,"The question contains a logical inconsistency: it describes a situation where the opponent team kicks the ball directly into the goal, which should result in a goal for the opponent, but the provided correct answer incorrectly states 'ተጋጣሚው ቡድን ጎል አስቆጥሯል' (Opponent team scored a goal) — which is actually correct in context, but the options are mislabeled and the question's phrasing is ambiguous and grammatically flawed. The term 'ግብ መስመሩ አጠገብ' is unclear and likely intended to mean 'from the goal line' or 'from inside the goal area'. Also, the correct answer is not among the options as written — option 'ሀ' is 'የተጋጣሚ ቡድን አስቆጥሯል' which should mean 'opponent team scored', but it's missing the word 'ጎል' (goal). Option 'ለ' incorrectly describes a goal kick. The question needs minimal grammatical and terminological fixes to align with standard football rules and Amharic usage.",ከግብ መስመሩ አጠገብ የቆምክ ግብ ጠባቂ ነህ። ተጋጣሚው ቡድን ኳሱን መትቶ በድንገት ዱላህን መትቶ ወደ ግብህ ይገባል። ምን ይሆናል?,"['ሀ. የተጋጣሚ ቡድን ጎል አስቆጥሯል', 'ለ. ለቡድንህ ግብ አስቆጥረሃል። ኳሱ ከጨዋታ ውጪ ተደርጎ ይቆጠራል.', 'ዲ. ጨዋታው ከመሃል ተጀመረ።']",ሀ. የተጋጣሚ ቡድን ጎል አስቆጥሯል
SBQ,Ethopia_SBQ.xlsx,Genna,"የቡድን ጓደኛዎ ኳሱን ይሰጥዎታል, ነገር ግን በዱላዎ ከመምታትዎ በፊት ከወሰን ውጪ ነው. ቀጣዩ እርምጃ ምንድን ነው?",ሀ. ተቃራኒው ቡድን ውርወራውን ያገኛል። የእርስዎ ቡድን ውርወራ ያገኛል.C. ጨዋታው ያለማቋረጥ ይቀጥላል.ዲ. በተፈጠረው ችግር ጨዋታው ቆመ።,ተጋጣሚው ቡድን ውርወራውን ያገኛል።,0,"The question contains a logical inconsistency: it states that the teammate's pass is made 'before your shot' and 'outside the field', but then asks for the next step. In football/soccer rules, if the ball goes out of bounds due to a pass from a teammate, the opposing team gets a throw-in — not the team that last touched it. The provided answer incorrectly states that 'your team wins the ball' (ውርወራ ያገኛል), which is false. The correct outcome is that the opposing team gets possession via throw-in. Also, option labels are mixed: 'ሀ' and 'C' and 'ዲ' — inconsistent use of Amharic and Latin letters.","የቡድን ጓደኛዎ ኳሱን ይሰጥዎታል, ነገር ግን በዱላዎ ከመምታትዎ በፊት ከወሰን ውጪ ነው። ቀጣዩ እርምጃ ምንድን ነው?","['ሀ. ተቃራኒው ቡድን ውርወራውን ያገኛል።', 'በ. የእርስዎ ቡድን ���ርወራ ያገኛል።', 'ግ. ጨዋታው ያለማቋረጥ ይቀጥላል።', 'ዲ. በተፈጠረው ችግር ጨዋታው ቆመ።']",ሀ. ተቃራኒው ቡድን ውርወራውን ያገኛል።
SBQ,Ethopia_SBQ.xlsx,Genna,ኳሱን ለመምታት እየሞከሩ ሳለ በድንገት በዱላዎ የተጋጣሚን ተጫዋች መቱት። ውጤቱ ምን ሊሆን ይችላል?,ሀ. ዳኛው ማስጠንቀቂያ ሰጥተዋል.B. ዳኛው ለተጋጣሚ ቡድን ቅጣት ይሰጣል። ከጨዋታ ዲ ተወግዷል። ጨዋታው ቆመ እና ጥፋት ተጠርቷል።,ዳኛው ለተጋጣሚ ቡድን ቅጣት ይሰጣል።,0,"The question contains a logical and factual error: it describes a situation where a player is tackled suddenly while attempting to kick the ball, but the phrasing is ambiguous and the options are improperly formatted. Option B incorrectly combines two separate outcomes ('ቅጣት ይሰጣል' and 'ከጨዋታ ዲ ተወግዷል...') into one option, violating MCQ structure. Also, 'የተጋጣሚን ተጫዋች' is grammatically incorrect — should be 'የተጋጣሚ ተጫዋች'. The correct rule in football (soccer) is that if a defender tackles an opponent who is attempting to kick the ball (and the tackle is dangerous or from behind), it is a foul, and a direct free kick is awarded to the attacking team. Option B should only state the foul and free kick, not include expulsion unless explicitly warranted.",ከድንገት በዱላዎ የተጋጣሚ ተጫዋች መቱት ሳለ ኳሱን ለመምታት እየሞከረ ነበር። ���ጤቱ ምን ሊሆን ይችላል?,"['ሀ. ዳኛው ማስጠንቀቂያ ሰጥተዋል።', 'ለ. ዳኛው ለተጋጣሚ ቡድን ቅጣት ይሰጣል።', 'ሐ. ዳኛው ከጨዋታ ዲ ተወግዷል።', 'መ. ጨዋታው ቆመ እና ጥፋት ተጠርቷል።']",ለ. ዳኛው ለተጋጣሚ ቡድን ቅጣት ይሰጣል።
SBQ,Ethopia_SBQ.xlsx,Genna,ኳሱ ወደ መሀል ሜዳ መሄዱን ያቆማል እና ምንም ተጫዋቾች ወደ እሱ አይንቀሳቀሱም። ዳኛው ምን ማድረግ አለበት?,ሀ. በተጠባባቂ ኳስ መጫወትን እንደገና ያስጀምሩ.B. አንድ ተጫዋች ወደ ኳሱ እስኪጠጋ ድረስ ይጠብቁ። ጥፋትን አውጅ ዲ. ጨዋታውን ጨርስ።,በተቆልቋይ ኳስ መጫወትን እንደገና ያስጀምሩ።,0,"The question contains a factual error: the description 'ታሱ ወደ መሀል ሜዳ መሄዱን ያቆማል እና ምንም ተጫዋቾች ወደ እሱ አይንቀሳቀሱም' implies the ball is stationary in the center circle with no players approaching it, which does not correspond to any standard rule in football (soccer) that would require the referee to restart play with a dropped ball. In reality, a dropped ball is used when play is stopped without a clear reason (e.g., injury, external interference), and the ball must be dropped at the location where play was stopped — not necessarily the center circle. Also, the correct answer option is mislabeled as 'በተቆልቋይ ኳስ መጫወትን እንደገና ያስጀምሩ' (which means 'restart with a dropped ball'), but the question's scenario does not justify a dropped ball under current FIFA rules. The scenario described is ambiguous and misleading. Furthermore, the provided correct answer in the question is written in the same form as option A, but option A is labeled as 'በተጠባባቂ ኳስ' (which means 'with a corner kick'), not 'dropped ball'. This indicates a mismatch between the intended correct answer and the option labels.",የካርት ኳስ በመሄድ ውስጥ በአንድ አስተዳደር ምክንያት ተቆረጠ እና ምንም ተጫዋች አልተመለሰም። ዳኛው ምን ማድረግ አለበት?,"['ሀ. በተጠባባቂ ኳስ መጫወትን እንደገና ያስጀምሩ።', 'ለ. አንድ ተጫዋች ወደ ኳሱ እስኪጠጋ ድረስ ይጠብቁ።', 'ሐ. በተቆልቋይ ኳስ መጫወትን እንደገና ያስጀምሩ።', 'መ. ጨዋታውን ጨርስ።']",ሐ. በተቆልቋይ ኳስ መጫወትን እንደገና ያስጀምሩ።
SBQ,Ethopia_SBQ.xlsx,Genna,ኳሱን ጠንክረህ መትተሃል፣ እና ከመጫወቻ ሜዳ ወጣች። ትክክለኛው የሚቀጥለው እርምጃ ምንድን ነው?,ሀ. ተቃራኒው ቡድን ውርወራውን ያገኛል። የእርስዎ ቡድን ውርወራ ያገኛል.C. ኳሱ ወደ ሜዳ ተመልሳ ጨዋታው ይቀጥላል.ዲ. ለተቃራኒ ቡድን ቅጣት ተሰጠ።,ተጋጣሚው ቡድን ውርወራውን ያገኛል።,0,"The question is in Amharic and describes a situation where 'the ball was kicked out of the field', but the provided correct answer is not among the listed options. Option A is written as 'ሀ. ተቃራኒው ቡድን ውርወራውን ያገኛል። የእርስዎ ቡድን ውርወራ ያገኛል.' which is malformed and contains duplicate content. The intended correct answer 'ተጋጣሚው ቡድን ውርወራውን ያገኛል።' is not listed as any option. Also, the question does not specify if the ball went out of bounds on the sideline or endline, which affects the correct restart procedure in football.",近千ሱን ጠንክረህ መትተሃል፣ እና ከመጫወቻ ሜዳ ወጣች። ትክክለኛው የሚቀጥለው እርምጃ ምንድን ነው?,"['ሀ. ተቃራኒው ቡድን ውርወራውን ያገኛል።', 'ለ. የእርስዎ ቡድን ውርወራ ያገ��ል።', 'ሐ. ኳሱ ወደ ሜዳ ተመልሳ ጨዋታው ይቀጥላል።', 'መ. ለተቃራኒ ቡድን ቅጣት ተሰጠ።']",ሀ. ተቃራኒው ቡድን ውርወራውን ያገኛል።
SBQ,Ethopia_SBQ.xlsx,Genna,ጌና ሲጫወት ከባልደረባው አንዱ ዱላውን ከመጠቀም ይልቅ ኳሱን በእጁ እንደያዘ ያስተውላሉ። ዳኛው ምን ማድረግ አለበት?,ሀ. ጥፋትን አውጅ እና ለተቃራኒ ቡድን የፍፁም ቅጣት ምት ሰጠ። ጨዋታው እንዲቀጥል ፍቀድ። ለተጋጣሚ ቡድን ነጥብ ስጡ.ዲ. ጨዋታውን ያቁሙ እና በተቆልቋይ ኳስ እንደገና ይጀምሩ።,ጥፋትን ይግለጹ እና ለተጋጣሚ ቡድን የፍፁም ቅጣት ምት ይስጡ።,0,"The question contains a factual error: in football (soccer), if a goalkeeper handles the ball outside the penalty area, it is a direct free kick offense for the opposing team, not an indirect free kick. The provided correct answer incorrectly states 'የፍፁም ቅጣት ምት' (indirect free kick), when it should be 'የጥቂት ቅጣት ምት' (direct free kick). Additionally, option ሀ incorrectly describes the action as 'ጥፋትን አውጅ' (award a foul) and gives an indirect free kick, which is wrong. Option ሱ correctly states the direct free kick but is labeled as 'ዲ' in the options list, causing confusion. The options are mislabeled and the answer key does not match the correct rule.",ጌና ሲጫወት ከባልደረባው አንዱ ዱላውን ከመጠቀም ይልቅ ኳሱን በእጁ እንደያዘ ያስተውላሉ። ዳኛው ምን ማድረግ አለበት?,"['ሀ. ጥፋ��ን አውጅ እና ለተቃራኒ ቡድን የጥቂት ቅጣት ምት ሰጠ። ጨዋታው እንዲቀጥል ፍቀድ።', 'ለ. ጥፋትን አውጅ እና ለተቃራኒ ቡድን የፍፁም ቅጣት ምት ሰጠ። ጨዋታው እንዲቀጥል ፍቀድ።', 'ሐ. ጨዋታውን ያቁሙ እና በተቆልቋይ ኳስ እንደገና ይጀምሩ።', 'ዲ. ጥፋትን ይግለጹ እና ለተጋጣሚ ቡድን የጥቂት ቅጣት ምት ይስጡ።']",ዲ. ጥፋትን ይግለጹ እና ለተጋጣሚ ቡድን የጥቂት ቅጣት ምት ይስጡ።
SBQ,Ethopia_SBQ.xlsx,Genna,በጌና በተካሄደው ግጥሚያ ኃይለኛ ዝናብ ይጀምራል እና ሜዳው ይንሸራተታል። ዳኛው ምን ውሳኔ መስጠት አለበት?,ሀ. ጨዋታውን ለአፍታ አቁም.ቢ. ጨዋታው እንደተለመደው እንዲቀጥል ፍቀድ። ጨዋታውን በአቻ ውጤት አስታወቀ።ዲ. ጨዋታውን ወዲያውኑ ጨርስ።,ጨዋታውን ለአፍታ አቁም.,0,"The question is factually incorrect. In football (soccer), if heavy rain makes the field unplayable, the referee does not 'call off the match permanently' (ለአፍታ አቁም) immediately. According to FIFA rules, the match may be delayed, suspended, or abandoned based on conditions, but 'abandoned' (አቁም) is not the first or only correct action — and the option implies finality without context. Moreover, the correct procedure is to suspend the match first, then decide on abandonment if conditions don't improve. The provided answer is misleading and not in line with standard football regulations.",በጌና በተካሄደው ግጥሚያ ኃይለኛ ዝናብ ይጀምራል እና ሜዳው ይንሸራተታል። ዳኛው ምን ውሳኔ መስጠት አለበት?,"['ሀ. ጨዋታውን ለአፍታ አቁም.', 'ቢ. ጨዋታውን ለአንድ ጊዜ ማቆም እና ለማስተካ��ል ፍቀድ።', 'ጊ. ጨዋታውን በአቻ ውጤት አስታወቀ።', 'ዲ. ጨዋታውን ወዲያውኑ ጨርስ።']",ቢ. ጨዋታውን ለአንድ ጊዜ ማቆም እና ለማስተካከል ፍቀድ።
SBQ,Ethopia_SBQ.xlsx,Genna,ግብ ጠባቂው አንተ ነህ። ከግቡ አጠገብ ኳሱን በዱላዎ ይይዛሉ። ቀጥሎ ምን ማድረግ አለቦት?,ሀ. ኳሱን ለቡድን ጓደኛው አሳልፉ። ኳሱን በእጅዎ ወደ ሜዳው ይጣሉት. ኳሱን ወደ ተቃራኒው ቡድን አካባቢ ምታ። ዳኛው እንደገና መጫወት እስኪጀምር ድረስ ኳሱን ይያዙ።,ኳሱን ለቡድን ጓደኛው ያስተላልፉ,0,"The question is in Amharic and refers to a basketball scenario, but the phrasing is unclear and grammatically incorrect. 'ግብ ጠባቂው አንተ ነህ' is not standard basketball terminology and seems to be a misstatement. The instruction 'ከግቡ አጠገብ ኳሱን በዱላዎ ይይዛሉ' is ambiguous and does not clearly describe a legal basketball play. The options are poorly structured with run-on sentences and inconsistent punctuation, making it hard to discern the correct action. The correct answer provided does not match the context of the question as written.",ግብ ጠባቂው አንተ ነህ። ከግቡ አጠገብ ኳሱን በዱላዎ ይይዛለህ። ቀጥሎ ምን ማድረግ አለብህ?,"['ሀ. ኳሱን ለቡድን ጓደኛው ያስተላልፉ።', 'ለ. ኳሱን በእጅዎ ወደ ሜዳው ይጣሉት።', 'መ. ኳሱን ወደ ተቃራኒው ቡድን አካባቢ ምታ።', 'ለ. ዳኛው እንደገና መጫወት እስኪጀምር ድረስ ኳሱን ይያዙ።']",ሀ. ኳሱን ለቡድን ጓደኛው ያስተላልፉ።
SBQ,Ethopia_SBQ.xlsx,Genna,ጨዋታው እኩል ነው፣ ሰዓቱ ላይ አንድ ደቂቃ ቀርቷል። ጎል አስቆጥረሃል ግን ዳኛው ፊሽካውን ካነፋ በኋላ ነው። የዳኛው ጥሪ ምንድነው?,ሀ. ግቡ ልክ ያልሆነ ነው.ቢ. ግቡ ትክክል ነው.ሲ. ግቡ የፍፁም ቅጣት ምት ሆኖ ተሰጥቷል.ዲ. ጨዋታው ለግምገማ ባለበት ቆሟል።,ግቡ ልክ ያልሆነ ነው።,0,"The question is factually incorrect and logically inconsistent. In football (soccer), if a goal is scored but the referee blows the whistle for a foul (e.g., offside or handball) before the ball crosses the line, the goal is disallowed. However, the phrasing 'ዳኛው ፊሽካውን ካነፋ በኋላ ነው' (the referee blew the whistle after the foul) is ambiguous and misleading — it implies the whistle came after the goal, but the goal should not count if the foul occurred before the goal. The correct scenario is that the foul (e.g., offside or handball) happened before the goal, making the goal invalid. The question does not clearly state when the foul occurred relative to the goal. Also, option ሀ ('ግቡ ልክ ያልሆነ ነው') is the correct answer, but the question's wording does not logically lead to it without ambiguity.",ጨዋታው እኩል ነው፣ ሰዓቱ ላይ አንድ ደቂቃ ቀርቷል። ጎል አስቆ���ረሃል ግን ዳኛው ፊሽካውን በጎል እንደሚያስቆጥረው አድርጎ ነው። የዳኛው ጥሪ ምንድነው?,"['ሀ. ግቡ ልክ ያልሆነ ነው.', 'ቢ. ግቡ ትክክል ነው.', 'ሲ. ግቡ የፍፁም ቅጣት ምት ሆኖ ተሰጥቷል.', 'ዲ. ጨዋታው ለግምገማ ባለበት ቆሟል።']",ሀ. ግቡ ልክ ያልሆነ ነው.
SBQ,Ethopia_SBQ.xlsx,Genna,ጨዋታው የተጠናቀቀው ሁለቱም ቡድኖች ተመሳሳይ የጎል ብዛት በማስቆጠር ነው። ቀጣዩ እርምጃ ምንድን ነው?,ሀ. ግጥሚያው ወደ ተጨማሪ ሰዓት ይሄዳል። ጨዋታው በአቻ ውጤት መጠናቀቁ ተገለጸ። የፍፁም ቅጣት ምት አሸናፊውን ይወስናል ዲ. ያነሰ ጥፋት ያለው ቡድን ያሸንፋል።,ጨዋታው በአቻ ውጤት መጠናቀቁ ታውቋል።,0,"The question is factually incorrect and logically flawed. In football (soccer), when two teams have the same number of goals, the match is not 'recognized' as concluded by a draw in all contexts—especially in knockout stages where a winner must be determined. The provided answer option is not properly formatted as a complete sentence and is mixed with incorrect or irrelevant text in other options. The correct answer should clearly state the next step in a knockout match after a draw: extra time or penalty shootout. The options are poorly structured and contain grammatical errors and non-standard phrasing.",ጨዋታው የተጠናቀቀው ሁለቱም ቡድኖች ተመሳሳይ የጎል ብዛት በማስቆጠር ነው። ቀጣዩ እርምጃ ምንድን ነው?,"['ሀ. ግጥሚያው ወደ ተጨማሪ ሰዓት ይሄዳል።', 'ለ. ተጨማሪ ሰዓት በኋላ የፍፁም ቅጣት ምት አሸናፊውን ይወስናል።', 'ሐ. ያነሰ ጥፋት ያለው ቡድን ያሸንፋል።', 'መ. ጨዋታው በአቻ ውጤት መጠናቀቁ ታውቋል።']",ሀ. ግጥሚያው ወደ ተጨማሪ ሰዓት ይሄዳል።
