image_no,country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
pic1,IBQ,Bangladesh_IBQ.xlsx,Ha-du-du,ছবিতে কোন খেলাটি দেখানো হয়েছে?,"A) ফেন্সিং, B) বক্সিং, C) টেনিস, D) হা-ডু-ডু",হা-ডু-ডু,1,no mistake,no correction needed,no correction needed,no answer needed
pic1,IBQ,Bangladesh_IBQ.xlsx,Ha-du-du,প্রতিযোগিতার ধরণ কী?,"A) ব্যক্তিগত, B) দলীয়, C) আন্তর্জাতিক, D) আঞ্চলিক",দলীয়,1,no mistake,no correction needed,no correction needed,no answer needed
pic2,IBQ,Bangladesh_IBQ.xlsx,Ha-du-du,ছবিতে একজন প্রতিযোগী কী করছে?,"A) সে বল ছুঁড়ছে, B) সে বাতাসে লাফাচ্ছে, C) সে স্থির হয়ে দাঁড়িয়ে আছে, D) সে প্রতিদ্বন্দ্বীকে ধরে আছে",সে বাতাসে লাফাচ্ছে,1,no mistake,no correction needed,no correction needed,no answer needed
pic2,IBQ,Bangladesh_IBQ.xlsx,Ha-du-du,ছবিতে দেখানো প্রতিযোগিতার প্রধান লক্ষ্য কী?,"A) বল দখল করা, B) লক্ষ্যবস্তুতে আঘাত করা, C) মাঠের বিপরীত প্রান্তে পৌঁছানো, D) প্রতিদ্বন্দ্বীদের ছুঁয়ে স্পর্শ এড়ানো",প্রতিদ্বন্দ্বীদের ছুঁয়ে স্পর্শ এড়ানো,1,no mistake,no correction needed,no correction needed,no answer needed
pic4,IBQ,Bangladesh_IBQ.xlsx,Ha-du-du,ছবিতে কোন ধরণের ইভেন্ট দেখানো হয়েছে?,"A) ব্যক্তিগত ইভেন্ট, B) সামাজিক ইভেন্ট, C) পারিবারিক উৎসব, D) প্রশিক্ষণ",সামাজিক ইভেন্ট,1,no mistake,no correction needed,no correction needed,no answer needed
pic4,IBQ,Bangladesh_IBQ.xlsx,Ha-du-du,ছবিতে বেশিরভাগ দর্শক কী করছে?,"A) বসে আছে, B) পড়ছে, C) খেলা দেখছে, D) অন্য একটি খেলা খেলছে",খেলা দেখছে,1,no mistake,no correction needed,no correction needed,no answer needed
pic5,IBQ,Bangladesh_IBQ.xlsx,Ha-du-du,ছবিতে কী ঘটছে?,"A) গোষ্ঠী কার্যকলাপ, B) ব্যক্তিগত প্রশিক্ষণ, C) কর্মসংক্রান্ত ইভেন্ট, D) সামাজিক প্রতিযোগিতা",সামাজিক প্রতিযোগিতা,1,no mistake,no correction needed,no correction needed,no answer needed
pic5,IBQ,Bangladesh_IBQ.xlsx,Ha-du-du,ছবিতে ইভেন্টটি কোথায় ঘটছে?,"A) ঘরের ভিতরে, B) খোলা জায়গায়, C) স্টেডিয়ামে, D) জিমে",খোলা জায়গায়,1,no mistake,no correction needed,no correction needed,no answer needed
pic6,IBQ,Bangladesh_IBQ.xlsx,Ha-du-du,ছবিতে খেলোয়াড়রা কী করছে?,"A) একে অপরের সঙ্গে লড়ছে, B) গান গাচ্ছে, C) ফুটবল খেলছে, D) কাবাডি খেলছে",কাবাডি খেলছে,1,no mistake,no correction needed,no correction needed,no answer needed
pic6,IBQ,Bangladesh_IBQ.xlsx,Ha-du-du,ছবিতে দেখানো খেলার প্রধান লক্ষ্য কী?,"A) বল দখল করা, B) প্রতিদ্বন্দ্বীকে মাটিতে ফেলে দেওয়া, C) পতাকা দখল করা, D) স্পর্শ এড়ানো",স্পর্শ এড়ানো,1,no mistake,no correction needed,no correction needed,no answer needed
