country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
HBQ,Ethopia_HBQ.xlsx,Genna,የገና ስፖርት የትውልድ ቦታ ማን ነው?,ኣብ ኢትዮጵያ ብ ኬንያ ሲ ሱዳን ዲ.ግብፅ,ኢትዮጵያ,0,"The question is not factually correct because 'ገና ስፖርት' (Gena Sport) is not a recognized athlete or entity with a known birthplace; it appears to be a mistranslation or misinterpretation. The term 'ገና' likely refers to 'Ghana', not a person. The question seems to intend to ask about the birthplace of a famous athlete, possibly Haile Gebrselassie, but it is incorrectly phrased. The options are also malformed with incorrect spacing and punctuation.",የሀይለ ገብረስላሴ ትውልድ ቦታ ማን ነው?,"['አብ ኢትዮጵያ', 'ከንያ', 'ሱዳን', 'ግብጽ']",አብ ኢትዮጵያ
HBQ,Ethopia_HBQ.xlsx,Genna,ስፖርት በየትኛው ክፍለ ዘመን ተጀመረ?,ኣብ መበል 14 ክፍለ ዘመን ብ15 ክፍለ ዘመን ዓ.ም.,15 ኛው ክፍለ ዘመን,0,"The question asks 'In which century did sport begin?' but the provided option incorrectly states 'ab mebel 14 kifle zemen b15 kifle zemen a.m.' which is grammatically malformed and ambiguous. The correct answer '15 ኛው ክፍለ ዘመን' is not among the options as written; it is misformatted and the option list does not properly present the choices. Additionally, '15 ኛው ክፍለ ዘመን' contains a typographical error ('ኒው' should be 'ንው'). The question and options are not cleanly structured as a valid MCQ.",ስፖርት በየትኛው ክፍለ ዘመን ተጀመረ?,"['14 ክፍለ ዘመን', '15 ክፍለ ዘመን', '16 ክፍለ ዘመን', '17 ክፍለ ዘመን']",15 ክፍለ ዘመን
HBQ,Ethopia_HBQ.xlsx,Genna,የገና ስፖርት በኢትዮጵያ ያለው ባህላዊ ጠቀሜታ ምንድነው?,ሀ. የመኸር ወቅትን ያከብራል. ለ. ገናን ያከብራል። ሐ. የአዲስ ዓመት በዓላትን ይወክላል መ. የሀገሪቱን አንድነት ያሳያል.,ገናን ያከብራል።,0,"The question asks about the 'traditional significance' of 'Gena sport' in Ethiopia, but the correct answer 'Genaን ያከብራል' (celebrates Gena) is circular and tautological — it does not explain the significance, it just restates the name. Gena is a traditional Ethiopian hockey-like game played during the Christmas season (Genna), so the question should ask about the seasonal or cultural context, not the vague 'traditional significance'. The answer choice incorrectly implies the sport's purpose is to 'celebrate Gena', when Gena is the name of the sport, not the holiday. The holiday is 'Genna' (Christmas), and the sport is played during it. The confusion between 'Gena' (sport) and 'Genna' (holiday) is critical.",የገና ስፖርት በኢትዮጵያ የሚጠቀምበት ወቅት ምንድነው?,"['ሀ. የመኸር ወቅትን ያከብራል.', 'ለ. የገና በዓልን ያከብራል.', 'ሐ. የአዲስ ዓመት በዓላትን ይወክላል.', 'መ. የሀገሪቱን አንድነት ያሳያል.']",ለ. የገና በዓልን ያከብራል.
HBQ,Ethopia_HBQ.xlsx,Genna,የትኛው የኢትዮጵያ ፌስቲቫል እስካሁን ስፖርቶችን ይዟል?,A. Timket B. Christmas C. የእውነተኛው መስቀል ፍለጋ D. Easter,የገና በአል,0,"The question asks which Ethiopian festival 'hosts sports' (ይዟል), but the provided answer 'የገና በአል' is not among the options and appears to be a malformed or incorrect phrase. None of the given options (Timket, Christmas, የእውነተኛው መስቀል ፍለጋ, Easter) are correctly associated with hosting sports in Ethiopia. The correct Ethiopian festival known for traditional sports is 'Genna' (ገና), but the answer given is nonsensical. Additionally, 'የእውነተኛው መስቀል ፍለጋ' is a mistranslation of 'Finding of the True Cross' (Timket), making the options confusing. The question and options are factually inconsistent.",የትኛው የኢትዮጵያ ፌስቲቫል በአጠቃላይ ስፖርቶችን ይዟል?,"['Timket', 'Christmas', 'ገና', 'Easter']",ገና
HBQ,Ethopia_HBQ.xlsx,Genna,ጀንሃ የሚለው ቃል በኢትዮጵያ ምን ማለት ነው?,ሀ. መኸር ለ. አንድነት ሐ. ገና መ. ድል,የገና በአል,0,"The question asks for the meaning of 'ጃንሃ' in Ethiopian context, but the provided correct answer 'የገና በአል' is not one of the options and is grammatically incorrect/incoherent. Additionally, none of the options match the stated correct answer. The question is invalid because the correct answer is not among the choices, and the answer key itself is malformed.",ጃንሃ የሚለው ቃል በኢትዮጵያ ምን ማለት ነው?,"['ሀ. መኸር', 'ለ. አንድነት', 'ሐ. ገና', 'መ. ድል']",ሐ. ገና
HBQ,Ethopia_HBQ.xlsx,Genna,በባህላዊ መንገድ ምን ዓይነት ጨዋታ ይከፋፈላል?,ሀ. የኳስ ጨዋታ ለ. ዱላ እና ኳስ ጨዋታ ሐ. የእሽቅድምድም ጨዋታ D. የጦርነት ጉተታ,ዱላ እና ኳስ ጨዋታ,0,"The question asks 'What type of sport is divided by traditional method?' which is logically unclear and factually incorrect. Traditional methods do not 'divide' sports; rather, traditional sports are practiced in specific cultural forms. The phrasing is ambiguous and does not align with standard understanding of Ethiopian traditional sports. Additionally, the correct answer 'duula na k'asa' (duula and k'asa) is a traditional sport, but the question's wording fails to properly frame it as a classification or identification task.",በባህላዊ መንገድ የሚወሰደ ጨዋታ ምንድን ነው?,"['ሀ. የኳስ ጨዋታ', 'ለ. ዱላ እና ኳስ ጨዋታ', 'ሐ. የእሽቅድምድም ጨዋታ', 'D. የጦርነት ጉተታ']",ለ. ዱላ እና ኳስ ጨዋታ
HBQ,Ethopia_HBQ.xlsx,Genna,በገና ስፖርቶች ውስጥ ምን ዓይነት ቁሳቁስ በብዛት ጥቅም ላይ ይውላል?,A. Bamboo B. Wood C. Iron D. ፕላስቲክ,እንጨት,0,"The question asks about materials commonly used in Ghanaian sports, but the provided correct answer 'እንጨት' (meaning 'other' or 'else') is not a material and does not match any of the options. The options are in Amharic and include plastic (ፕላስቲክ), which is the most commonly used material in modern sports equipment globally and in Ghana (e.g., in balls, nets, footwear). The correct answer should be one of the listed options, not an unrelated term.",በገና ስፖርቶች ውስጥ ምን ዓይነት ቁሳቁስ በብዛት ጥቅም ላይ ይውላል?,"['A. Bamboo', 'B. Wood', 'C. Iron', 'D. ፕላስቲክ']",D. ፕላስቲክ
HBQ,Ethopia_HBQ.xlsx,Genna,አመታዊ የገና ስፖርት ጨዋታዎች የሚጀምረው የትኛው የኢትዮጵያ በዓል ነው?,ሀ. አዲስ ዓመት ለ. የገና በዓል ሐ. ፋሲካ መ. የነጻነት ቀን,የገና በዓል,0,"The question asks about the annual Ethiopian sports event that starts at a specific holiday, but the correct answer 'የገና በዓል' (Gena Holiday) is itself the name of the sport/event, not the holiday when it starts. Gena (Ethiopian traditional football) is traditionally played during the Christmas season, which is 'ለሊል' (Timket) or more accurately 'የኢየሱስ የተወለደ በዓል' (Christmas). The term 'የገና በዓል' is not a recognized holiday name—it's the name of the game. The question confuses the event with the holiday. The correct holiday when Gena is played is Christmas (የኢየሱስ የተወለደ በዓል), not 'የገና በዓል'.",አመታዊ የገና ስፖርት ጨዋታ የሚጀምረው የኢትዮጵያ የ CHRISTMAS በዓል የትኛው ነው?,"['ሀ. አዲስ ዓመት', 'ለ. የኢየሱስ የተወለደ በዓል', 'ሐ. ፋሲ���', 'መ. የነጻነት ቀን']",ለ. የኢየሱስ የተወለደ በዓል
HBQ,Ethopia_HBQ.xlsx,Genna,በገና ስፖርቶች ውስጥ እንደ ኳስ ምን ዓይነት ነገር ጥቅም ላይ ይውላል?,ሀ. ድንጋይ ለ. የቆዳ ኳስ ሐ. የእንጨት ኳስ D. የጎማ ኳስ,የእንጨት ኳስ,0,"The question asks 'In Ghanaian sports, what type of thing is used as a ball?' which is illogical because Ghana is not known for a unique type of ball distinct from standard sports equipment. Also, the correct answer 'የእንጨት ኳስ' (tennis ball) is not specific to Ghana. The question implies Ghana has a unique ball type, which is factually incorrect. The options include non-Ghana-specific items, making the question misleading.",በስፖርት ውስጥ እንደ ኳስ ምን ዓይነት ነገር ጥቅም ላይ ይውላል?,"['ሀ. ድንጋይ', 'ለ. የቆዳ ኳስ', 'ሐ. የእንጨት ኳስ', 'D. የጎማ ኳስ']",ለ. የቆዳ ኳስ
HBQ,Ethopia_HBQ.xlsx,Genna,በባህላዊ የገና ስፖርት ጨዋታ ላይ ስንት ተጫዋቾች ይሳተፋሉ?,A. 5 በእያንዳንዱ ጎን B. 7 በአንድ በኩል C. 10 በአንድ በኩል መ. የተቀመጠ ቁጥር የለም።,የተቀመጠ ቁጥር የለም።,0,"The question asks for the number of players in a traditional Ethiopian game, but the correct answer states 'no fixed number,' which is factually incorrect. Traditional Ethiopian games like 'Gena' (a form of field hockey) have a defined number of players per team, typically 11 per side, similar to football. The option '10 በአንድ በኩል' is close but not accurate; the standard is 11. Also, the option 'መ.' is a typo and should be 'D.' for consistency. The answer choice 'የተቀመጠ ቁጥር የለም።' misleads users by implying no standard exists, when it does.",በባህላዊ የገና ስፖርት ጨዋታ ላይ በእያንዳንዱ በኩል ስንት ተጫዋቾች ይሳተፋሉ?,"['A. 5 በእያንዳንዱ ጎን', 'B. 7 በአንድ በኩል', 'C. 10 በአንድ በኩል', 'D. 11 በአንድ በኩል']",D. 11 በአንድ በ��ል
