country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
SBQ,France_SBQ.xlsx,Joutes,"Lors d'une passe finale, un jouteur fait tomber son adversaire à l'eau, mais perd l'équilibre et tombe lui-même quelques instants plus tard. Quelle est la décision de l'arbitre ?","A) Le premier à tomber perd, B) La passe est nulle et doit être rejouée, C) Le jouteur tombé en dernier gagne, D) Les deux jouteurs sont éliminés",B) La passe est nulle et doit être rejouée.,0,"The question is factually incorrect because in joute (traditional French boat jousting), the rule is that the first person to fall into the water loses, regardless of who caused the fall. If a jouteur knocks their opponent into the water but then falls themselves shortly after, they still lose because their opponent fell first. The provided answer 'B' contradicts official rules. The scenario described does not warrant a null pass; the outcome is determined by who fell first.","Lors d'une passe finale, un jouteur fait tomber son adversaire à l'eau, mais perd l'équilibre et tombe lui-même quelques instants plus tard. Quelle est la décision de l'arbitre ?","['A) Le premier à tomber perd', 'B) La passe est nulle et doit être rejouée', 'C) Le jouteur tombé en dernier gagne', 'D) Les deux jouteurs sont éliminés']",A) Le premier à tomber perd
SBQ,France_SBQ.xlsx,Joutes,Un jouteur du bateau rouge parvient à désarçonner le jouteur du bateau bleu. Quel est le signal de l'arbitre pour confirmer la victoire ?,"A) Ils sifflent, B) Ils hissent un drapeau rouge, C) Ils hissent un drapeau bleu, D) Ils tirent un coup de pistolet cérémoniel",B) Ils tirent la sonnette d'alarme,0,"The correct answer provided in the question ('Ils tirent la sonnette d'alarme') does not match any of the given options. The options include 'Ils tirent un coup de pistolet cérémoniel' (D), but 'tirer la sonnette d'alarme' is a French idiom meaning 'to raise the alarm' and is not a real signal in jousting on boats. The actual signal in traditional French boat jousting (joute marine) is raising a red flag to indicate a successful dismount. Option B is correct in context, but the stated answer is wrong and inconsistent.",Un jouteur du bateau rouge parvient à désarçonner le jouteur du bateau bleu. Quel est le signal de l'arbitre pour confirmer la victoire ?,"['A) Ils sifflent', 'B) Ils hissent un drapeau rouge', 'C) Ils hissent un drapeau bleu', 'D) Ils tirent un coup de pistolet cérémoniel']",B) Ils hissent un drapeau rouge
SBQ,France_SBQ.xlsx,Joutes,"Lors d'un tournoi, un jouteur est surpris à utiliser une lance dont la longueur dépasse la limite autorisée pour sa catégorie de poids. Quelle en est la conséquence ?","A) Ils reçoivent un avertissement, B) Ils sont disqualifiés du match, C) Ils peuvent continuer mais ne peuvent pas marquer de points, D) Ils doivent changer de lance.",B) Ils sont disqualifiés du match,1,no mistake,no correction needed,no correction needed,B) Ils sont disqualifiés du match
SBQ,France_SBQ.xlsx,Joutes,"Un jouteur est en position sur la tintaine, mais son pied arrière touche le bois à l'extérieur de l'empreinte blanche marquée. Comment appelle-t-on cette faute ?","A) Un faux départ, B) Une garde incorrecte, C) Un glissement, D) Il n'y a pas de faute",B) Une garde incorrecte,1,no mistake,no correction needed,no correction needed,B) Une garde incorrecte
SBQ,France_SBQ.xlsx,Joutes,"Lors d'une passe, la lance d'un jouteur se brise à l'impact avec le bouclier de son adversaire, mais aucun des deux jouteurs ne tombe. Quelle est la décision ?","A) Le jouteur à la lance brisée gagne, B) Le jouteur à la lance brisée perd, C) Le duel est nul et est rejoué, D) Le combat continue avec les lances brisées",C) La passe est nulle et est rejouée.,0,"The question uses 'lance' (spear/lance) in the context of jousting, but the term 'jouteur' is correct for jouster. However, the provided correct answer states 'La passe est nulle et est rejouée', which is accurate in historical jousting rules — but the option C in the original question is misstated as 'Le duel est nul et est rejoué', which is semantically incorrect in jousting terminology. In jousting, the correct term is 'passe' (run/jousting charge), not 'duel'. Also, the correct answer in the prompt is written in French but labeled as 'C) Le duel est nul et est rejoué', which contains a terminology error. The options must reflect the precise jousting vocabulary.","Lors d'une passe, la lance d'un jouteur se brise à l'impact avec le bouclier de son adversaire, mais aucun des deux jouteurs ne tombe. Quelle est la décision ?","['A) Le jouteur à la lance brisée gagne', 'B) Le jouteur à la lance bris��e perd', 'C) La passe est nulle et est rejouée', 'D) Le combat continue avec les lances brisées']",C) La passe est nulle et est rejouée
SBQ,France_SBQ.xlsx,Joutes,On voit un jouteur tenir sa lance à deux mains pour amortir l'impact. Pourquoi est-ce une faute ?,"A) Ce n'est pas une faute, B) Cela peut endommager la lance, C) Cela procure un avantage injuste et enfreint la règle de l'utilisation d'une seule main, D) C'est considéré comme un manque de respect",C) Elle procure un avantage indu et enfreint la règle de l'unilatéralité,0,"The question contains a factual inconsistency: in jousting, holding the lance with two hands is not typically a fault — the rule requires one hand to ensure fairness and safety, but the question's phrasing and the provided answer contain a typo ('indu' instead of 'injuste') and mismatched terminology. Also, the correct answer option C in the question is misstated as 'Elle procure un avantage indu' while the option listed in the question is 'Cela procure un avantage injuste'. This inconsistency makes the MCQ invalid.",On voit un jouteur tenir sa lance à deux mains pour amortir l'impact. Pourquoi est-ce une faute ?,"[""A) Ce n'est pas une faute"", 'B) Cela peut endommager la lance', ""C) Cela procure un avantage injuste et enfreint la règle de l'utilisation d'une seule main"", ""D) C'est considéré comme un manque de respect""]",C) Cela procure un avantage injuste et enfreint la règle de l'utilisation d'une seule main
SBQ,France_SBQ.xlsx,Joutes,"Un jouteur parvient à faire tomber son adversaire mais, ce faisant, touche la plateforme (la tintaine) de sa main libre pour garder l'équilibre. Quel est le signal ?","A) La victoire est valide, B) Le jouteur est déclaré « mouillé » pour avoir touché le plateau, et la passe est nulle, C) Une pénalité d'un point est accordée, D) Le jouteur est félicité pour son redressement","B) Le jouteur est déclaré « mouillé » pour avoir touché la plateforme, et la passe est nulle.",0,"The question contains a terminology error: 'tintaine' is not the correct term for the platform in Québécois joual or official joue de maille rules; the correct term is 'plancher' or 'plateforme'. Additionally, the phrase 'la passe est nulle' is incorrect in context — in joute, the correct term is 'le point est nul' or 'la joute est nulle'. The answer option B uses 'tintaine' and 'passe', which are inaccurate.","Un jouteur parvient à faire tomber son adversaire mais, ce faisant, touche la plateforme de sa main libre pour garder l'équilibre. Quel est le signal ?","['A) La victoire est valide', 'B) Le jouteur est déclaré « mouillé » pour avoir touché la plateforme, et la joute est nulle', ""C) Une pénalité d'un point est accordée"", 'D) Le jouteur est félicité pour son redressement']","B) Le jouteur est déclaré « mouillé » pour avoir touché la plateforme, et la joute est nulle"
SBQ,France_SBQ.xlsx,Joutes,"Lors d'une finale par équipes, le score final est à égalité après toutes les passes prévues. Quelle est la procédure la plus courante pour départager les équipes ?",A) L'équipe ayant commis le moins de fautes gagne. B) Une passe finale de départage est organisée entre les meilleurs jouteurs de chaque équipe. C) Le match est déclaré nul. D) On tire à pile ou face.,B) Une manche finale de départage est organisée entre les meilleurs jouteurs de chaque équipe.,0,"The question uses 'passes prévues' which is incorrect terminology for team finals in joute (jousting); it should be 'manches' or 'rounds'. Also, the correct answer option B incorrectly says 'passe finale de départage' instead of 'manche finale de départage', creating inconsistency. The term 'jouteurs' is correct, but the question and answer mismatch in terminology ('passes' vs 'manches').","Lors d'une finale par équipes, le score final est à égalité après toutes les manches prévues. Quelle est la procédure la plus courante pour départager les équipes ?","[""A) L'équipe ayant commis le moins de fautes gagne."", 'B) Une manche finale de départage est organisée entre les meilleurs jouteurs de chaque équipe.', 'C) Le match est déclaré nul.', 'D) On tire à pile ou face.']",B) Une manche finale de départage est organisée entre les meilleurs jouteurs de chaque équipe.
SBQ,France_SBQ.xlsx,Joutes,"Un jouteur est averti pour avoir touché une cible illégale. Où, sur le corps de son adversaire, a-t-il bien pu viser ?","A) Le centre du bouclier, B) La lance de l'adversaire, C) Le corps ou la tête de l'adversaire, D) Le bord du bouclier",C) Le corps ou la tête de l'adversaire,0,"The question is factually incorrect because in jousting (joute), the objective is to strike the opponent's shield or body with the lance, and targeting the body or head is not only legal but expected. However, touching a 'cible illégale' (illegal target) typically refers to striking below the waist, the horse, or the opponent's face/head in some historical or regulated forms of jousting. The provided answer C is misleading — in most traditional jousting rules, the head and body are valid targets, but the face (a part of the head) is often illegal. The question implies the jouteur was warned for hitting an illegal target, but option C includes both legal and illegal areas, making it ambiguous and incorrect as the answer. The correct illegal target is typically the head (especially face) or lower body, not the entire 'corps ou la tête'.","Un jouteur est averti pour avoir touché une cible illégale. Où, sur le corps de son adversaire, a-t-il bien pu viser ?","['A) Le centre du bouclier', ""B) La lance de l'adversaire"", ""C) Le visage de l'adversaire"", 'D) Le bord du bouclier']",C) Le visage de l'adversaire
SBQ,France_SBQ.xlsx,Joutes,La musique de la peña s'arrête brusquement en plein passage. Que doivent faire les rameurs des deux bateaux ?,"A) Arrêtez immédiatement de ramer, B) Continuez à ramer jusqu'à ce que la passe soit terminée ou que l'arbitre signale l'arrêt, C) Ramez plus vite pour terminer la passe rapidement, D) Ramez en arrière pour réinitialiser",B) Continuez à ramer jusqu'à ce que le passage soit terminé ou que l'arbitre signale l'arrêt.,0,"The question contains a cultural/terminological error: 'peña' is not a term used in rowing; it refers to a social gathering or pub in Spanish/Portuguese contexts, not rowing signals. The correct term in rowing (especially in Basque or traditional rowing contexts like 'traineras') is 'pito' (whistle) or 'señal' (signal). The phrase 'musique de la peña' is also linguistically inconsistent — 'musique' is French, 'peña' is Spanish, and the context suggests Basque or Spanish rowing traditions. The question misuses terminology, making it factually incorrect.",Le sifflet de la course s'arrête brusquement en plein passage. Que doivent faire les rameurs des deux bateaux ?,"['A) Arrêtez immédiatement de ramer', ""B) Continuez à ramer jusqu'à ce que le passage soit terminé ou que l'arbitre signale l'arrêt"", 'C) Ramez plus vite pour terminer la passe rapidement', 'D) Ramez en arrière pour r��initialiser']",B) Continuez à ramer jusqu'à ce que le passage soit terminé ou que l'arbitre signale l'arrêt
