country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
SBQ,China_SBQ.xlsx,cuju,在蹴鞠比赛中，A球员瞄准球门，而B球员试图用脚阻挡球。下列哪种方式是蹴鞠比赛中得分的正确方法？,A) 球员A用头球得分；B) 球员A用脚将球踢入球门得分；C) 球员B用手停球得分；D) 球员B用头球得分,B) A 球员用脚将球踢入球门得分,1,no mistake,no correction needed,no correction needed,B) 球员A用脚将球踢入球门得分
SBQ,China_SBQ.xlsx,cuju,在蹴鞠比赛中，A球员试图将球踢入球门，但被B球员用旋转技术挡出。这种技术叫什么名字？,A) 祖秋，B) 剑术，C) 翻剑，D) 浣媛,C) 翻建,0,"The question contains factual errors: '蹴鞠' (ancient Chinese football) did not involve techniques like '翻剑' or any sword-related terms. '翻剑' (flip sword) and other options are martial arts terms unrelated to football. The correct answer '翻建' is also a construction term, not a sports technique. The entire set of options is nonsensical in the context of 蹴鞠. The question and options are historically and logically invalid.",在蹴鞠比赛中，A球员试图将球踢入球门，但被B球员用一种名为‘踏鞠’的技术挡出。这种技术叫什么名字？,"['A) 踏鞠', 'B) 剑术', 'C) 翻剑', 'D) 浣媛']",A) 踏鞠
SBQ,China_SBQ.xlsx,cuju,在蹴鞠比赛中，A球员持球，试图用“倒钩射门”得分。这项技术的主要难点是什么？,A) 球太重，B) 需要精准的时机把握，C) 球太小，D) 球门柱太高,B) 所需的时间和精度,0,"The question is factually incorrect because '蹴鞠' (cuju) is an ancient Chinese ball game that predates modern football and did not include techniques like '倒钩射门' (bicycle kick), which is a modern football move. The scenario is anachronistic and logically inconsistent. Additionally, the correct answer option is phrased as '所需的时间和精度' (required time and precision), which is not identical to the option text provided in the question ('需要精准的时机把握' - need precise timing), causing a mismatch.",在现代足球比赛中，A球员持球，试图用“倒钩射门”得分。这项技术的主要难点是什么？,"['A) 球太重', 'B) 需要精准的时机把握', 'C) 球太小', 'D) 球门柱太高']",B) 需要精准的时机把握
SBQ,China_SBQ.xlsx,cuju,一名貉队球员试图将球传给队友，但球出了界。接下来比赛会发生什么？,A) 对方球队获得任意球，B) 比赛继续进行，未中断，C) 对方球队获得球权，D) 该球员被判罚。,C) 对方球队获得球权,0,"The question contains a factual error: '貉队' (badger team) is not a real sports team or recognized term in any mainstream sport. It appears to be a mistranslation or nonsense term. In context of passing the ball out of bounds, the intended sport is likely football (soccer) or basketball, where '球队' (team) should be used instead. The answer 'C) 对方球队获得球权' is logically correct for out-of-bounds in soccer/basketball, but the term '貉队' invalidates the question's realism.",一名球队球员试图将球传给队友，但球出了界。接下来比赛会发生什么？,"['A) 对方球队获得任意球', 'B) 比赛继续进行，未中断', 'C) 对方球队获得球权', 'D) 该球员被判罚']",C) 对方球队获得球权
SBQ,China_SBQ.xlsx,cuju,由于踢球方式和脚部动作的相似性，蹴鞠经常被拿来与哪项现代运动进行比较？,A) 棒球，B) 篮球，C) 足球，D) 橄榄球,C) 足球,1,no mistake,no correction needed,no correction needed,C) 足球
SBQ,China_SBQ.xlsx,cuju,在蹴鞠比赛中，A球员试图用大力踢球，但球被B球员拦截。B球员最有可能采取什么动作来控制球？,A) 头球，B) 踢球，C) 接球，D) 用脚停球,D）用脚停球,1,no mistake,no correction needed,no correction needed,D）用脚停球
SBQ,China_SBQ.xlsx,cuju,在蹴鞠比赛中，一名球员用身体挡住对方球员的球。这一动作适用哪条规则？,A) 球员越位，B) 球员获得任意球，C) 球员可以护球，D) 球员获得黄牌,C) 球员可以护球。,0,"The question is factually incorrect because '蹴鞠' (Cuju) is an ancient Chinese ball game, not modern football (soccer). The rules mentioned in the options (offside, free kick, yellow card) are from modern football, not Cuju. Therefore, the question incorrectly mixes modern football rules with an ancient sport, making it logically inconsistent.",在现代足球比赛中，一名球员用身体挡住对方球员的球。这一动作适用哪条规则？,"['A) 球员越位', 'B) 球员获得任意球', 'C) 球员可以护球', 'D) 球员获得黄牌']",C) 球员可以护球
SBQ,China_SBQ.xlsx,cuju,在蹴鞠比赛中，A球员将球踢向空中，B球员用倒钩射门将球打入球门。这种技术叫什么？,A) 剪刀脚，B) 倒钩脚，C) 自行车脚，D) 凌空抽射,C) 倒钩踢,0,"The question incorrectly labels the correct answer as 'C) 倒钩踢', but the provided options do not include '倒钩踢' — they include 'B) 倒钩脚'. Also, '倒钩踢' is not a standard term in Chinese sports terminology; the correct and commonly used term is '倒钩' or '倒钩射门'. The option 'C) 自行车脚' is a mistranslation of 'bicycle kick', which should be '倒钩'. The correct term for the described technique is '倒钩', and it is listed as option B as '倒钩脚', which is close but not ideal. The answer key contradicts the options.",在蹴鞠比赛中，A球员将球踢向空中，B球员用倒钩射门将球打入球门。这种技术叫什么？,"['A) 剪刀脚', 'B) 倒钩', 'C) 自行车脚', 'D) 凌空抽射']",B) 倒钩
SBQ,China_SBQ.xlsx,cuju,在蹴鞠中，场地通常被分成两半。这种划分的目的是什么？,A) 区分球队，B) 组织比赛流程，C) 限制得分区域，D) 允许换人,B）组织比赛流程,0,"The question is factually incorrect. In ancient cuju (蹴鞠), the field was not simply divided into two halves to 'organize the match process'—the division was primarily to define two goal areas with nets, and the game involved competing to kick the ball through the opponent's goal, similar to modern soccer. The purpose of the division was to create scoring zones, not to organize the flow. Option B is misleading and not historically accurate. The correct purpose is to limit or define the scoring area (Option C).",在蹴鞠中，场地通常被分成两半，中间设有球门。这种划分的主要目的是什么？,"['A) 区分球队', 'B) 组织比赛流程', 'C) 限制得分区域', 'D) 允许换人']",C) 限制得分区域
SBQ,China_SBQ.xlsx,cuju,在蹴鞠比赛中，A球员将球踢向对方球门。球击中横梁后反弹回场内。正确的判罚是什么？,A) 球出界；B) 比赛继续进行，不中断；C) 进球有效；D) 球被送回中圈。,B) 比赛继续进行，未受干扰。,0,"The question is factually incorrect because in traditional cuju (蹴鞠), the rules were different from modern football. In cuju, if the ball hit the crossbar and bounced back into play, it was not considered a goal, but the game did not necessarily continue without interruption — depending on the historical variant, the ball might have been considered out of bounds or subject to specific rules. However, the provided answer '比赛继续进行，未受干扰' (game continues undisturbed) is misleading because cuju did not have standardized rules like modern football, and the concept of 'crossbar' itself is an anachronism — cuju goals were often netless or had different structures. The question incorrectly applies modern football rules to cuju, making it logically flawed.",在蹴鞠比赛中，球员将球踢入对方球门，球穿过门框内侧并落地。正确的判罚是什么？,"['A) 球出界', 'B) 比赛继续进行，不中断', 'C) 进球有效', 'D) 球被送回中圈']",C) 进球有效
SBQ,China_SBQ.xlsx,cuju,在蹴鞠比赛中，球员A高高踢球将球从球门外解围。下列哪个动作会被判犯规？,A) 踢球过高，B) 踢球时用力过猛，C) 用脚侧面踢球，D) 直线踢球,B) 踢人时用力过猛,0,"The question describes a scenario where player A kicks the ball out from outside the goal, but the correct answer option B says '踢人时用力过猛' (kicking a person too hard), which is completely unrelated to the scenario and introduces a new, unmentioned action (kicking a person). This is a factual and logical error. The options do not match the question. Also, '踢球过高' (kicking the ball too high) is a plausible rule in ancient cuju, but the given answer is invalid.",在蹴鞠比赛中，球员A高高踢球将球从球门外解围。下列哪个动作会被判犯规？,"['A) 踢球过高', 'B) 踢球时用力过猛', 'C) 用脚侧面踢球', 'D) 直线踢球']",A) 踢球过高
SBQ,China_SBQ.xlsx,cuju,球员A将球踢向球门，但球员B用头球拦截了球，并将其顶回己方半场。这一动作体现了什么？,A) 进攻战术，B) 防守策略，C) 犯规，D) 守门员,B）防御策略,1,no mistake,no correction needed,no correction needed,B）防御策略
SBQ,China_SBQ.xlsx,cuju,在貉队的一场比赛中，球员A在一次铲球中受伤。为了使比赛继续进行，通常的做法是什么？,A) 比赛暂停进行医疗检查，B) 比赛立即恢复，C) 受伤球员被替补球员替换，D) 对方球队获得球权,A) 比赛暂停进行医疗检查,0,"The question contains a factual error: '貉队' (Raccoon team) is not a real sports team name and is nonsensical in the context of professional sports. This undermines the validity of the MCQ. Additionally, while option A is correct in principle, the question's absurd team name makes it illogical and unprofessional.",在一场足球比赛中，球员A在一次铲球中受伤。为了使比赛继续进行，通常的做法是什么？,"['A) 比赛暂停进行医疗检查', 'B) 比赛立即恢复', 'C) 受伤球员被替补球员替换', 'D) 对方球队获得球权']",A) 比赛暂停进行医疗检查
SBQ,China_SBQ.xlsx,cuju,在蹴鞠比赛中，球传给了A球员，他尝试了一记倒钩射门。进行这一动作的主要风险是什么？,A) 踢球球员受伤；B) 球被踢出界外；C) 球击中守门员；D) 失去球权,A) 踢球球员受伤,0,"蹴鞠 (ancient Chinese football) did not involve acrobatic moves like bicycle kicks (倒钩射门), which are a modern football technique. The question is historically inaccurate and logically inconsistent with the sport being referenced.",在现代足球比赛中，球传给了A球员，他尝试了一记倒钩射门。进行这一动作的主要风险是什么？,"['A) 踢球球员受伤', 'B) 球被踢出界外', 'C) 球击中守门员', 'D) 失去球权']",A) 踢球球员受伤
SBQ,China_SBQ.xlsx,cuju,在蹴鞠比赛中，球员A在禁区外开球破门得分。这种动作叫什么？,A) 远射，B) 直接任意球，C) 头球，D) 任意球,A) 远射,0,"The question is factually incorrect because in蹴鞠 (ancient Chinese football), there were no '禁区' (penalty area) or '任意球' (free kicks) as defined in modern football. Additionally, '远射' (long-range shot) is a modern football term and not applicable to the historical context of 蹴鞠. The scenario described conflates modern football rules with ancient sport, making the question logically invalid.",在现代足球比赛中，球员A在禁区外直接将球踢入球门得分。这种动作叫什么？,"['A) 远射', 'B) 直接任意球', 'C) 头球', 'D) 任意球']",B) 直接任意球
SBQ,China_SBQ.xlsx,cuju,在蹴鞠比赛中，A球员试图将球传给B球员，但传球被对方球员C拦截。B球员的正确反应是什么？,A) 继续追球，B) 阻止球员C进行进攻，C) 等待裁判做出判罚，D) 抱怨被拦截,A）继续追球,0,"The question is factually incorrect because蹴鞠 (ancient Chinese football) was not a competitive team sport with modern-style passing and interception rules as implied. The scenario describes a modern football (soccer) context, not historical 蹴鞠. Additionally, option A ('继续追球') is not logically the 'correct' reaction in 蹴鞠, which had different rules and objectives (e.g., kicking through a goal aperture, not chasing a loose ball). The question misrepresents historical context.",在蹴鞠比赛中，A球员踢球试图通过对方球门的孔洞，但球被对方球员C挡出。B球员的正确反应是什么？,"['A) 追赶球并尝试再次射门', 'B) 阻止球员C继续控球', 'C) 等待裁判判罚', 'D) 抱怨被拦截']",A) 追赶球并尝试再次射门
SBQ,China_SBQ.xlsx,cuju,在蹴鞠队的一场比赛中，A球员将球踢向球门，但被守门员扑出。接下来会发生什么？,A) 球被送回中圈；B) 比赛继续进行，球仍在比赛中；C) 球被判出界；D) 守门员被判罚。,B) 比赛继续进行，球仍在场上。,1,no mistake,no correction needed,no correction needed,B) 比赛继续进行，球仍在比赛中
SBQ,China_SBQ.xlsx,cuju,在貉队的一场比赛中，球员A尝试在禁区外罚任意球。在这个位置成功进球的最重要因素是什么？,A) 球员的踢球技术，B) 守门员的站位，C) 射门角度，D) 天气状况,A) 球员的踢球技术,0,"The question contains a factual error: '貉队' (貉 is a wild animal, not a real sports team) is not a valid team name in any recognized sports context. This makes the question nonsensical and undermines its validity as a sports MCQ.",在一支球队的一场比赛中，球员A尝试在禁区外罚任意球。在这个位置成功进球的最重要因素是什么？,"['A) 球员的踢球技术', 'B) 守门员的站位', 'C) 射门角度', 'D) 天气状况']",A) 球员的踢球技术
SBQ,China_SBQ.xlsx,cuju,在蹴鞠比赛中，A选手正在使用花式动作躲避B选手的铲球。他展示的是什么技巧？,A) 运球，B) 铲球，C) 守门，D) 传球,A）运球,0,"The question is factually incorrect because '蹴鞠' (cuju) is an ancient Chinese ball game that did not involve '花式动作躲避铲球' (fancy maneuvers to dodge a tackle). Tackling (铲球) as a defensive move in modern football does not exist in historical cuju, and '运球' (dribbling) in cuju was not performed with the same context as modern football. The scenario described is an anachronistic mix of modern football terminology with an ancient sport, making the question logically invalid.",在现代足球比赛中，A选手正在使用花式动作躲避B选手的铲球。他展示的是什么技巧？,"['A) 运球', 'B) 铲球', 'C) 守门', 'D) 传球']",A) 运球
SBQ,China_SBQ.xlsx,cuju,在蹴鞠比赛中，A球员即将罚点球。对方球队组成人墙阻挡射门。这个人墙的主要目的是什么？,A) 分散守门员注意力，B) 减小射门角度，C) 迷惑裁判，D) 获得球权,B）减小拍摄角度,0,"The term '减小拍摄角度' in the answer is incorrect; '拍摄' means 'to film' or 'photograph', which is a mistranslation. The correct term should be '射门角度' (shooting angle). The question and answer use inconsistent terminology, leading to factual error.",在蹴鞠比赛中，A球员即将罚点球。对方球队组成人墙阻挡射门。这个人墙的主要目的是什么？,"['A) 分散守门员注意力', 'B) 减小射门角度', 'C) 迷惑裁判', 'D) 获得球权']",B) 减小射门角度
SBQ,China_SBQ.xlsx,cuju,在蹴鞠比赛中，A球员成功地将球高高踢向空中解围。A球员最有可能使用了哪种技术？,A) 凌空抽射，B) 头球，C) 球门球，D) 解围球,D) 清球,0,"The question asks for the technique A球员 used to kick the ball high into the air to clear it, and the correct answer is listed as 'D) 清球', but the option is written as 'D) 解围球'. '清球' is not one of the provided options, creating a mismatch. Also, '解围球' is not a technical term in football; the correct term for the action is '解围', which is the action, not a type of '球'. Furthermore, '球门球' is a specific set piece, not a technique used by a player to kick the ball high to clear. '凌空抽射' and '头球' are not appropriate for a defensive clearance high into the air. The option 'D) 解围球' is incorrectly phrased — it should be 'D) 解围' to match the correct answer '清球' (which is a synonym for 解围). The answer key and options are inconsistent.",在蹴鞠比赛中，A球员成功地将球高高踢向空中以解围。A球员最有可能使用了哪种技术？,"['A) ��空抽射', 'B) 头球', 'C) 球门球', 'D) 解围']",D) 解围
SBQ,China_SBQ.xlsx,cuju,在蹴鞠队的一场比赛中，A球员将球踢入球门，但裁判判罚越位。这意味着什么？,A) 球员A在球被踢出时站位过靠前；B) 球员A踢球用力过猛；C) 球在被踢出前就已出界；D) 球员A用手触球,A）球被踢出时，球员A离得太远了。,0,"The question and answer contain a factual error: the correct answer option A states '球员A在球被踢出时站位过靠前' (Player A was too far forward when the ball was kicked), which is correct for offside. However, the provided correct answer is misstated as '球被踢出时，球员A离得太远了' (When the ball was kicked, Player A was too far away), which is logically incorrect — offside is about being too far forward, not too far away. This is a critical contradiction. Also, the answer choice wording is inconsistent with the option label.",在蹴鞠队的一场比赛中，A球员将球踢入球门，但裁判判罚越位。这意味着什么？,"['A) 球员A在球被踢出时站位过靠前', 'B) 球员A踢球用力过猛', 'C) 球在被踢出前就已出界', 'D) 球员A用手触球']",A) 球员A在球被踢出时站位过靠前
SBQ,China_SBQ.xlsx,cuju,在蹴鞠比赛中，球员A成功铲球并获得球权。球员A接下来应该做什么？,A) 将球传给队友，B) 立即尝试得分，C) 将球清出防守区，D) 停止比赛并等待指示,A) 将球传给队友,0,"蹴鞠 (ancient Chinese football) was not a modern team sport with standardized rules like contemporary soccer. The concept of '铲球' (tackling) and structured post-tackle actions like '传给队友' is an anachronistic projection of modern football rules onto ancient蹴鞠. Historically, 蹴鞠 had varying rules across dynasties, often focused on kicking the ball into a net or through a goal without defensive tackling as in modern soccer. Thus, the question is factually incorrect and misleading.",在古代蹴鞠比赛中，球员成功将球踢入对方球门后，接下来通常会发生什么？,"['A) 球队庆祝得分', 'B) 立即重新开球', 'C) 对方球员抢回球权', 'D) 比赛暂停']",B) 立即重新开球
SBQ,China_SBQ.xlsx,cuju,在蹴鞠队的一场比赛中，球员A用低平快速的传球将球传给了队友。这种传球方式叫做什么？,A) 直塞球，B) 挑传，C) 地面传球，D) 横传,C) 地面通行证,0,"The correct answer is listed as 'C) 地面通行证', which is not a standard Chinese term for 'ground pass' in football/soccer context. The correct term should be '地面传球'. Additionally, '地面通行证' means 'ground pass permit' (e.g., for access), which is nonsensical in sports terminology.",在蹴鞠队的一场比赛中，球员A用低平快速的传球将球传给了队友。这种传球方式叫做什么？,"['A) 直塞球', 'B) 挑传', 'C) 地面传球', 'D) 横传']",C) 地面传球
