image_no,country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
tai_chi_8.jpg,IBQ,China_IBQ.xlsx,Tai_chi,这位练习者使用的是哪种类型的剑？,(A) 武士刀 (B) 建 (C) 军刀 (D) 弯刀,建,1,no mistake,no correction needed,no correction needed,no answer needed
tai_chi_8.jpg,IBQ,China_IBQ.xlsx,Tai_chi,这位练习者正在做一个以平衡性和稳定性著称的姿势。这个姿势叫什么？,(A) 马步 (B) 弓步 (C) 起重机姿态 (D) 空位,弓步,1,no mistake,no correction needed,no correction needed,no answer needed
tai_chi_8.jpg,IBQ,China_IBQ.xlsx,Tai_chi,剑柄上系着的红色流苏可能有什么用途？,(A) 装饰与美学 (B) 为了提高握力 (C) 为了标记平衡点 (D) 为了提供关于剑的运动和速度的视觉反馈,为了提供关于剑的运动和速度的视觉反馈,1,no mistake,no correction needed,no correction needed,no answer needed
tai_chi_8.jpg,IBQ,China_IBQ.xlsx,Tai_chi,根据背景信息，这场太极拳训练很可能在哪里进行？,(A) 一片茂密的森林 (B) 城市屋顶或高架平台 (C) 室内工作室 (D) 沙滩,城市屋顶或高架平台,1,no mistake,no correction needed,no correction needed,no answer needed
tai_chi_8.jpg,IBQ,China_IBQ.xlsx,Tai_chi,练习者所穿的服装是太极拳的典型服装。这种服装叫什么？,(A) 和服 (B) 吉 (C) 汉服 (D) 太极服（I Fu）,太极服（I Fu）,1,no mistake,no correction needed,no correction needed,no answer needed
tai_chi_11.jpg,IBQ,China_IBQ.xlsx,Tai_chi,图中所示的集体活动是什么？,(A) 抗议游行 (B) 冥想课程 (C) 集体表演或课程 (D) 一场跑步比赛,集体表演或课程,1,no mistake,no correction needed,no correction needed,no answer needed
tai_chi_11.jpg,IBQ,China_IBQ.xlsx,Tai_chi,根据参与者的人口统计特征，太极拳通常带来的主要益处是什么？,(A) 高强度有氧运动 (B) 增加肌肉量 (C) 改善老年人的平衡能力和活动能力 (D) 竞技格斗,改善老年人的平衡能力和活动能力,1,no mistake,no correction needed,no correction needed,no answer needed
tai_chi_11.jpg,IBQ,China_IBQ.xlsx,Tai_chi,参与者身穿宽松的白色制服。这种服装的主要原因是什么？,(A) 为了让他们感到轻松 (B) 为了美观统一 (C) 为了实现流畅、不受限制的运动 (D) 表示特定等级,为了实现流畅、不受限制的运动,1,no mistake,no correction needed,no correction needed,no answer needed
tai_chi_11.jpg,IBQ,China_IBQ.xlsx,Tai_chi,群体同步动作所传达的整体氛围是什么？,(A) 侵略性和竞争 (B) 平静与集体和谐 (C) 混乱与无序 (D) 剧烈的体力消耗,平静与集体和谐,1,no mistake,no correction needed,no correction needed,no answer needed
tai_chi_11.jpg,IBQ,China_IBQ.xlsx,Tai_chi,这种大规模的团体医疗模式在哪个国家最为常见？,(A) 日本 (B) 韩国 (C) 中国 (D) 越南,中国,1,no mistake,no correction needed,no correction needed,no answer needed
