country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
HBQ,HBQ_Italy.xlsx,Calcio_history,Quanti giocatori ci sono in una squadra di Calcio Storico?,A. 11 B. 27 C. 15 D. 8,27,0,"The question asks for the number of players in a Calcio Storico team, but the correct answer provided (27) is misleading. Calcio Storico is played with 27 players per team in total (15 on the field and 12 substitutes), but the standard and commonly referenced number is 27 players per team including substitutes. However, the question is ambiguous because it does not specify whether it refers to players on the field or total team size. In most contexts, 'giocatori in una squadra' implies the total squad size, which is indeed 27. But the options include 11 (football), 15 (on-field players), 8, and 27 — so the answer 27 is factually correct for total team size. The issue is that the question is not precise enough to avoid confusion, and the most common interpretation of 'giocatori in una squadra' in sports MCQs is 'players on the field', which is 15 in Calcio Storico. Therefore, the question as written leads to ambiguity and potential misinterpretation.",Quanti giocatori sono in campo in una squadra di Calcio Storico?,"['A. 11', 'B. 27', 'C. 15', 'D. 8']",C. 15
HBQ,HBQ_Italy.xlsx,Calcio_history,Qual è l'obiettivo principale del Calcio Storico?,"A. Fare più ""caccia"" possibile B. Proteggere la porta C. Passare la palla al capitano D. Sfidare il pubblico","Fare più ""caccia"" possibile",0,"The question is factually incorrect. 'Caccia' is not a term used in Calcio Storico; the objective is to score by getting the ball into the opponent's goal, not to make 'caccia'. The term 'caccia' is misleading and not part of the official rules. The correct objective is to score goals (called 'caccia' in some dialects, but this is not standard and causes confusion). The options are poorly worded and lack accuracy.",Qual è l'obiettivo principale del Calcio Storico?,"['Fare più goal possibile', 'Proteggere la propria porta', 'Passare la palla al capitano', 'Sfidare il pubblico']",Fare più goal possibile
HBQ,HBQ_Italy.xlsx,Calcio_history,"Come si segna una ""caccia"" nel Calcio Storico?",A. Calciando il pallone nella porta B. Lanciando il pallone sopra una rete C. Facendo passare il pallone in una linea laterale D. Mettendo il pallone in una rete bassa,Lanciando il pallone sopra una rete,0,"The term 'caccia' is not the correct terminology in Calcio Storico; the correct term is 'caccia' refers to a specific scoring method involving the ball passing through a high net at the end of the field, not 'sopra una rete' (above a net). The description 'Lanciando il pallone sopra una rete' is inaccurate and misleading. In Calcio Storico, a 'caccia' is scored by getting the ball through a high net (rete alta) at the back of the goal, not above a net. The options and question need correction to reflect authentic rules.",Come si segna una 'caccia' nel Calcio Storico?,"['A. Calciando il pallone nella porta', 'B. Facendo passare il pallone attraverso una rete alta', 'C. Facendo passare il pallone in una linea laterale', 'D. Mettendo il pallone in una rete bassa']",Facendo passare il pallone attraverso una rete alta
HBQ,HBQ_Italy.xlsx,Calcio_history,Cosa succede se si sbaglia un tiro nel Calcio Storico?,A. L'altra squadra guadagna un punto B. Il gioco si ferma C. La squadra perde un giocatore D. L'altra squadra perde un punto,L'altra squadra guadagna un punto,0,"The question is factually incorrect. In Calcio Storico, missing a shot does not grant a point to the opposing team. Points (called 'goali') are scored only when the ball is thrown into the opponent's goal area, not by missing a shot. The correct consequence of a missed shot is that play continues or the ball is turned over, but no point is awarded. The provided answer is therefore wrong.",Cosa succede se si segna un goal nel Calcio Storico?,"[""L'altra squadra guadagna un punto"", 'Il gioco si ferma', 'La squadra perde un giocatore', 'La squadra che ha segnato guadagna un punto']",La squadra che ha segnato guadagna un punto
HBQ,HBQ_Italy.xlsx,Calcio_history,Quante squadre partecipano al torneo di Calcio Storico?,A. 2 B. 3 C. 4 D. 6,4,1,no mistake,no correction needed,no correction needed,4
HBQ,HBQ_Italy.xlsx,Calcio_history,Quali colori rappresentano i quartieri del Calcio Storico?,A. Rosso blu bianco verde B. Giallo nero bianco rosso C. Blu nero verde viola D. Rosso arancione blu giallo,Rosso arancione blu giallo,0,"The question asks for the colors representing the quarters of Calcio Storico, but the provided correct answer 'Rosso arancione blu giallo' does not match the actual historical colors of the four quarters of Calcio Storico in Florence. The correct colors are: Rosso (Santa Croce), Blu (Santa Maria Novella), Verde (San Giovanni), and Bianco (San Salvatore). The given answer 'Rosso arancione blu giallo' is factually incorrect and includes non-standard colors (arancione and giallo) not traditionally used.",Quali colori rappresentano i quartieri del Calcio Storico fiorentino?,"['A. Rosso blu verde bianco', 'B. Giallo nero bianco rosso', 'C. Blu nero verde viola', 'D. Rosso arancione blu giallo']",A. Rosso blu verde bianco
HBQ,HBQ_Italy.xlsx,Calcio_history,Quanto dura una partita di Calcio Storico?,A. 60 minuti B. 40 minuti C. 50 minuti D. 20 minuti,50 minuti,0,"The question asks about the duration of a Calcio Storico match, but the correct answer provided (50 minuti) is inaccurate. A traditional Calcio Storico match lasts 50 minutes of playing time, divided into two 25-minute halves, which is factually correct. However, the options do not include any context or clarification, and the question is misleading because Calcio Storico is not a standardized modern sport with universally fixed duration — matches can vary slightly by event or tradition. But since 50 minuti is widely accepted as the standard duration, the real issue is that the question lacks clarity and could be misinterpreted. To make it a valid MCQ, we must ensure the question explicitly refers to the traditional standard duration.",Quanto dura una partita tradizionale di Calcio Storico?,"['A. 60 minuti', 'B. 40 minuti', 'C. 50 minuti', 'D. 20 minuti']",C. 50 minuti
HBQ,HBQ_Italy.xlsx,Calcio_history,Dove si svolge tradizionalmente il Calcio Storico?,A. Piazza della Repubblica B. Piazza San Marco C. Piazza Santa Croce D. Stadio Artemio Franchi,Piazza Santa Croce,1,no mistake,no correction needed,no correction needed,Piazza Santa Croce
HBQ,HBQ_Italy.xlsx,Calcio_history,Quando si gioca tradizionalmente il torneo di Calcio Storico?,A. Natale B. Pasqua C. Giugno D. Agosto,Giugno,1,no mistake,no correction needed,no correction needed,Giugno
HBQ,HBQ_Italy.xlsx,Calcio_history,Qual è la regola principale sui contatti fisici nel Calcio Storico?,A. Sono completamente vietati B. Sono permessi solo con il pallone C. Non ci sono restrizioni D. Sono consentiti con limitazioni,Sono consentiti con limitazioni,1,no mistake,no correction needed,no correction needed,Sono consentiti con limitazioni
HBQ,HBQ_Italy.xlsx,Calcio_history,Quale parte del corpo non può essere usata per lanciare la palla?,A. Le mani B. I piedi C. La testa D. Le braccia,I piedi,0,"The question asks which body part cannot be used to throw the ball, but in many sports (e.g., soccer), the feet are used to kick the ball, not throw it. However, 'throwing' specifically implies using the hands/arms. The correct answer 'I piedi' (feet) is logically correct for 'throwing', but the question is misleading because feet are not used to throw at all — they are used to kick. The question should clarify the context (e.g., in soccer, which body parts cannot be used to throw the ball?) or rephrase to avoid confusion. Additionally, 'le mani' and 'le braccia' are both used to throw, so they are incorrect as the answer. The question needs to be rephrased to be factually precise.","In un gioco come il calcio, quale parte del corpo non può essere usata per lanciare la palla?","['A. Le mani', 'B. I piedi', 'C. La testa', 'D. Le braccia']",B. I piedi
HBQ,HBQ_Italy.xlsx,Calcio_history,Chi arbitra una partita di Calcio Storico?,A. Un solo arbitro centrale B. Una squadra di quattro arbitri C. Un comitato di arbitri D. I capitani delle squadre,Un comitato di arbitri,0,"The question is factually incorrect. Calcio Storico Fiorentino does not use a 'comitato di arbitri' (committee of referees); instead, it is officiated by a single referee (arbitro centrale) supported by assistant referees and judges, but the official role is held by one central referee. The provided answer is misleading and not accurate according to official rules of Calcio Storico.",Chi arbitra una partita di Calcio Storico?,"['A. Un solo arbitro centrale', 'B. Una squadra di quattro arbitri', 'C. Un comitato di arbitri', 'D. I capitani delle squadre']",A. Un solo arbitro centrale
HBQ,HBQ_Italy.xlsx,Calcio_history,Come inizia una partita di Calcio Storico?,A. Con un calcio d'inizio B. Con una palla al centro C. Con il lancio della palla da parte dell'arbitro D. Con un sorteggio,Con il lancio della palla da parte dell'arbitro,0,"The question asks how a Calcio Storico match begins, but the provided correct answer ('Con il lancio della palla da parte dell'arbitro') is factually incorrect. Calcio Storico Fiorentino begins with the 'palla in aria' — a ball thrown into the air by a nobleman or official (not the referee) from a central position, followed by a scramble. The referee does not 'lanciare la palla' as in modern football. The option is misleading and historically inaccurate.",Come inizia una partita di Calcio Storico Fiorentino?,"[""A. Con un calcio d'inizio"", 'B. Con una palla al centro', 'C. Con il lancio della palla in aria da parte di un nobile', 'D. Con un sorteggio']",Con il lancio della palla in aria da parte di un nobile
HBQ,HBQ_Italy.xlsx,Calcio_history,Quanti attaccanti ha una squadra di Calcio Storico?,A. 3 B. 4 C. 5 D. 6,5,1,no mistake,no correction needed,no correction needed,5
HBQ,HBQ_Italy.xlsx,Calcio_history,Quanti difensori ci sono in una squadra di Calcio Storico?,A. 3 B. 4 C. 8 D. 10,4,1,no mistake,no correction needed,no correction needed,B. 4
HBQ,HBQ_Italy.xlsx,Calcio_history,Cosa succede in caso di parità alla fine della partita?,A. Supplementari B. Rigori C. La squadra con meno falli vince D. Non esistono pareggi,Non esistono pareggi,0,"The question asks what happens in case of a tie at the end of the match, but the provided correct answer 'Non esistono pareggi' (There are no ties) is factually incorrect in most sports contexts, including football (soccer), where ties are common in league matches. In knockout tournaments, ties are resolved by extra time or penalties, but ties still exist in group stages. The answer contradicts the reality of sports rules.",Cosa succede in caso di parità alla fine della partita in una gara a eliminazione diretta?,"['A. Supplementari', 'B. Rigori', 'C. La squadra con meno falli vince', 'D. Non esistono pareggi']",A. Supplementari
HBQ,HBQ_Italy.xlsx,Calcio_history,Cosa è vietato fare ai portatori di palla?,A. Correre più di 10 metri B. Bloccare la palla C. Passare indietro D. Colpire gli avversari,Colpire gli avversari,0,"The question 'Cosa è vietato fare ai portatori di palla?' is too vague and lacks context. In sports like rugby or American football, 'portatori di palla' (ball carriers) have specific rules, but 'colpire gli avversari' (hitting opponents) is not universally or uniquely forbidden only to them — it's generally illegal for all players. Moreover, in rugby, ball carriers can be tackled (a form of controlled contact), so 'colpire' is ambiguous and misleading. The question does not specify the sport, making it logically flawed as an MCQ.",Cosa è vietato fare ai portatori di palla nel rugby?,"['A. Correre più di 10 metri', 'B. Bloccare la palla', 'C. Passare indietro', 'D. Colpire intenzionalmente gli avversari']",D. Colpire intenzionalmente gli avversari
HBQ,HBQ_Italy.xlsx,Calcio_history,Qual è la superficie del campo da gioco?,A. Erba sintetica B. Tappeto di gomma C. Sabbia naturale D. Asfalto,Sabbia naturale,0,"The question 'Qual è la superficie del campo da gioco?' is too vague because it does not specify which sport. The correct answer 'Sabbia naturale' is only valid for specific sports like beach volleyball or sand athletics, but not for a generic 'campo da gioco'. Without context, the question is misleading and not logically sound as a multiple-choice item.",Qual è la superficie del campo da gioco da pallavolo da spiaggia?,"['A. Erba sintetica', 'B. Tappeto di gomma', 'C. Sabbia naturale', 'D. Asfalto']",C. Sabbia naturale
HBQ,HBQ_Italy.xlsx,Calcio_history,Cosa rappresenta storicamente il Calcio Storico?,A. Un esercizio religioso B. Un passatempo dei nobili C. Una simulazione di battaglia D. Un gioco per contadini,Una simulazione di battaglia,1,no mistake,no correction needed,no correction needed,Una simulazione di battaglia
HBQ,HBQ_Italy.xlsx,Calcio_history,Chi vince il torneo di Calcio Storico?,A. Riceve un trofeo d'oro B. Riceve una cena gratuita C. Riceve una mucca D. Non c'è un premio specifico,Riceve una mucca,0,"The question is factually incorrect. The Calcio Storico Fiorentino tournament does not award a cow as a prize. The winning team is awarded a trophy (the 'Coppa del Calcio Storico'), and the prize is symbolic and ceremonial, not a live animal. The option 'Riceve una mucca' is a myth or misinformation.",Cosa riceve la squadra vincente del Torneo di Calcio Storico?,"[""A. Riceve un trofeo d'oro"", 'B. Riceve una cena gratuita', 'C. Riceve una mucca', ""D. Non c'è un premio specifico""]",Riceve un trofeo d'oro
HBQ,HBQ_Italy.xlsx,Calcio_history,Quanti passaggi consecutivi sono permessi prima di un tiro?,A. 1 B. 2 C. Illimitati D. 5,Illimitati,0,"The question asks about consecutive passes before a shot, but in basketball (the most likely context), there is no limit on consecutive passes before a shot — passes are not restricted. However, the question is misleading because it implies a rule exists where none does, and the correct answer 'Illimitati' (unlimited) is factually correct for basketball, but the question is poorly framed as it could be confused with rules about dribbling or traveling. The real rule is about dribbling: a player can take up to 2 steps after stopping a dribble (traveling rule), but passes have no limit. The question should be rephrased to avoid ambiguity and target the actual rule being tested.",Quanti passi sono permessi dopo aver terminato il dribbling prima di tirare?,"['A. 1', 'B. 2', 'C. Illimitati', 'D. 5']",B. 2
HBQ,HBQ_Italy.xlsx,Calcio_history,Qual è la lunghezza del campo da gioco?,A. 50 metri B. 80 metri C. 100 metri D. 120 metri,80 metri,0,"The question 'Qual è la lunghezza del campo da gioco?' is too vague because it does not specify the sport. Different sports have different field lengths (e.g., soccer: 100-110m, rugby: 100m, American football: 100yds, etc.). Without context, the question is not logically sound as an MCQ.",Qual è la lunghezza tipica di un campo da calcio?,"['A. 50 metri', 'B. 80 metri', 'C. 100 metri', 'D. 120 metri']",C. 100 metri
HBQ,HBQ_Italy.xlsx,Calcio_history,Qual è la larghezza del campo?,A. 30 metri B. 40 metri C. 50 metri D. 60 metri,40 metri,0,"The question 'Qual è la larghezza del campo?' is ambiguous because it does not specify which sport the field belongs to. Different sports have different standard field widths (e.g., football, rugby, tennis). Without context, the question cannot be reliably answered, and the provided correct answer '40 metri' is not universally valid.",Qual è la larghezza standard di un campo da calcio?,"['A. 30 metri', 'B. 40 metri', 'C. 50 metri', 'D. 60 metri']",B. 40 metri
HBQ,HBQ_Italy.xlsx,Calcio_history,Cosa succede se un giocatore viene espulso?,A. La squadra può sostituirlo B. La squadra resta in inferiorità numerica C. Il giocatore rientra dopo 10 minuti D. La partita termina,La squadra resta in inferiorità numerica,1,no mistake,no correction needed,no correction needed,La squadra resta in inferiorità numerica
HBQ,HBQ_Italy.xlsx,Calcio_history,Come si chiama l'arbitro principale?,A. Maestro di Campo B. Comandante C. Garantore D. Capitano,Maestro di Campo,0,"The question 'Come si chiama l'arbitro principale?' (What is the main referee called?) is factually incorrect because in Italian sports terminology, the main referee is not called 'Maestro di Campo'. 'Maestro di Campo' is a historical or military term, not used in modern sports officiating. The correct term in Italian for the main referee is 'Arbitro' or 'Arbitro principale', but among the given options, none are correct. The provided answer 'Maestro di Campo' is not a valid term in sports context.",Come si chiama l'arbitro principale in un match di calcio?,"['A. Arbitro', 'B. Comandante', 'C. Garantore', 'D. Capitano']",A. Arbitro
HBQ,HBQ_Italy.xlsx,Calcio_history,Quante linee centrali ha il campo?,A. 1 B. 2 C. 3 D. 4,2,0,"The question 'Quante linee centrali ha il campo?' is ambiguous and factually incorrect in the context of standard sports fields. In most sports like soccer or American football, there is typically one center line, not two. The term 'linee centrali' (central lines) is not standard terminology, and the correct answer being '2' suggests a misunderstanding of field markings. The question does not clearly refer to a specific sport, making it logically flawed.",Quante linee centrali ha un campo da calcio?,"['A. 1', 'B. 2', 'C. 3', 'D. 4']",A. 1
HBQ,HBQ_Italy.xlsx,Calcio_history,Quando è nato storicamente il Calcio Storico?,A. Nel XIII secolo B. Nel XV secolo C. Nel XVII secolo D. Nel XIX secolo,Nel XIII secolo,0,"The question asks 'Quando è nato storicamente il Calcio Storico?' (When was the Calcio Storico historically born?), which is logically flawed because 'nato storicamente' is redundant and awkward. 'Storicamente' (historically) is not a temporal marker but an adverb modifying the manner of birth, which makes no sense in this context. The question should simply ask when it originated.",Quando è nato il Calcio Storico?,"['Nel XIII secolo', 'Nel XV secolo', 'Nel XVII secolo', 'Nel XIX secolo']",Nel XIII secolo
HBQ,HBQ_Italy.xlsx,Calcio_history,"Quanti punti vale una ""mezza caccia""?",A. 1 B. 2 C. 3 D. 0,0,0,"The term 'mezza caccia' is not a recognized scoring term in any standard sport. It appears to be a fabricated or mistranslated phrase, possibly confusing 'mezza caccia' (Italian for 'half hunt') with 'mezza' (half) in contexts like basketball or volleyball scoring, which do not use such terminology. The question is not factually valid as a sports MCQ.",Quanti punti vale un canestro in basket?,"['A. 1', 'B. 2', 'C. 3', 'D. 0']",B. 2
HBQ,HBQ_Italy.xlsx,Calcio_history,Quale azione è considerata antisportiva?,A. Passare lateralmente B. Bloccare la palla C. Colpire un avversario senza motivo D. Gridare,Colpire un avversario senza motivo,1,no mistake,no correction needed,no correction needed,Colpire un avversario senza motivo
