country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
HBQ,Sudan_HBQ.xlsx,Cow_Fighting,ما هي المجموعة العرقية المحددة في غرب السودان المرتبطة بشكل شائع بتقليد قتال الأبقار؟,"أ) شعب النوبة
ب) شعب البجا
ج) عرب البقارة
د) النوبيون",ج) عرب البقارة,1,no mistake,no correction needed,no correction needed,ج) عرب البقارة
HBQ,Sudan_HBQ.xlsx,Cow_Fighting,ما هو شكل القرن المثالي للبقرة المقاتلة؟,"أ) قصير وممتلئ
ب) ملتف للخلف
ج) طويل وحاد ومنحنٍ للأمام
د) لا قرون له على الإطلاق",ج) طويل وحاد ومنحنٍ للأمام,0,"The question refers to 'البقرة المقاتلة' (fighting cow), which is not a recognized or biologically accurate term. Bulls used in bullfighting are not called 'fighting cows' — 'cow' refers to females, while males are bulls. This is a factual and terminological error that misleads the context of the question. Additionally, the shape of horns in fighting bulls is not standardized as 'long, sharp, and forward-curving' in a universally accepted way — it varies by breed and regional tradition, and the question implies a definitive 'ideal' shape which is subjective and not scientifically grounded.",ما هو شكل القرن المثالي للثور المقاتل؟,"['أ) قصير وممتلئ', 'ب) ملتف للخلف', 'ج) طويل وحاد ومنحنٍ للأمام', 'د) لا قرون له على الإطلاق']",ج) طويل وحاد ومنحنٍ للأمام
HBQ,Sudan_HBQ.xlsx,Cow_Fighting,ما هو العنصر المشترك في النظام الغذائي الخاص للبقرة التي يتم تدريبها للقتال؟,"أ) التبن الجاف فقط
ب) خليط غني بالبروتين يشمل الحليب والسمسم
ج) الفواكه والخضروات
د) نظام غذائي رعوي قياسي",ب) خليط عالي البروتين يحتوي على الحليب والسمسم,0,"The question is factually incorrect because there is no legitimate or widely recognized practice of training cows for fighting in any standard sport or cultural context, and the described diet (milk and sesame) is not a documented or logical dietary regimen for any type of cattle training. Additionally, cattle are not trained for combat like dogs or roosters; this premise is biologically and culturally implausible.",ما هو العنصر المشترك في النظام الغذائي الخاص بالبقرة المنتجة للحليب؟,"['أ) التبن الجاف فقط', 'ب) خليط غني بالبروتين يشمل الحليب والسمسم', 'ج) الفواكه والخضروات', 'د) نظام غذائي رعوي قياسي']",ب) خليط غني بالبروتين يشمل الحليب والسمسم
HBQ,Sudan_HBQ.xlsx,Cow_Fighting,ماذا يحدث للبقرة البطلة بعد اعتزالها القتال؟,"أ) يُباع للحصول على اللحوم
ب) يُستخدم في الأعمال الزراعية الشاقة
ج) يُوضع في المراعي للتكاثر لنقل جيناته القوية
د) يُطلق في البرية",ج) يتم وضعه في المراعي للتكاثر لنقل جيناته القوية,0,"The question is factually incorrect because there is no known cultural or sporting tradition of 'bull heroes' in combat that leads to retirement and selective breeding in Arabic-speaking regions or globally in the context of bullfighting. Bullfighting (like in Spain) does not involve 'heroic cows' — bulls are male, and cows are female. The term 'بقرة' (cow) is biologically and culturally inaccurate in this context. Additionally, bullfighting bulls are typically slaughtered after the fight, not bred. The answer choice assumes a fictional or incorrect premise.",ماذا يحدث للثور البطل بعد اعتزاله القتال؟,"['أ) يُباع للحصول على اللحوم', 'ب) يُستخدم في الأعمال الزراعية الشاقة', 'ج) يُوضع في المراعي للتكاثر لنقل جيناته القوية', 'د) يُطلق في البرية']",أ) يُباع للحصول على اللحوم
HBQ,Sudan_HBQ.xlsx,Cow_Fighting,ما هو اسم ساحة القتال التقليدية أو الحلبة؟,"أ) السوق
ب) الديوان
ج) المراح
د) الميدان",ج) المارة,0,"The correct answer provided ('المارة') is not among the given options ('المراح'). Additionally, 'المارة' means 'passersby' and is not a traditional fighting arena. The correct term for a traditional fighting arena in Arabic is 'الميدان' or 'الحلبة', but 'المراح' is incorrect. The question is factually wrong and the answer does not match any option.",ما هو اسم ساحة القتال التقليدية أو الحلبة؟,"['أ) السوق', 'ب) الديوان', 'ج) المراح', 'د) الميدان']",د) الميدان
HBQ,Sudan_HBQ.xlsx,Cow_Fighting,ما هي الطقوس التي يتم إجراؤها قبل القتال عادة لتنشيط البقرة؟,"أ) إطعامه وجبةً كبيرةً
ب) غناء أناشيد وأغاني مُحددة له
ج) طلاؤه بألوانٍ زاهية
د) عزله",ب) غناء أناشيد وأغاني خاصة بها,0,"The question is factually incorrect. Cows are not used in combat rituals, and there are no known cultural traditions of 'activating' cows before fighting. The question falsely implies a real practice, likely confusing it with bullfighting or bull-related rituals (e.g., in Spain or India), but bulls ≠ cows. Additionally, the correct answer option refers to 'أناشيد وأغاني مُحددة له' (specific songs for him), but the answer key says 'لها' (for her), creating inconsistency. The term 'البقرة' (cow) is biologically and culturally inappropriate for combat contexts.",ما هي الطقوس التي يتم إجراؤها قبل القتال عادة لتنشيط الثور؟,"['أ) إطعامه وجبةً كبيرةً', 'ب) غناء أناشيد وأغاني مُحددة له', 'ج) طلاؤه بألوانٍ زاهية', 'د) عزله']",ب) غناء أناشيد وأغاني مُحددة له
HBQ,Sudan_HBQ.xlsx,Cow_Fighting,كيف يتم حل التعادل أو الجمود في القتال عادة؟,"أ) يستمر القتال حتى تنهار إحدى البقرتين.
ب) يقرر المالكان الفائز.
ج) يتوقف القتال ويُعلن التعادل إذا لم تتمكن أي من البقرتين من السيطرة.
د) يصوت الجمهور للفائز.",ج) يتم إيقاف القتال وإعلانه بالتعادل إذا لم تتمكن أي من البقرتين من الحصول على السيطرة,0,"The question refers to 'القتال' (fighting) involving cows, which is not a standard or recognized sport in any major context. The described scenario appears to be a fictional or misinterpreted version of 'bull fighting' or 'cattle pushing' events, but the term 'القتال' is misleading and inaccurate for such events. Additionally, the correct answer option contains a typo: 'الحصول على السيطرة' should match the question's phrasing 'السيطرة' for consistency. The question lacks factual grounding in real sports rules.",كيف يتم حل التعادل أو الجمود في مسابقة دفع الثيران عادة؟,"['أ) يستمر الدفع حتى تنهار إحدى الثيران.', 'ب) يقرر المالكان الفائز.', 'ج) يتوقف الدفع ويُعلن التعادل إذا لم تتمكن أي من الثيران من السيطرة.', 'د) يصوت الجمهور للفائز.']",ج) يتوقف الدفع ويُعلن التعادل إذا لم تتمكن أي من الثيران من السيطرة.
HBQ,Sudan_HBQ.xlsx,Cow_Fighting,ما هو الدور الذي يلعبه صاحب البقرة أثناء القتال الفعلي؟,"أ) يقفون بعيدًا عن الحلبة
ب) يدخلون الحلبة لمساعدة البقرة
ج) يصرخون بالأوامر والتشجيع من على الهامش
د) يعملون كحكم",ج) يصرخون بالأوامر والتشجيع من على الهامش,0,"The question is factually incorrect. The scenario described appears to refer to 'bullfighting' (مقاتلة الثيران), not 'cow fighting'. Cows are not typically used in combat sports; bulls are. The term 'صاحب البقرة' (cow owner) is misleading and inaccurate in this context. The correct term should be 'صاحب الثور' (bull owner). Additionally, the answer choice 'ج' is plausible for bullfighting, but the question misrepresents the animal involved.",ما هو الدور الذي يلعبه صاحب الثور أثناء القتال الفعلي؟,"['أ) يقفون بعيدًا عن الحلبة', 'ب) يدخلون الحلبة لمساعدة الثور', 'ج) يصرخون بالأوامر والتشجيع من على الهامش', 'د) يعملون كحكم']",ج) يصرخون بالأوامر والتشجيع من على الهامش
HBQ,Sudan_HBQ.xlsx,Cow_Fighting,ما هي الطريقة الشائعة لتدريب قوة رقبة البقرة؟,"أ) ربط الأثقال بقرنيه
ب) تمارين دفع منتظمة ضد شجرة أو بقرة أخرى
ج) استخدام حزام خاص للرقبة
د) تمارين السباحة",ب) تمارين الدفع المنتظمة ضد شجرة أو بقرة أخرى,0,"The question is factually incorrect because cows (بقرة) are not trained for neck strength in the way described, and the concept of 'training cow neck strength' is not a real or recognized practice in animal science or agriculture. The options, especially option ب, imply a fictional or absurd training method that does not exist in reality. The question misrepresents biological and agricultural facts.",ما هي الطريقة الشائعة لتدريب قوة رقبة المصارعين؟,"['أ) ربط الأثقال بقرنيه', 'ب) تمارين دفع منتظمة ضد شجرة أو خصم آخر', 'ج) استخدام حزام خاص للرقبة', 'د) تمارين السباحة']",ب) تمارين دفع منتظمة ضد شجرة أو خصم آخر
HBQ,Sudan_HBQ.xlsx,Cow_Fighting,إلى جانب النصر، ما هو الشيء الذي يجلب أعلى درجات الشرف لصاحب البقرة؟,"أ) مبلغ المال الذي ربحته في الرهانات
ب) البقرة التي أظهرت شجاعة استثنائية حتى في حالة الخسارة
ج) البقرة التي تتمتع بأكثر الزخارف فخامة
د) البقرة التي فازت بالقتال بسرعة كبيرة",ب) البقرة التي تظهر شجاعة استثنائية حتى في حالة الخسارة,0,"The question is factually incorrect and logically flawed. There is no known cultural, sporting, or traditional context where 'صاحب البقرة' (cow owner) competes in a contest involving 'النصر' (victory) and 'أعلى درجات الشرف' (highest honors) related to cows in a way that matches the given options. The scenario appears fabricated, possibly confusing bullfighting or cattle shows with unrelated traditions. The answer choice (ب) implies valor in defeat, which is thematically poetic but not grounded in any real-world practice involving cows. The question does not represent a valid MCQ because it lacks factual basis.",إلى جانب النصر، ما هو الشيء الذي يجلب أعلى درجات الشرف لصاحب الثور في مسابقة مصارعة الثيران؟,"['أ) مبلغ المال الذي ربحته في الرهانات', 'ب) الثور الذي أظ��ر شجاعة استثنائية حتى في حالة الخسارة', 'ج) الثور الذي تتمتع بأكثر الزخارف فخامة', 'د) الثور الذي فاز بالقتال بسرعة كبيرة']",ب) الثور الذي أظهر شجاعة استثنائية حتى في حالة الخسارة
