country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
RBQ,Ethopia_RBQ.xlsx,Genna,አንድ ተጫዋች ኳሱን እየወረወረ ጥፋት መስመሩን ቢያልፍ ምን ይሆናል?,ሀ. አንድ ነጥብ ተቀንሷል ለ. ተቃዋሚው ተጨማሪ ተራ ያገኛል። ሐ. ጨዋታው እንደገና ይጀምራል። መ መወርወር ተቀባይነት የለውም።,አንድ ተጫዋች የተሳሳተ መስመር ካቋረጠ መወርወሩ ልክ ያልሆነ እና ብቁ አይደለም።,0,"The question is factually incorrect and logically flawed. It asks what happens when a player crosses the boundary while dribbling, but the phrasing 'እየወረወረ ጥፋት መስመሩን ቢያልፍ' is ambiguous and misrepresents basketball rules. In basketball, crossing the boundary line while dribbling results in a turnover, not a point or additional possession. The provided 'correct answer' is not one of the options and is written in a descriptive sentence, violating MCQ format. None of the options correctly state 'turnover' or 'loss of possession'.",አንድ ተጫዋች ኳሱን እየወረወረ ሲሄድ መስመሩን ቢያልፍ ምን ይሆናል?,"['ሀ. አንድ ነጥብ ተቀንሷል', 'ለ. ተቃዋሚው ተጨማሪ ተራ ያገኛል', 'ሐ. ጨዋታው እንደገና ይጀምራል', 'መ. መወርወር ተቀባይነት ይጠፋል']",መ. መወርወር ተቀባይነት ይጠፋል
RBQ,Ethopia_RBQ.xlsx,Genna,በአንድ ውርወራ ውስጥ ሁሉንም ኩዊሎች ለማንኳኳት ስንት ነጥብ ተሰጥቷል?,ሀ.8 ነጥቢ ለ. 10 ነጥበ ሐ. 15 ነጥበ D. 10 ነጥበ,በአንድ ውርወራ ሁሉንም ኳሶች ማንኳኳቱ ለተጫዋቹ 10 ነጥብ ይሰጠዋል ።,0,"The question contains a typo: 'küwiloች' should be 'küsloች' (balls) in Amharic basketball context, not 'küwiloች' (which means 'keys' or is nonsensical). Also, option labels are inconsistent: 'ሀ', 'ለ', 'ሐ', 'D' — 'D' is in Latin while others are in Ge'ez script. Correct answer is listed as 10 points, but option 'ለ' and 'D' both say 10, causing ambiguity. 'ሐ' is misspelled as '15 ነጥበ' (should be 'ነጥብ').",በአንድ ውርወራ ውስጥ ሁሉንም ኳሶች ለማንኳኳት ስንት ነጥብ ተሰጥቷል?,"['ሀ. 8 ነጥብ', 'ለ. 10 ነጥብ', 'ሐ. 15 ነጥብ', 'D. 10 ነጥብ']",ለ. 10 ነጥብ
RBQ,Ethopia_RBQ.xlsx,Genna,ኳሱ በአንድ ጊዜ ሁለት ኳሶችን ቢያንኳኳ ምን ይሆናል?,ሀ. ሁለቱም ኩዊሎች እንደ ነጥብ ይቆጠራሉ። ለ. ምንም ነጥብ አልተሰጠም። ሐ. መዞሩ ተደግሟል. መ. ሁለቱም ኩዊሎች እንደ ነጥብ ይቆጠራሉ።,ሁለቱንም ኩዊሎች በአንድ ውርወራ እንደ ነጥብ አንኳኳሁ።,0,"The question is not factually correct as written. It asks 'What happens if a player kicks two balls at once?' which is ambiguous and not a standard basketball rule scenario. The provided answer mentions 'two balls in one foul as points' which is not a recognized rule. Additionally, the options contain duplicate choices (ሀ and መ are identical), and the correct answer is not among the options as stated. The question does not align with actual basketball rules (e.g., only one ball is in play).",በባስቀት አንድ ኳስ ከሁለት አካላት ጋር በአንድ ጊዜ ቢያንኳኳ ምን ይሆናል?,"['ሀ. ሁለቱም ኩዊሎች እንደ ነጥብ ይቆጠራሉ።', 'ለ. ምንም ነጥብ አልተሰጠም።', 'ሐ. መዞሩ ተደግሟል።', 'መ. ሁለቱም ኩዊሎች እንደ ነጥብ ይቆጠራሉ።']",ለ. ምንም ነጥብ አልተሰጠም።
RBQ,Ethopia_RBQ.xlsx,Genna,አንድ ተጫዋች በአንድ ዙር ሊያስቆጥር የሚችለው ከፍተኛው የነጥቦች ብዛት ስንት ነው?,ሀ. 8 ነጥቢ ለ. 10 ነጥብ ሐ. 12 ነጥበ D. 10 ነጥበ,በአንድ ዙር ውስጥ ከፍተኛው ነጥብ ሁሉንም ኩዊሎች ለማንኳኳት 10 ነጥብ ነው።,0,"The question asks for the maximum points a player can score in one round, but the options contain a typo: 'D. 10 ነጥበ' (missing 'ች') and 'ሀ. 8 ነጥቢ' (inconsistent plural form). Also, the correct answer states '10 ነጥብ', which matches option 'ለ' (10 ነጥብ), but option 'ለ' is labeled as '10 ነጥብ' while option 'D' is incorrectly written as '10 ነጥበ'. The options are not uniformly formatted and contain a duplicate of the correct answer with a typo. Additionally, the answer explanation is correct but the options are flawed.",አንድ ተጫዋች በአንድ ዙር ሊያስቆጥር የሚችለው ከፍተኛው የነጥቦች ብዛት ስንት ነው?,"['ሀ. 8 ነጥብ', 'ለ. 10 ነጥብ', 'ሐ. 12 ነጥብ', 'D. 10 ነጥብ']",ለ. 10 ነጥብ
RBQ,Ethopia_RBQ.xlsx,Genna,የተጫዋቹ ኳስ ከድንበር መስመር ውጭ ቢያርፍ ምን ይከሰታል?,ሀ. ምንም ቅጣት አይተገበርም። ለ. ተጫዋቹ ተራ ያጣል. ሐ. ተቃዋሚው ነጥብ ያስመዘገበ ነው። መ. መወርወሩ ልክ እንዳልሆነ ይቆጠራል።,"ኳሱ ከድንበሩ ውጭ ካረፈ, መወርወሩ ልክ ያልሆነ ነው.",0,"The question asks 'What happens if the ball bounces outside the boundary line?' but the correct answer provided in the note is not among the options. Option 'መ' says 'መወርወሩ ልክ እዳልሆነ ይቆጠራል' (the violation is counted as illegal), which is the intended correct answer, but the option is misworded and unclear. The correct answer should be phrased as 'መወርወሩ ልክ ካልሆነ ይቆጠራል' to match standard basketball rules. Also, the question’s phrasing is ambiguous — 'ቢያርፍ' means 'bounces' but in basketball context, 'outside the boundary line' typically refers to the ball touching the ground outside the court, which results in a turnover, not a violation counted against the team. The options contain misleading or incorrect phrasing. The correct rule is: if the ball goes out of bounds, the opposing team gets possession. None of the options correctly state this. Option 'ሐ' says 'ተቃዋሚው ነጥብ ያስመዘ��በ ነው' (opponent scores a point), which is wrong. The correct outcome is possession change, not a point.",የተጫዋቹ ኳስ ከድንበር መስመር ውጭ ሲያርፍ ምን ይከሰታል?,"['ሀ. ምንም ቅጣት አይተገበርም።', 'ለ. ተጫዋቹ ተራ ያጣል።', 'ሐ. ተቃዋሚው ኳስ ያግባል።', 'መ. መወርወሩ ልክ ካልሆነ ይቆጠራል።']",ሐ. ተቃዋሚው ኳስ ያግባል።
RBQ,Ethopia_RBQ.xlsx,Genna,በተለመደው የገና ጨዋታ ውስጥ ስንት ኩዊሎች ጥቅም ላይ ይውላሉ?,አ. 7 ለ 9 ሐ. 11 ዲ. 9,9,0,"The question asks about 'ገና ጨዋታ' (Gena game), which is not a standard or recognized sport. Gena is a traditional Ethiopian game similar to field hockey, but it is not universally known as 'ተለመደው' (standard/official) and the number of players is typically 11 per team, not 9. The correct answer provided (9) is factually inaccurate for Gena, which uses 11 players. The options also contain inconsistent labeling (አ., ሐ., ዲ.) and are missing the expected option 'በ.' for 11. The question misrepresents the sport's standard rules.",በተለመደው የገና ጨዋታ ውስጥ ስንት ሰው በእያንዳንዱ ቡድን ይጠቀማሉ?,"['አ. 7 ለ 9', 'በ. 11', 'ሐ. 9', 'ዲ. 10']",በ.
RBQ,Ethopia_RBQ.xlsx,Genna,ኩዊል ከሌላ ነገር በሚወጣ ኳስ ቢመታ ምን ይከሰታል?,ሀ. ነጥቦቹ ልክ ያልሆኑ ናቸው። ለ. ቅጣት ተጥሏል። ሐ. መዞሩ ጠፍቷል። መ. ነጥቦቹ ትክክል ናቸው.,ኳሱ ወደ መሬት ከመምታቱ በፊት ቢመለስም ነጥቦች ይቆጠራሉ።,0,"The question is in Amharic and asks 'If the ball bounces before leaving the court, what happens?' but the provided correct answer is not among the options. The options are unrelated to the rule described in the answer (points are counted if the ball bounces back before leaving the court). The options mention things like 'points are incorrect', 'foul occurred', 'ball lost', etc., which do not logically correspond to the correct rule. The question and options are mismatched and lack factual alignment with basketball or volleyball rules (context implied).",ከሌላ ነገር በሚወጣ ኳስ ቢመታ ምን ይከሰታል?,"['ሀ. ነጥቦቹ ልክ ያልሆኑ ናቸው።', 'ለ. ቅጣት ተጥሏል።', 'ሐ. መዞሩ ጠፍቷል።', 'መ. ነጥቦቹ ትክክል ናቸው።']",መ. ነጥቦቹ ትክክል ናቸው።
RBQ,Ethopia_RBQ.xlsx,Genna,በመደበኛ የገና ጨዋታ ቡድን ውስጥ ስንት ተጫዋቾች ይፈቀዳሉ?,አ.2-4 B. 3-5 C. 4-6 D. 2-4,2-4,0,"The question asks about 'normal game team' in Amharic, but 'ገና' means 'football' in Amharic, not 'gymnastics'. The term 'ገና' is commonly used for football in Ethiopia, and a standard football team has 11 players, not 2-4. The provided answer '2-4' is factually incorrect for football. Additionally, options A and D are identical ('2-4'), which is a duplication error.",በመደበኛ የፈትሮ ጨዋታ ቡድን ውስጥ ስንት ተጫዋቾች ይፈቀዳሉ?,"['A. 9-11', 'B. 10-12', 'C. 11-13', 'D. 8-10']",A. 9-11
RBQ,Ethopia_RBQ.xlsx,Genna,ለገና ኳስ ኦፊሴላዊው የክብደት ክልል ምንድነው?,ሀ 2-3 ኪ.ግ ለ. 3-4 ኪ.ግ. 4-5 ኪ.ግ መ. 3-4 ኪ.ግ.,የገና ኳስ መደበኛ ክብደት 3-4 ኪ.ግ ነው.,0,"The question contains a typo: 'ለገና ኳስ' should be 'ለገና ኳስ' (correct), but the options have redundant and inconsistent labeling (ሀ, ለ, 4-5 ኪ.ግ, መ) with duplicate '3-4 ኪ.ግ' in two options. Also, option '4-5 ኪ.ግ' lacks a letter label. The correct answer is stated as '3-4 ኪ.ግ', but two options have this value, making it ambiguous.",ለገና ኳስ ኦፊሴላዊው የክብደት ክልል ምንድነው?,"['ሀ. 2-3 ኪ.ግ', 'ለ. 3-4 ኪ.ግ', 'ሐ. 4-5 ኪ.ግ', 'መ. 3-4 ኪ.ግ']",ለ. 3-4 ኪ.ግ
RBQ,Ethopia_RBQ.xlsx,Genna,ሆን ብሎ ሌላውን ተጫዋች ኳሱን በመምታት ቅጣቱ ምንድን ነው?,ሀ. ማስጠንቀቂያ ለ. ቅጣት የለም። ሐ. ነጥቦችን ማጣት መ. ብቁ አለመሆን,ሆን ተብሎ ሌላ ተጫዋች መምታት ውድቅ ያደርገዋል።,0,"The question is written in Amharic but contains a grammatical and logical error: 'ሆን ብሎ' is not standard Amharic phrasing for 'when one player passes to another'. The correct term should be 'ሆን ተብሎ'. Additionally, the provided answer is not among the options — it's stated separately and doesn't match any of the four choices. The options also contain inconsistencies: 'ሆን ተብሎ ሌላ ተጫዋች መምታት ውድቅ ያደርገዋል' is the correct factual answer but is not listed as an option. The options should reflect plausible choices, one of which must be the correct answer.",ሆን ተብሎ ሌላውን ተጫዋች ኳሱን በመምታት ቅጣቱ ምንድን ነው?,"['ሀ. ማስጠንቀቂያ', 'ለ. ቅጣት የለም', 'ሐ. ነጥቦችን ማጣት', 'መ. ብቁ አለመሆን']",ሐ. ነጥቦችን ማጣ��
