country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
RBQ,Germany_RBQ.xlsx,Rowing(Rudern),"Was passiert, wenn ein Teammitglied den Start verpasst?",A. Das Rennen wird neu gestartet. B. Das Team wird disqualifiziert. C. Das Team erhält eine Zeitstrafe. D. Das Rennen wird fortgesetzt.,Das Team wird disqualifiziert,0,"The question is ambiguous and factually incorrect in context. In relay races (the most likely scenario for 'Teammitglied' and 'Start'), if one team member misses the start (e.g., fails to receive the baton or leaves early), the team is typically disqualified — but the question does not specify the sport or context. The phrasing 'den Start verpasst' (missed the start) could imply the athlete was not at the starting line at all, which is not standard terminology in relay rules. In relays, it's usually 'false start' or 'baton exchange violation' that leads to DQ. The question lacks specificity to be a valid MCQ in sports context.","Was passiert, wenn ein Teammitglied bei einem Staffellauf den Übergabebereich nicht rechtzeitig erreicht?","['A. Das Rennen wird neu gestartet.', 'B. Das Team wird disqualifiziert.', 'C. Das Team erhält eine Zeitstrafe.', 'D. Das Rennen wird fortgesetzt.']",Das Team wird disqualifiziert.
RBQ,Germany_RBQ.xlsx,Rowing(Rudern),Wie hoch ist die Strafe für einen Frühstart beim Rudern?,A. Zeitstrafe B. Disqualifikation C. Neustart des Rennens D. Punktabzug,Zeitstrafe,0,"The question is factually incorrect. In rowing, a false start (Frühstart) does not result in a time penalty (Zeitstrafe); instead, it typically leads to disqualification (Disqualifikation) after a second false start, or sometimes immediate disqualification depending on the race rules. The provided answer 'Zeitstrafe' is wrong.",Wie hoch ist die Strafe für einen zweiten Frühstart beim Rudern?,"['A. Zeitstrafe', 'B. Disqualifikation', 'C. Neustart des Rennens', 'D. Punktabzug']",B. Disqualifikation
RBQ,Germany_RBQ.xlsx,Rowing(Rudern),Was ist die Mindestanzahl an Ruderern in einem Achterboot?,A. Acht Ruderer B. Sechs Ruderer C. Vier Ruderer D. Zwei Ruderer,Acht Ruderer,1,no mistake,no correction needed,no correction needed,Acht Ruderer
RBQ,Germany_RBQ.xlsx,Rowing(Rudern),Welchen Zweck hat der Steuermann bei einem Rennen?,A. Das Boot steuern B. Die Geschwindigkeit erhöhen C. Das Boot beschleunigen D. Die Gegner blockieren,Um das Boot zu steuern,0,"The question asks 'Welchen Zweck hat der Steuermann bei einem Rennen?' which is correct, but the provided correct answer 'Um das Boot zu steuern' is not among the options. The options are phrased as noun phrases (A. Das Boot steuern, etc.), while the correct answer is given as a full infinitive phrase. This mismatch makes the MCQ invalid because the correct answer must be one of the listed options.",Welchen Zweck hat der Steuermann bei einem Rennen?,"['A. Das Boot zu steuern', 'B. Die Geschwindigkeit zu erhöhen', 'C. Das Boot zu beschleunigen', 'D. Die Gegner zu blockieren']",A. Das Boot zu steuern
RBQ,Germany_RBQ.xlsx,Rowing(Rudern),Wie sollte das Boot vor dem Start des Rennens positioniert werden?,A. Parallel zur Startlinie B. Senkrecht zur Startlinie C. In der Mitte des Flusses D. Hinter der Startlinie,Parallel zur Startlinie,1,no mistake,no correction needed,no correction needed,Parallel zur Startlinie
RBQ,Germany_RBQ.xlsx,Rowing(Rudern),"Was passiert, wenn ein Boot den Weg eines anderen kreuzt?",A. Das Boot wird disqualifiziert. B. Das Rennen wird abgebrochen. C. Es wird eine Zeitstrafe verhängt. D. Das Boot wird verwarnt.,Das Boot wird disqualifiziert,0,"The question is about a boat crossing another's path, but the context is unclear — it seems to imply a rowing or sailing race, yet the correct answer 'Das Boot wird disqualifiziert' is overly harsh and not standard for minor path crossings in most sports regulations. In real sailing or rowing rules (e.g., ISAF/World Sailing), crossing paths improperly typically results in a penalty turn or time penalty, not immediate disqualification, unless it's a severe or repeated offense. The provided answer is factually incorrect for a standard scenario.","Was passiert, wenn ein Boot den Weg eines anderen Bootes unerlaubt kreuzt?","['A. Das Boot wird disqualifiziert.', 'B. Das Rennen wird abgebrochen.', 'C. Es wird eine Zeitstrafe verhängt.', 'D. Das Boot wird verwarnt.']",C. Es wird eine Zeitstrafe verhängt.
RBQ,Germany_RBQ.xlsx,Rowing(Rudern),Wie viele Schläge pro Minute sind bei einem Wettkampfrennen üblich?,A. 30 bis 40 Schläge B. 20 bis 30 Schläge C. 50 bis 60 Schläge D. 10 bis 20 Schläge,30 bis 40 Schläge,0,"The question asks about 'Schläge pro Minute' (strokes per minute) in a 'Wettkampfrennen' (competitive race), but this is ambiguous without specifying the sport. In rowing, strokes per minute are commonly measured (typically 30-40), but in running, 'Schläge' does not apply — runners take strides, not strokes. The term 'Schläge' is incorrect for running events. The correct context should be rowing, not a general 'Wettkampfrennen'.",Wie viele Schläge pro Minute sind bei einem Wettkampf-Rudern üblich?,"['A. 30 bis 40 Schläge', 'B. 20 bis 30 Schläge', 'C. 50 bis 60 Schläge', 'D. 10 bis 20 Schläge']",A. 30 bis 40 Schläge
RBQ,Germany_RBQ.xlsx,Rowing(Rudern),"Welche Strafe erhält ein Boot, wenn es einen Gegner absichtlich behindert?",A. Disqualifikation B. Zeitstrafe C. Neustart des Rennens D. Verwarnung,Disqualifikation,1,no mistake,no correction needed,no correction needed,Disqualifikation
RBQ,Germany_RBQ.xlsx,Rowing(Rudern),Was ist die Hauptaufgabe des Bugmanns auf dem Boot?,A. Den Rhythmus vorgeben. B. Das Boot steuern. C. Die Geschwindigkeit erhöhen. D. Die Ruder zählen.,Legen Sie den Rhythmus fest,0,"The question asks about 'Bugmann' on a boat, which is incorrect terminology. The correct term in rowing is 'Steuermann' (coxswain) or in German rowing context, 'Bugmann' is not a standard role. 'Bugmann' refers to the rower in the bow position, who does not set rhythm or steer. The correct role that sets the rhythm is the 'Steuermann' (coxswain) or sometimes the 'Schlagmann' (stroke rower). The provided answer 'Legen Sie den Rhythmus fest' refers to setting the rhythm, which is the job of the stroke rower (Schlagmann), not Bugmann. Therefore, the question contains a factual error in terminology and role assignment.",Was ist die Hauptaufgabe des Schlagmanns auf dem Boot?,"['A. Den Rhythmus vorgeben.', 'B. Das Boot steuern.', 'C. Die Geschwindigkeit erhöhen.', 'D. Die Ruder zählen.']",A. Den Rhythmus vorgeben.
RBQ,Germany_RBQ.xlsx,Rowing(Rudern),"Welche Regel gilt, wenn ein Ruder kaputt geht?",A. Das Team darf das Rennen fortsetzen. B. Das Team wird disqualifiziert. C. Das Rennen wird für das Team abgebrochen. D. Das Team erhält einen Neustart.,Das Team darf das Rennen fortsetzen,0,"The question is factually incorrect. In rowing competitions, if a oar (Ruder) breaks, the team is not allowed to continue the race with a broken oar; they must either withdraw or, in some cases, be allowed to continue with the remaining oars if the rules permit (e.g., in coxless pairs or fours), but the provided answer 'Das Team darf das Rennen fortsetzen' is misleading without context. The official FISA/World Rowing rules state that a broken oar typically results in disqualification unless the crew can continue safely and fairly with the remaining equipment — but this is not universally accepted as 'allowed to continue'. The question as phrased implies a blanket rule that is inaccurate. Moreover, the correct answer provided contradicts standard regulations.","Was passiert, wenn ein Ruder während eines Ruderrennens bricht?","['A. Das Team darf das Rennen mit den verbleibenden Rudern fortsetzen, sofern es sicher und fair möglich ist.', 'B. Das Team wird disqualifiziert.', 'C. Das Rennen wird für das Team abgebrochen.', 'D. Das Team erhält einen Neustart.']","A. Das Team darf das Rennen mit den verbleibenden Rudern fortsetzen, sofern es sicher und fair möglich ist."
