Started at: 00:21:34
['C:\\Users\\nilad\\Documents\\country-dataset\\sudan\\IBQ\\IBQ_Sudan.xlsx']

-> Processing: C:\Users\nilad\Documents\country-dataset\sudan\IBQ\IBQ_Sudan.xlsx
[SAVED] -> IBQ | Horse_Racing | Row 0
[SAVED] -> IBQ | Horse_Racing | Row 1
[SAVED] -> IBQ | Horse_Racing | Row 2
[SAVED] -> IBQ | Horse_Racing | Row 3
[SAVED] -> IBQ | Horse_Racing | Row 4
[SAVED] -> IBQ | Horse_Racing | Row 5
[SAVED] -> IBQ | Horse_Racing | Row 6
[SAVED] -> IBQ | Horse_Racing | Row 7
[SAVED] -> IBQ | Horse_Racing | Row 8
[SAVED] -> IBQ | Horse_Racing | Row 9
[SAVED] -> IBQ | Horse_Racing | Row 10
[SAVED] -> IBQ | Horse_Racing | Row 11
[SAVED] -> IBQ | Horse_Racing | Row 12
[SAVED] -> IBQ | Horse_Racing | Row 13
[SAVED] -> IBQ | Horse_Racing | Row 14
[SAVED] -> IBQ | Horse_Racing | Row 15
[SAVED] -> IBQ | Horse_Racing | Row 16
[SAVED] -> IBQ | Horse_Racing | Row 17
[SAVED] -> IBQ | Horse_Racing | Row 18
[SAVED] -> IBQ | Horse_Racing | Row 19
[SAVED] -> IBQ | Horse_Racing | Row 20
[SAVED] -> IBQ | Horse_Racing | Row 21
[SAVED] -> IBQ | Horse_Racing | Row 22
[SAVED] -> IBQ | Horse_Racing | Row 23
[SAVED] -> IBQ | Horse_Racing | Row 24
[SAVED] -> IBQ | Horse_Racing | Row 25
[SAVED] -> IBQ | Horse_Racing | Row 26
[SAVED] -> IBQ | Horse_Racing | Row 27
[SAVED] -> IBQ | Horse_Racing | Row 28
[SAVED] -> IBQ | Horse_Racing | Row 29
[SAVED] -> IBQ | Horse_Racing | Row 30
[SAVED] -> IBQ | Horse_Racing | Row 31
[SAVED] -> IBQ | Horse_Racing | Row 32
[SAVED] -> IBQ | Horse_Racing | Row 33
[SAVED] -> IBQ | Horse_Racing | Row 34
[SAVED] -> IBQ | Horse_Racing | Row 35
[SAVED] -> IBQ | Horse_Racing | Row 36
