country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
HBQ,France_HBQ.xlsx,Nautical_Jousting,Dans quelle civilisation antique les plus anciennes représentations connues de joutes nautiques ont-elles été découvertes ?,"A) La Grèce antique, B) La Rome antique, C) L'Égypte antique, D) La Chine antique",C) L'Égypte antique,1,no mistake,no correction needed,no correction needed,C) L'Égypte antique
HBQ,France_HBQ.xlsx,Nautical_Jousting,Le sport français moderne des joutes nautiques est le plus souvent et traditionnellement associé à quelle ville ?,"A) Marseille, B) Paris, C) Lyon, D) Sète",D) Sète,1,no mistake,no correction needed,no correction needed,D) Sète
HBQ,France_HBQ.xlsx,Nautical_Jousting,"Quel est le nom du plus célèbre festival de joutes nautiques, créé à Sète en 1666 ?","A) Le Championnat de Sète, B) Le Tournoi de la Gold Cup, C) Le Festival de Saint-Louis, D) Le Festival Nautique du Languedoc",C) Le festival de Saint-Louis,0,"The correct answer provided, 'Le Festival de Saint-Louis', is factually incorrect. The most famous festival of nautical jousting in Sète, created in 1666, is officially called 'Les Fêtes de la Saint-Louis', but it is universally known as 'Les Joutes Nautiques de Sète'. None of the given options correctly name the festival. The question implies one of the options is correct, but all are misleading or false. The term 'Festival de Saint-Louis' is not the standard or recognized name for the event in common usage or official sources.","Quel est le nom du plus célèbre festival de joutes nautiques, créé à Sète en 1666 ?","['A) Les Joutes Nautiques de Sète', 'B) Le Tournoi de la Gold Cup', 'C) Le Festival de Saint-Louis', 'D) Le Festival Nautique du Languedoc']",A) Les Joutes Nautiques de Sète
HBQ,France_HBQ.xlsx,Nautical_Jousting,La création du Festival de Saint-Louis en 1666 visait à célébrer quel événement historique majeur ?,"A) Un mariage royal, B) Une victoire militaire, C) La fondation du port de Sète, D) Une fête religieuse",C) La fondation du port de Sète,0,"The Festival de Saint-Louis was not created in 1666 to celebrate the founding of the port of Sète. In fact, Sète was founded in 1666 as 'Port-Louis' by Louis XIV, and the festival associated with Saint-Louis is a modern cultural event in Saint-Louis, Senegal, not linked to Sète. The historical event celebrated by the founding of Port-Louis (Sète) was the establishment of a new port city, not a festival named 'Festival de Saint-Louis'. The question conflates unrelated facts: there was no 'Festival de Saint-Louis' in 1666 in Sète. The correct historical event is the founding of the port, but the festival did not exist then.",La création du port de Sète en 1666 visait à célébrer quel événement historique majeur ?,"['A) Un mariage royal', 'B) Une victoire militaire', 'C) La fondation du port de Sète', 'D) Une fête religieuse']",C) La fondation du port de Sète
HBQ,France_HBQ.xlsx,Nautical_Jousting,La première mention documentée de joutes nautiques en France date de 1170 et décrit un tournoi dans quelle ville ?,"A) Paris, B) Sète, C) Marseille, D) Lyon",D) Lyon,0,"The correct answer provided (D) Lyon is factually incorrect. The first documented mention of joutes nautiques in France dates back to 1170 and refers to a tournament in Marseille, not Lyon. Lyon is not historically associated with the origin of joutes nautiques, which are a traditional naval combat sport originating in the Mediterranean coast, particularly in Marseille and Sète.",La première mention documentée de joutes nautiques en France date de 1170 et décrit un tournoi dans quelle ville ?,"['A) Paris', 'B) Sète', 'C) Marseille', 'D) Lyon']",C) Marseille
HBQ,France_HBQ.xlsx,Nautical_Jousting,Une chronique historique de 1270 mentionne des joutes nautiques organisées pour les croisés de quel roi français ?,"A) Philippe II, B) Louis IX (Saint Louis), C) Charles Quint, D) François Ier",B) Louis IX (Saint Louis),1,no mistake,no correction needed,no correction needed,B) Louis IX (Saint Louis)
HBQ,France_HBQ.xlsx,Nautical_Jousting,Quelle période historique a vu la plus grande expansion des joutes nautiques dans les vallées fluviales de France en tant que forme de divertissement noble ?,"A) Le Moyen Âge, B) La Renaissance, C) L'époque romaine, D) L'époque napoléonienne",B) La Renaissance,0,"The question is factually incorrect. Joutes nautiques (naval jousting) were not a historical practice in French river valleys as a noble form of entertainment. The term 'joutes nautiques' refers to a traditional water-based sport practiced in southwestern France (especially in the Gironde and Landes regions), involving boats and pole-fighting, which dates back to at least the 14th century but became formalized as a popular regional tradition, not as a 'noble entertainment' tied to the Renaissance. The Renaissance is not the period of greatest expansion for this activity — it was more of a folk tradition with medieval roots. Moreover, 'joutes nautiques' are not analogous to knightly jousting on water; the term is misleading in this context. The question conflates historical fact with cultural misrepresentation.",Quelle période historique a vu l'essor des joutes nautiques comme tradition populaire dans les vallées fluviales du sud-ouest de la France ?,"['A) Le Moyen Âge', 'B) La Renaissance', ""C) L'époque romaine"", ""D) L'époque napoléonienne""]",A) Le Moyen Âge
HBQ,France_HBQ.xlsx,Nautical_Jousting,Quel roi de France a été honoré par un grand spectacle de joutes nautiques sur la Loire en 1510 ?,"A) Louis XIV, B) Henri II, C) Charles VIII, D) François Ier",D) François Ier,0,"The question is factually incorrect. François Ier was not king of France in 1510; Charles VIII died in 1498, and Louis XII reigned from 1498 to 1515. The grand jousting spectacle on the Loire in 1510 was held under Louis XII, not François Ier. François Ier became king in 1515.",Quel roi de France a été honoré par un grand spectacle de joutes nautiques sur la Loire en 1510 ?,"['A) Louis XIV', 'B) Henri II', 'C) Charles VIII', 'D) Louis XII']",D) Louis XII
HBQ,France_HBQ.xlsx,Nautical_Jousting,"En 1507, quelle reine de France a assisté à un tournoi de joutes nautiques organisé en son honneur à Lyon ?","A) Catherine de Médicis, B) Marie de Médicis, C) Anne de Bretagne, D) Aliénor d'Autriche",C) Anne de Bretagne,0,"The question is factually incorrect. Anne de Bretagne died in 1514, but in 1507 she was queen consort of France as the wife of Louis XII. However, the jousts on the Rhône in Lyon in 1507 were held to celebrate the birth of the Dauphin (future Francis I), not specifically in her honor. Moreover, Catherine de Médicis was not queen until 1547, Marie de Médicis until 1600, and Aliénor d'Autriche (Eleanor of Austria) married Francis I in 1530. The event in 1507 was indeed associated with Anne de Bretagne as queen at the time, but the phrasing 'organisé en son honneur' (organized in her honor) is misleading. The jousts were primarily to celebrate the Dauphin’s birth, not Anne herself. The correct answer given (C) is historically plausible but the question is misleadingly worded.","En 1507, quelle reine de France était présente lors d'un tournoi de joutes nautiques organisé à Lyon pour célébrer la naissance du dauphin ?","['A) Catherine de Médicis', 'B) Marie de Médicis', 'C) Anne de Bretagne', ""D) Aliénor d'Autriche""]",C) Anne de Bretagne
HBQ,France_HBQ.xlsx,Nautical_Jousting,Quel roi de France fut reçu à Lyon en 1548 avec un grand spectacle de joutes nautiques ?,"A) Henri IV, B) Louis XIII, C) Henri II, D) François II",C) Henri II,1,no mistake,no correction needed,no correction needed,C) Henri II
HBQ,France_HBQ.xlsx,Nautical_Jousting,Pour quel monarque anglais une compétition de joutes nautiques a-t-elle été organisée dans la ville de Sandwich en 1573 ?,"A) Henri VIII, B) Victoria, C) Élisabeth Ire, D) Marie Ire",C) Élisabeth Ire,1,no mistake,no correction needed,no correction needed,C) Élisabeth Ire
