country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
SBQ,SBQ_Germany.xlsx,Rowing (Rudern),"Ein Ruderer bemerkt, dass sein Ruderblatt immer wieder zu tief ins Wasser taucht. Was sollten sie anpassen?",A. Leistung B. Fangposition C. Griffwinkel D. Timing,Griffwinkel,0,"The question is factually incorrect because the depth of the oar blade in the water is primarily controlled by the 'Fangposition' (catch position), not the 'Griffwinkel' (grip angle). The grip angle affects the orientation of the oar handle and blade in the horizontal plane, not the vertical depth. The correct adjustment for a blade diving too deep is modifying the catch position — how high or low the rower places the blade at the start of the stroke.","Ein Ruderer bemerkt, dass sein Ruderblatt immer wieder zu tief ins Wasser taucht. Was sollten sie anpassen?","['A. Leistung', 'B. Fangposition', 'C. Griffwinkel', 'D. Timing']",Fangposition
SBQ,SBQ_Germany.xlsx,Rowing (Rudern),Während einer Regatta kommt das Boot plötzlich vom Kurs ab. Was ist wahrscheinlich die Ursache dafür?,A. Schlechte Balance B. Ungleichmäßige Striche C. Defekte Ausrüstung D. Starke Strömung,Ungleichmäßige Striche,0,"The question is factually misleading. In rowing regattas, boats deviating from course is most commonly caused by external factors like strong currents or wind, not 'ungleichmäßige Striche' (uneven strokes), which would cause inefficiency or slowing, not necessarily course deviation. Additionally, 'Striche' is ambiguous — it could mean strokes (rower's motion) or strokes (as in hits), but in rowing context, uneven strokes typically cause imbalance, not directional drift. The correct cause should be 'Starke Strömung' (strong current), which is already option D. The answer provided is incorrect.",Während einer Regatta kommt das Boot plötzlich vom Kurs ab. Was ist wahrscheinlich die äußere Ursache dafür?,"['A. Schlechte Balance', 'B. Ungleichmäßige Striche', 'C. Defekte Ausrüstung', 'D. Starke Strömung']",Starke Strömung
SBQ,SBQ_Germany.xlsx,Rowing (Rudern),Der Steuermann fordert eine „Stärke 10“. Was bedeutet das?,A. Machen Sie 10 Ruderschläge mit voller Anstrengung B. 10 Sekunden ruhen lassen C. Technik anpassen D. Hören Sie auf zu rudern,Machen Sie 10 Ruderschläge mit voller Anstrengung,0,"The question is factually incorrect. In rowing, 'Stärke 10' (Strength 10) is not a standard command for '10 strokes with full effort'. The term 'Stärke' in rowing typically refers to the intensity level on a scale (e.g., 1–10), where 'Stärke 10' means maximum effort sustained, not a count of strokes. The correct interpretation is 'row at maximum intensity', not '10 strokes'. The provided answer misrepresents the terminology used in rowing commands.",Der Steuermann fordert eine „Stärke 10“. Was bedeutet das?,"['A. Führen Sie 10 Ruderschläge mit voller Anstrengung aus', 'B. 10 Sekunden ruhen lassen', 'C. Die Technik anpassen', 'D. Mit voller Kraft rudern']",D. Mit voller Kraft rudern
SBQ,SBQ_Germany.xlsx,Rowing (Rudern),"Was passiert, wenn die Hand eines Ruderers mitten im Ruderschlag abrutscht?",A. Das Boot hält an B. Der Ruderer verliert das Gleichgewicht C. Das Boot kentert D. Der Ruderer erholt sich schnell,Der Ruderer verliert das Gleichgewicht,0,"The question is factually incorrect. In rowing, if a rower's hand slips mid-stroke, the boat does not typically lose balance due to a single rower's slip — the oar may exit the water or the rower may lose control of the oar, but the boat continuing its motion and the rower potentially losing balance is not the most accurate or primary consequence. The correct physical consequence is that the oar may 'catch a crab' (oar gets stuck in water), causing disruption, but the rower losing balance is not the direct or most precise outcome. Also, 'Der Ruderer verliert das Gleichgewicht' (the rower loses balance) is misleading — it's the oar movement that causes instability, not necessarily the rower's personal balance. The question implies a direct physical consequence that is not technically accurate in rowing terminology.","Was passiert, wenn der Ruderer während des Ruderschlags die Ruderblattkontrolle verliert?","['A. Das Boot hält an', 'B. Der Ruderer verliert das Gleichgewicht', 'C. Das Boot kentert', ""D. Es kommt zu einem 'Crab' (Ruder bleibt im Wasser stecken)""]",D. Es kommt zu einem 'Crab' (Ruder bleibt im Wasser stecken)
SBQ,SBQ_Germany.xlsx,Rowing (Rudern),"Ein Ruderer hat das Gefühl, dass sein Sitz nicht reibungslos gleitet. Was sollten sie überprüfen?",A. Ruderschlösser B. Bootsausrichtung C. Schienenschmierung D. Trittbretter,Schienenschmierung,1,no mistake,no correction needed,no correction needed,Schienenschmierung
SBQ,SBQ_Germany.xlsx,Rowing (Rudern),Wie hoch ist die Strafe für das Überqueren einer anderen Fahrspur während eines Rennens?,A. Zeitstrafe B. Disqualifikation C. Starten Sie das Rennen neu D. Warnung,Disqualifikation,0,"The question is factually incorrect because it refers to 'crossing another lane during a race' in a context that is ambiguous and not standard for motorsport or athletic racing. In motorsport (e.g., Formula 1, NASCAR), crossing a boundary or lane illegally typically results in a time penalty or drive-through, not automatic disqualification unless it's a severe or repeated offense. The term 'Fahrspur' (lane) is more typical of road traffic, not racing circuits. The question lacks specificity about the sport and misrepresents standard penalties. Also, 'Disqualifikation' is too severe as a default penalty for this action.",Wie hoch ist die übliche Strafe für das unerlaubte Wechseln der Fahrspur während eines Formel-1-Rennens?,"['A. Zeitstrafe', 'B. Disqualifikation', 'C. Starten Sie das Rennen neu', 'D. Warnung']",A. Zeitstrafe
SBQ,SBQ_Germany.xlsx,Rowing (Rudern),Wie sollten sich Ruderer nach einem Langstrecken-Ruderrennen erholen?,A. Wasser trinken B. Muskeln dehnen C. Sowohl A als auch B D. Nichts des oben Genannten,Sowohl A als auch B,1,no mistake,no correction needed,no correction needed,Sowohl A als auch B
SBQ,SBQ_Germany.xlsx,Rowing (Rudern),Welche Rolle spielt der „Bugsitz“ beim Rudern?,A. Geben Sie das Tempo vor B. Balancieren Sie das Boot C. Folgen Sie dem Hubsitz D. Steuern Sie das Boot,Balancieren Sie das Boot,0,"The term 'Bugsitz' is not a recognized rowing position; the correct term is 'Bugsi' or more accurately 'Steuermann' (coxswain) for steering, but the intended position is likely 'Steuermann' or 'Hubsitz'. The term 'Bugsitz' is a common misnomer or typo for 'Bugsi', which refers to the coxswain's seat at the bow, but in rowing, the coxswain sits at the stern, not the bow. The provided answer 'Balancieren Sie das Boot' is incorrect because the coxswain steers and coordinates power, not primarily balances. The actual role of the person in the stern (Steuermann) is to steer the boat. The question contains a factual error in terminology and incorrect answer.",Welche Rolle spielt der „Steuermann“ beim Rudern?,"['Geben Sie das Tempo vor', 'Balancieren Sie das Boot', 'Folgen Sie dem Hubsitz', 'Steueren Sie das Boot']",Steueren Sie das Boot
SBQ,SBQ_Germany.xlsx,Rowing (Rudern),Welche Technik sollten Ruderer bei starkem Gegenwind anpassen?,A. Striche verkürzen B. Erhöhen Sie den Auslaufwinkel C. Leistung verringern D. Zurücklehnen,Erhöhen Sie den Auslaufwinkel,0,"The question asks about technique adjustment in strong headwind, but the correct answer 'Erhöhen Sie den Auslaufwinkel' (Increase the release angle) is not standard rowing terminology and is logically inconsistent. In rowing, during strong headwinds, rowers typically shorten their strokes (reduce stroke length) to maintain rhythm and power efficiency, not increase the release angle. The term 'Auslaufwinkel' is ambiguous and not commonly used in rowing coaching literature. Also, the answer option is written in imperative form while others are in infinitive or base form, creating inconsistency.",Welche Technik sollten Ruderer bei starkem Gegenwind anpassen?,"['A. Striche verkürzen', 'B. Den Auslaufwinkel erhöhen', 'C. Die Leistung verringern', 'D. Sich zurücklehnen']",A. Striche verkürzen
SBQ,SBQ_Germany.xlsx,Rowing (Rudern),Ein Ruderer verspürt während der Erholungsphase einen erheblichen Widerstand. Was könnte das Problem sein?,A. Falsche Federung B. Überwältigende Schläge C. Ungleichmäßiger Bootstrimm D. Ruder zu tief,Falsche Federung,0,"The question is factually incorrect. During the recovery phase in rowing, the oar is out of the water and there should be minimal resistance. Significant resistance during recovery is not typical and does not logically point to 'falsche Federung' (incorrect feathering). Feathering affects the oar's orientation in the air, not resistance during recovery. The real issue causing resistance during recovery is likely the oar being too deep in the water (i.e., not properly lifted or feathered), which contradicts the given answer.",Ein Ruderer verspürt während der Schlagphase einen erheblichen Widerstand. Was könnte das Problem sein?,"['Falsche Federung', 'Überwältigende Schläge', 'Ungleichmäßiger Bootstrimm', 'Ruder zu tief']",Ruder zu tief
SBQ,SBQ_Germany.xlsx,Rowing (Rudern),Welchen Zweck hat eine „Tarifobergrenze“ während der Praxis?,A. Schlagzahl begrenzen B. Erhöhen Sie die Bootsgeschwindigkeit C. Sorgen Sie für Ausdauer D. Vermeiden Sie Muskelermüdung,Schlagzahl begrenzen,0,"The term 'Tarifobergrenze' is not a recognized concept in sports practice; it is an economic term (price cap) and does not apply to rowing or athletic training. The question is factually incorrect and misleading. The intended concept is likely 'Schlagzahlobergrenze' (stroke rate limit), which is relevant in rowing or endurance training to prevent overexertion.",Welchen Zweck hat eine „Schlagzahlobergrenze“ während der Praxis?,"['A. Schlagzahl begrenzen', 'B. Erhöhen Sie die Bootsgeschwindigkeit', 'C. Sorgen Sie für Ausdauer', 'D. Vermeiden Sie Muskelermüdung']",A. Schlagzahl begrenzen
SBQ,SBQ_Germany.xlsx,Rowing (Rudern),Während des Trainings bilden sich an den Händen eines Ruderers Blasen. Wie kann dies verhindert werden?,A. Tragen Sie Handschuhe B. Verwenden Sie die richtige Grifftechnik C. Intensität reduzieren D. Tragen Sie Lotion auf,Verwenden Sie die richtige Grifftechnik,0,"The question is factually misleading because while proper grip technique can reduce blisters, the most direct and commonly recommended prevention method in rowing is wearing gloves. The provided answer 'Verwenden Sie die richtige Grifftechnik' is not the best or most universally accepted solution; gloves are the standard preventive measure. The question implies only one correct answer, but the best answer is not accurately represented.",Während des Trainings bilden sich an den Händen eines Ruderers Blasen. Was ist die effektivste direkte Maßnahme zur Verhinderung von Blasen?,"['A. Tragen Sie Handschuhe', 'B. Verwenden Sie die richtige Grifftechnik', 'C. Intensität reduzieren', 'D. Tragen Sie Lotion auf']",A. Tragen Sie Handschuhe
SBQ,SBQ_Germany.xlsx,Rowing (Rudern),"Während eines Sprintrennens hat ein Ruderer das Gefühl, nicht im Einklang mit dem Team zu sein. Worauf sollten sie sich konzentrieren?",A. Leistung B. Timing C. Stärke D. Ausdauer,Timing,0,"The question mentions 'ein Ruderer' (a rower) during a 'Sprintrennen' (sprint race), which is factually inconsistent. Rowing is not a sprint race in the context of track and field; sprint races typically refer to running events. A rower would be part of a rowing race, not a sprint race. This creates a logical error in the scenario.","Während eines Ruderrennens hat ein Ruderer das Gefühl, nicht im Einklang mit dem Team zu sein. Worauf sollten sie sich konzentrieren?","['A. Leistung', 'B. Timing', 'C. Stärke', 'D. Ausdauer']",B. Timing
SBQ,SBQ_Germany.xlsx,Rowing (Rudern),Was ist der entscheidende Faktor bei der Ermittlung des Siegers eines Ruderrennens?,A. Schlagzahl B. Zurückgelegte Strecke C. Zeitaufwand D. Bootsbalance,Zeitaufwand,1,no mistake,no correction needed,no correction needed,Zeitaufwand
SBQ,SBQ_Germany.xlsx,Rowing (Rudern),Worauf bezieht sich der Begriff „Fangen“ in einem Ruderboot?,A. Beginn des Schlaganfalls B. Ende des Schlaganfalls C. Mittelpunkt des Strichs D. Erholungsphase,Beginn des Schlaganfalls,0,"The term 'Fangen' in rowing refers to the moment when the oar blade enters the water at the start of the stroke, not the 'Schlaganfall' (which means 'stroke' in rowing context but 'stroke' as in medical 'stroke' is a dangerous misinterpretation). 'Schlaganfall' is a medical term in German and should not be used in rowing. The correct term is 'Schlag' or 'Stich'. The question contains a critical terminology error that misleads the entire context.",Worauf bezieht sich der Begriff „Fangen“ in einem Ruderboot?,"['A. Beginn des Schlags', 'B. Ende des Schlags', 'C. Mittelpunkt des Stichs', 'D. Erholungsphase']",A. Beginn des Schlags
