country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
RBQ,Italy_RBQ.xlsx,Calcio,Quanti giocatori ci sono in una squadra di Calcio Storico?,A. 11 B. 27 C. 15 D. 8,27,0,"The question asks for the number of players in a Calcio Storico team, but the correct answer provided (27) is misleading. Calcio Storico is played with 27 players total per team (15 on the field and 12 substitutes), but the standard and commonly accepted number referenced in official rules is 27 per team. However, the question is ambiguous because it does not specify whether it refers to players on the field or total squad. The options include 27, which is technically correct for total squad size, but the question should be clarified to avoid confusion. The most accurate and unambiguous version should specify 'total players in a team (including substitutes)' or 'players on the field'. Since 15 is the number of players on the field, and 27 is the total squad, the question as phrased is ambiguous and could lead to misinterpretation.","Quanti giocatori compongono una squadra completa di Calcio Storico, inclusi i sostituti?","['A. 11', 'B. 27', 'C. 15', 'D. 8']",B. 27
RBQ,Italy_RBQ.xlsx,Calcio,Qual è l'obiettivo principale del Calcio Storico?,"A. Fare più ""caccia"" possibile B. Proteggere la porta C. Passare la palla al capitano D. Sfidare il pubblico","Fare più ""caccia"" possibile",0,"The term 'caccia' is incorrect in the context of Calcio Storico. The objective is to score by getting the ball into the opponent's goal, which is called 'goal' or 'palla in porta', not 'caccia'. 'Caccia' means 'hunt' and is not a recognized term in this sport. The correct answer option is misleading and factually wrong.",Qual è l'obiettivo principale del Calcio Storico?,"['A. Fare più goal possibile', 'B. Proteggere la porta', 'C. Passare la palla al capitano', 'D. Sfidare il pubblico']",A. Fare più goal possibile
RBQ,Italy_RBQ.xlsx,Calcio,"Come si segna una ""caccia"" nel Calcio Storico?",A. Calciando il pallone nella porta B. Lanciando il pallone sopra una rete C. Facendo passare il pallone in una linea laterale D. Mettendo il pallone in una rete bassa,Lanciando il pallone sopra una rete,0,"The term 'caccia' is not a standard or recognized scoring method in Calcio Storico. The correct term for scoring is 'caccia' only in the context of getting the ball through a small net at the end of the field, but the description 'Lanciando il pallone sopra una rete' is inaccurate — it should be 'passando il pallone attraverso una rete bassa' or similar. The provided answer incorrectly describes the action as 'sopra' (over) instead of 'attraverso' (through). Additionally, option D correctly describes the actual scoring method but is not selected as correct in the original.",Come si segna una 'caccia' nel Calcio Storico?,"['A. Calciando il pallone nella porta', 'B. Lanciando il pallone sopra una rete', 'C. Facendo passare il pallone in una linea laterale', 'D. Mettendo il pallone attraverso una rete bassa']",Mettendo il pallone attraverso una rete bassa
RBQ,Italy_RBQ.xlsx,Calcio,Cosa succede se si sbaglia un tiro nel Calcio Storico?,A. L'altra squadra guadagna un punto B. Il gioco si ferma C. La squadra perde un giocatore D. L'altra squadra perde un punto,L'altra squadra guadagna un punto,0,"The question and answer are factually incorrect. In Calcio Storico, missing a shot does not grant a point to the opposing team. Points (called 'goali') are scored by getting the ball into the opponent's goal area, and missing a shot simply continues play or may result in a turnover, not a point for the opponent.",Cosa succede se si segna un goal nel Calcio Storico?,"[""A. L'altra squadra guadagna un punto"", 'B. Il gioco si ferma', 'C. La squadra che ha segnato guadagna un punto', ""D. L'altra squadra perde un punto""]",C. La squadra che ha segnato guadagna un punto
RBQ,Italy_RBQ.xlsx,Calcio,Quante squadre partecipano al torneo di Calcio Storico?,A. 2 B. 3 C. 4 D. 6,4,1,no mistake,no correction needed,no correction needed,4
RBQ,Italy_RBQ.xlsx,Calcio,Quanto dura una partita di Calcio Storico?,A. 60 minuti B. 40 minuti C. 50 minuti D. 20 minuti,50 minuti,0,"The question asks about the duration of a Calcio Storico match, but the correct answer provided (50 minuti) is inaccurate. A traditional Calcio Storico match lasts 50 minutes of playing time, divided into two 25-minute halves, which is factually correct. However, the question is misleading because Calcio Storico is not a standardized modern sport with fixed rules across all events — duration can vary slightly by event or historical reenactment, and 50 minutes is not universally accepted as the only correct answer. Moreover, the question does not specify whether it refers to playing time or total duration including breaks, which introduces ambiguity. The options are plausible but the question lacks precision, making it a poor MCQ without clarification.",Quanto dura il tempo di gioco di una partita di Calcio Storico?,"['A. 60 minuti', 'B. 40 minuti', 'C. 50 minuti', 'D. 20 minuti']",C. 50 minuti
RBQ,Italy_RBQ.xlsx,Calcio,Dove si svolge tradizionalmente il Calcio Storico?,A. Piazza della Repubblica B. Piazza San Marco C. Piazza Santa Croce D. Stadio Artemio Franchi,Piazza Santa Croce,1,no mistake,no correction needed,no correction needed,Piazza Santa Croce
RBQ,Italy_RBQ.xlsx,Calcio,Quando si gioca tradizionalmente il torneo di Calcio Storico?,A. Natale B. Pasqua C. Giugno D. Agosto,Giugno,1,no mistake,no correction needed,no correction needed,Giugno
RBQ,Italy_RBQ.xlsx,Calcio,Qual è la regola principale sui contatti fisici nel Calcio Storico?,A. Sono completamente vietati B. Sono permessi solo con il pallone C. Non ci sono restrizioni D. Sono consentiti con limitazioni,Sono consentiti con limitazioni,1,no mistake,no correction needed,no correction needed,Sono consentiti con limitazioni
RBQ,Italy_RBQ.xlsx,Calcio,Quale parte del corpo non può essere usata per lanciare la palla?,A. Le mani B. I piedi C. La testa D. Le braccia,I piedi,0,"The question asks which body part cannot be used to throw the ball, but in many sports (e.g., soccer), the feet are used to kick the ball, not throw it. However, the correct interpretation should be about the rules of throwing (e.g., in basketball or handball), where hands/arms are used to throw, and feet/head are not. But the given answer 'I piedi' (feet) is misleading because feet are not used to throw — they are used to kick. The question is ambiguous and logically flawed because 'lanciare' (to throw) typically implies using hands/arms. The correct answer should be 'La testa' or 'I piedi' depending on context, but the question doesn't specify a sport. To make it factually correct, the question must refer to a sport where throwing is regulated (e.g., handball or basketball), and feet cannot be used to throw.",Quale parte del corpo non può essere usata per lanciare la palla in una partita di pallamano?,"['A. Le mani', 'B. I piedi', 'C. La testa', 'D. Le braccia']",I piedi
RBQ,Italy_RBQ.xlsx,Calcio,Chi arbitra una partita di Calcio Storico?,A. Un solo arbitro centrale B. Una squadra di quattro arbitri C. Un comitato di arbitri D. I capitani delle squadre,Un comitato di arbitri,0,"The question is factually incorrect. Calcio Storico Fiorentino is not arbitrated by a 'comitato di arbitri' (committee of referees). Instead, it is overseen by a single referee (arbitro centrale) along with assistant referees and judges, but the official role is held by one central referee. The correct answer should be 'Un solo arbitro centrale'. The provided answer is wrong, and the question misrepresents the officiating structure.",Chi arbitra una partita di Calcio Storico Fiorentino?,"['A. Un solo arbitro centrale', 'B. Una squadra di quattro arbitri', 'C. Un comitato di arbitri', 'D. I capitani delle squadre']",A. Un solo arbitro centrale
RBQ,Italy_RBQ.xlsx,Calcio,Come inizia una partita di Calcio Storico?,A. Con un calcio d'inizio B. Con una palla al centro C. Con il lancio della palla da parte dell'arbitro D. Con un sorteggio,Con il lancio della palla da parte dell'arbitro,0,"The question asks how a Calcio Storico match begins, but the provided correct answer ('Con il lancio della palla da parte dell'arbitro') is factually incorrect. Calcio Storico Fiorentino begins with the 'palla in aria' — a ball thrown into the air by the referee to start play, not simply 'lancio della palla' as in standard football. The phrasing in option C is ambiguous and misleading. Additionally, option D ('Con un sorteggio') refers to a draw, which is not the method of starting play. The correct starting mechanism is a ceremonial toss of the ball into the air, and the best option should reflect that accurately.",Come inizia una partita di Calcio Storico Fiorentino?,"[""A. Con un calcio d'inizio"", 'B. Con una palla al centro', ""C. Con il lancio della palla in aria da parte dell'arbitro"", 'D. Con un sorteggio']",Con il lancio della palla in aria da parte dell'arbitro
RBQ,Italy_RBQ.xlsx,Calcio,Quanti attaccanti ha una squadra di Calcio Storico?,A. 3 B. 4 C. 5 D. 6,5,1,no mistake,no correction needed,no correction needed,5
RBQ,Italy_RBQ.xlsx,Calcio,Quanti difensori ci sono in una squadra di Calcio Storico?,A. 3 B. 4 C. 8 D. 10,4,1,no mistake,no correction needed,no correction needed,B. 4
RBQ,Italy_RBQ.xlsx,Calcio,Cosa succede in caso di parità alla fine della partita?,A. Supplementari B. Rigori C. La squadra con meno falli vince D. Non esistono pareggi,Non esistono pareggi,0,"The question 'Cosa succede in caso di parità alla fine della partita?' implies a general sports context, but the correct answer 'Non esistono pareggi' is factually incorrect for most sports (e.g., football/soccer commonly allows draws in league matches). The answer contradicts standard rules of association football, which is the most likely context for this question. The correct outcome for a draw in many sports is either extra time, penalties, or a draw — not 'no draws exist'.",Cosa succede in caso di parità alla fine dei tempi regolamentari in una partita di calcio a eliminazione diretta?,"['A. Supplementari', 'B. Rigori', 'C. La squadra con meno falli vince', 'D. Non esistono pareggi']",A. Supplementari
RBQ,Italy_RBQ.xlsx,Calcio,Cosa è vietato fare ai portatori di palla?,A. Correre più di 10 metri B. Bloccare la palla C. Passare indietro D. Colpire gli avversari,Colpire gli avversari,0,"The question 'Cosa è vietato fare ai portatori di palla?' is too vague and contextually ambiguous. In sports like rugby or American football, 'portatori di palla' (ball carriers) have specific rules, but 'colpire gli avversari' (hit opponents) is not uniquely forbidden to them — it's generally forbidden to all players. The question implies a rule specific to ball carriers, but none of the options clearly reflect a rule unique to them. For example, in rugby, ball carriers cannot pass forward (not backward), and in American football, they can be tackled but not illegally hit. Option D is too broad and misleading. The correct rule for ball carriers in rugby is that they cannot pass forward, but option C says 'Passare indietro' (pass backward), which is allowed. Thus, the question and options are factually inconsistent.",Cosa è vietato fare ai portatori di palla nel rugby?,"['A. Correre più di 10 metri', 'B. Bloccare la palla', 'C. Passare in avanti', 'D. Colpire gli avversari']",Passare in avanti
