Started at: 09:50:13

📌 Processing: /DATA/rohan_kirti/country/sudan/SBQ/Sudan_SBQ.xlsx
✅ Saved → SBQ | Camel_Racing | Row 0
✅ Saved → SBQ | Camel_Racing | Row 1
✅ Saved → SBQ | Camel_Racing | Row 2
✅ Saved → SBQ | Camel_Racing | Row 3
✅ Saved → SBQ | Camel_Racing | Row 4
✅ Saved → SBQ | Camel_Racing | Row 5
✅ Saved → SBQ | Camel_Racing | Row 6
✅ Saved → SBQ | Camel_Racing | Row 7
✅ Saved → SBQ | Camel_Racing | Row 8
✅ Saved → SBQ | Camel_Racing | Row 9
✅ Saved → SBQ | Camel_Racing | Row 10
✅ Saved → SBQ | Camel_Racing | Row 11
✅ Saved → SBQ | Camel_Racing | Row 12
✅ Saved → SBQ | Camel_Racing | Row 13
✅ Saved → SBQ | Camel_Racing | Row 14
✅ Saved → SBQ | Camel_Racing | Row 15
✅ Saved → SBQ | Camel_Racing | Row 16
✅ Saved → SBQ | Camel_Racing | Row 17
✅ Saved → SBQ | Camel_Racing | Row 18
✅ Saved → SBQ | Camel_Racing | Row 19
✅ Saved → SBQ | Camel_Racing | Row 20
✅ Saved → SBQ | Camel_Racing | Row 21
✅ Saved → SBQ | Camel_Racing | Row 22
✅ Saved → SBQ | Camel_Racing | Row 23
✅ Saved → SBQ | Camel_Racing | Row 24
✅ Saved → SBQ | Camel_Racing | Row 25
✅ Saved → SBQ | Camel_Racing | Row 26
✅ Saved → SBQ | Camel_Racing | Row 27
✅ Saved → SBQ | Camel_Racing | Row 28
✅ Saved → SBQ | Camel_Racing | Row 29
✅ Saved → SBQ | Camel_Racing | Row 30
✅ Saved → SBQ | Camel_Racing | Row 31
✅ Saved → SBQ | Camel_Racing | Row 32
✅ Saved → SBQ | Camel_Racing | Row 33
✅ Saved → SBQ | Camel_Racing | Row 34
✅ Saved → SBQ | Camel_Racing | Row 35
✅ Saved → SBQ | Camel_Racing | Row 36
✅ Saved → SBQ | Camel_Racing | Row 37
✅ Saved → SBQ | Camel_Racing | Row 38
✅ Saved → SBQ | Camel_Racing | Row 39
✅ Saved → SBQ | Camel_Racing | Row 40
✅ Saved → SBQ | Camel_Racing | Row 41
✅ Saved → SBQ | Camel_Racing | Row 42
✅ Saved → SBQ | Camel_Racing | Row 43
✅ Saved → SBQ | Camel_Racing | Row 44
✅ Saved → SBQ | Camel_Racing | Row 45
✅ Saved → SBQ | Camel_Racing | Row 46
✅ Saved → SBQ | Camel_Racing | Row 47
✅ Saved → SBQ | Camel_Racing | Row 48
✅ Saved → SBQ | Camel_Racing | Row 49
✅ Saved → SBQ | Camel_Racing | Row 50
✅ Saved → SBQ | Camel_Racing | Row 51
✅ Saved → SBQ | Camel_Racing | Row 52
✅ Saved → SBQ | Camel_Racing | Row 53
✅ Saved → SBQ | Camel_Racing | Row 54
✅ Saved → SBQ | Camel_Racing | Row 55
✅ Saved → SBQ | Camel_Racing | Row 56
✅ Saved → SBQ | Camel_Racing | Row 57
✅ Saved → SBQ | Camel_Racing | Row 58
✅ Saved → SBQ | Camel_Racing | Row 59
✅ Saved → SBQ | Camel_Racing | Row 60
✅ Saved → SBQ | Camel_Racing | Row 61
✅ Saved → SBQ | Camel_Racing | Row 62
✅ Saved → SBQ | Camel_Racing | Row 63
✅ Saved → SBQ | Camel_Racing | Row 64
✅ Saved → SBQ | Camel_Racing | Row 65
✅ Saved → SBQ | Camel_Racing | Row 66
✅ Saved → SBQ | Camel_Racing | Row 67
✅ Saved → SBQ | Camel_Racing | Row 68
✅ Saved → SBQ | Camel_Racing | Row 69
✅ Saved → SBQ | Camel_Racing | Row 70
✅ Saved → SBQ | Camel_Racing | Row 71
✅ Saved → SBQ | Camel_Racing | Row 72
✅ Saved → SBQ | Camel_Racing | Row 73
✅ Saved → SBQ | Camel_Racing | Row 74
✅ Saved → SBQ | Camel_Racing | Row 76
✅ Saved → SBQ | Camel_Racing | Row 77
✅ Saved → SBQ | Camel_Racing | Row 78
✅ Saved → SBQ | Camel_Racing | Row 79
✅ Saved → SBQ | Camel_Racing | Row 80
✅ Saved → SBQ | Camel_Racing | Row 81
✅ Saved → SBQ | Camel_Racing | Row 82
✅ Saved → SBQ | Camel_Racing | Row 83
✅ Saved → SBQ | Camel_Racing | Row 84
✅ Saved → SBQ | Camel_Racing | Row 85
✅ Saved → SBQ | Camel_Racing | Row 86
✅ Saved → SBQ | Camel_Racing | Row 87
✅ Saved → SBQ | Camel_Racing | Row 88
✅ Saved → SBQ | Camel_Racing | Row 89
✅ Saved → SBQ | Camel_Racing | Row 90
✅ Saved → SBQ | Camel_Racing | Row 91
✅ Saved → SBQ | Camel_Racing | Row 92
✅ Saved → SBQ | Camel_Racing | Row 93
✅ Saved → SBQ | Camel_Racing | Row 94
✅ Saved → SBQ | Camel_Racing | Row 95
✅ Saved → SBQ | Camel_Racing | Row 96
✅ Saved → SBQ | Camel_Racing | Row 97
✅ Saved → SBQ | Camel_Racing | Row 98
✅ Saved → SBQ | Camel_Racing | Row 99
✅ Saved → SBQ | Camel_Racing | Row 100
✅ Saved → SBQ | Camel_Racing | Row 101
✅ Saved → SBQ | Camel_Racing | Row 102
✅ Saved → SBQ | Camel_Racing | Row 103
✅ Saved → SBQ | Camel_Racing | Row 104
✅ Saved → SBQ | Camel_Racing | Row 105
✅ Saved → SBQ | Camel_Racing | Row 106
✅ Saved → SBQ | Camel_Racing | Row 107
✅ Saved → SBQ | Camel_Racing | Row 108
✅ Saved → SBQ | Camel_Racing | Row 109
✅ Saved → SBQ | Camel_Racing | Row 110
✅ Saved → SBQ | Camel_Racing | Row 111
✅ Saved → SBQ | Camel_Racing | Row 112
✅ Saved → SBQ | Camel_Racing | Row 113
✅ Saved → SBQ | Camel_Racing | Row 114
✅ Saved → SBQ | Camel_Racing | Row 115
✅ Saved → SBQ | Camel_Racing | Row 116
✅ Saved → SBQ | Camel_Racing | Row 117
✅ Saved → SBQ | Camel_Racing | Row 118
✅ Saved → SBQ | Camel_Racing | Row 119
✅ Saved → SBQ | Camel_Racing | Row 120
✅ Saved → SBQ | Nuba_Wrestling | Row 0
✅ Saved → SBQ | Nuba_Wrestling | Row 1
✅ Saved → SBQ | Nuba_Wrestling | Row 2
✅ Saved → SBQ | Nuba_Wrestling | Row 3
✅ Saved → SBQ | Nuba_Wrestling | Row 4
✅ Saved → SBQ | Nuba_Wrestling | Row 5
✅ Saved → SBQ | Nuba_Wrestling | Row 6
✅ Saved → SBQ | Nuba_Wrestling | Row 7
✅ Saved → SBQ | Nuba_Wrestling | Row 8
✅ Saved → SBQ | Nuba_Wrestling | Row 9
✅ Saved → SBQ | Nuba_Wrestling | Row 10
✅ Saved → SBQ | Nuba_Wrestling | Row 11
✅ Saved → SBQ | Nuba_Wrestling | Row 12
✅ Saved → SBQ | Nuba_Wrestling | Row 13
✅ Saved → SBQ | Nuba_Wrestling | Row 14
✅ Saved → SBQ | Nuba_Wrestling | Row 15
✅ Saved → SBQ | Nuba_Wrestling | Row 16
✅ Saved → SBQ | Nuba_Wrestling | Row 17
✅ Saved → SBQ | Nuba_Wrestling | Row 18
✅ Saved → SBQ | Nuba_Wrestling | Row 19
✅ Saved → SBQ | Nuba_Wrestling | Row 20
✅ Saved → SBQ | Nuba_Wrestling | Row 21
✅ Saved → SBQ | Nuba_Wrestling | Row 22
✅ Saved → SBQ | Nuba_Wrestling | Row 23
✅ Saved → SBQ | Nuba_Wrestling | Row 24
✅ Saved → SBQ | Nuba_Wrestling | Row 25
✅ Saved → SBQ | Nuba_Wrestling | Row 26
✅ Saved → SBQ | Nuba_Wrestling | Row 27
✅ Saved → SBQ | Nuba_Wrestling | Row 28
✅ Saved → SBQ | Nuba_Wrestling | Row 29
✅ Saved → SBQ | Nuba_Wrestling | Row 30
✅ Saved → SBQ | Nuba_Wrestling | Row 31
✅ Saved → SBQ | Nuba_Wrestling | Row 32
✅ Saved → SBQ | Nuba_Wrestling | Row 33
✅ Saved → SBQ | Nuba_Wrestling | Row 34
✅ Saved → SBQ | Nuba_Wrestling | Row 35
✅ Saved → SBQ | Nuba_Wrestling | Row 36
✅ Saved → SBQ | Nuba_Wrestling | Row 37
✅ Saved → SBQ | Nuba_Wrestling | Row 38
✅ Saved → SBQ | Nuba_Wrestling | Row 39
✅ Saved → SBQ | Nuba_Wrestling | Row 40
