country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
HBQ,India_HBQ.xlsx,Kabaddi,आधुनिक कबड्डी का जनक किसे माना जाता है?,"ए) गुलाम मोहम्मद, बी) हरिश्चंद्र भिड़े, सी) किशोर कुमार, डी) रमेश शर्मा",B) हरिश्चंद्र भिड़े,1,no mistake,no correction needed,no correction needed,बी) हरिश्चंद्र भिड़े
HBQ,India_HBQ.xlsx,Kabaddi,कबड्डी के नियमों को औपचारिक रूप देने का श्रेय किस भारतीय राज्य को दिया जाता है?,"A) आंध्र प्रदेश, B) पंजाब, C) तमिलनाडु, D) महाराष्ट्र",D) महाराष्ट्र,1,no mistake,no correction needed,no correction needed,D) महाराष्ट्र
HBQ,India_HBQ.xlsx,Kabaddi,कबड्डी को पहली बार एशियाई खेलों में किस वर्ष शामिल किया गया था?,"ए) 1958, बी) 1962, सी) 1966, डी) 1970",बी) 1962,1,no mistake,no correction needed,no correction needed,बी) 1962
HBQ,India_HBQ.xlsx,Kabaddi,पद्म भूषण से सम्मानित होने वाले पहले कबड्डी खिलाड़ी कौन थे?,"ए) बाबू घोष, बी) रामेश्वर सिंह, सी) के.बी. चन्द्रशेखर, डी) डी.पी. यादव",C) के.बी. चंद्रशेखर,0,"The question incorrectly states that K.B. Chandrasekhar was the first kabaddi player to be awarded the Padma Bhushan. In fact, the first kabaddi player to receive the Padma Bhushan was Ramsewak Singh (also known as Ramsewak Singh Kushwaha), who received it in 1971. K.B. Chandrasekhar was a cricketer, not a kabaddi player, making the question factually wrong and misleading.",पद्म भूषण से सम्मानित होने वाले पहले कबड्डी खिलाड़ी कौन थे?,"['ए) बाबू घोष', 'बी) रामेश्वर सिंह', 'सी) के.बी. चंद्रशेखर', 'डी) डी.पी. यादव']",बी) रामेश्वर सिंह
HBQ,India_HBQ.xlsx,Kabaddi,भारत में कौन सा कबड्डी टूर्नामेंट सबसे पुराना माना जाता है?,"A) अखिल भारतीय कबड्डी टूर्नामेंट, B) महाराष्ट्र राज्य कबड्डी टूर्नामेंट, C) पंजाब कबड्डी लीग, D) दक्षिणी भारत कबड्डी चैम्पियनशिप",A) अखिल भारतीय कबड्डी टूर्नामेंट,1,no mistake,no correction needed,no correction needed,A) अखिल भारतीय कबड्डी टूर्नामेंट
HBQ,India_HBQ.xlsx,Kabaddi,पहली अंतर्राष्ट्रीय कबड्डी चैंपियनशिप किस वर्ष आयोजित की गई थी?,"ए) 1980, बी) 1985, सी) 1990, डी) 1995",बी) 1985,1,no mistake,no correction needed,no correction needed,बी) 1985
HBQ,India_HBQ.xlsx,Kabaddi,भारत के बाहर सबसे पहले किस देश का कबड्डी संघ स्थापित हुआ था?,"A) नेपाल, B) पाकिस्तान, C) बांग्लादेश, D) श्रीलंका",बी) पाकिस्तान,0,"The question is factually incorrect. The first kabaddi federation outside India was established in Iran in 1973, not in Pakistan. Pakistan's kabaddi federation was established later, in 1977. Therefore, none of the given options (Nepal, Pakistan, Bangladesh, Sri Lanka) are correct, making the provided answer (Pakistan) wrong. The question as framed has no valid option among the choices.",भारत के बाहर सबसे पहले किस देश का कबड्डी संघ स्थापित हुआ था?,"['A) ईरान', 'B) पाकिस्तान', 'C) बांग्लादेश', 'D) श्रीलंका']",A) ईरान
HBQ,India_HBQ.xlsx,Kabaddi,20वीं शताब्दी के दौरान ग्रामीण भारत में कबड्डी को लोकप्रिय बनाने में किस प्रमुख व्यक्ति ने महत्वपूर्ण भूमिका निभाई?,"A) शंकर पाटिल, B) राज कुमार, C) के.के. शर्मा, D) जी.के. सिन्हा",A) शंकर पाटिल,0,"The question incorrectly attributes the popularization of kabaddi in rural India during the 20th century to Shankar Patil. While Shankar Patil was a prominent figure in Maharashtra and associated with kabaddi, the widely recognized individual who played a major role in systematizing and popularizing kabaddi across rural India, especially through the formation of the All India Kabaddi Federation and standardizing rules, is K. K. Sharma (Keshav Kumar Sharma). The provided correct answer is factually inaccurate.",20वीं शताब्दी के दौरान ग्रामीण भारत में कबड्डी को लोकप्रिय बनाने और इसके नियमों को मानकीकृत करने में किस प्रमुख व्यक्ति ने महत्वपूर्ण भूमिका निभाई?,"['A) शंकर पाटिल', 'B) राज कुमार', 'C) के.के. शर्मा', 'D) जी.के. सिन्हा']",C) के.के. शर्मा
HBQ,India_HBQ.xlsx,Kabaddi,किस भारतीय राज्य में कबड्डी का पारंपरिक रूप 'सतोलिया' के नाम से जाना जाता है?,"ए) गुजरात, बी) राजस्थान, सी) हरियाणा, डी) उत्तराखंड",D) उत्तराखंड,0,"The question incorrectly states that 'सतोलिया' is the traditional form of kabaddi in Uttarakhand. In fact, 'सतोलिया' (Satoliya) is the traditional form of kabaddi played in the state of Haryana, not Uttarakhand. Uttarakhand is known for a different traditional form called 'Chedugudu' or 'Kauddi', but not Satoliya. The provided answer is factually wrong.",किस भारतीय राज्य में कबड्डी का पारंपरिक रूप 'सतोलिया' के नाम से जाना जाता है?,"['ए) गुजरात', 'बी) राजस्थान', 'सी) हरियाणा', 'डी) उत्तराखंड']",सी) हरियाणा
HBQ,India_HBQ.xlsx,Kabaddi,2004 में आयोजित पहला कबड्डी विश्व कप किसने जीता?,"A) भारत, B) पाकिस्तान, C) बांग्लादेश, D) नेपाल",ए) भारत,0,"The question is factually incorrect. The first Kabaddi World Cup was not held in 2004; it was held in 2010. The 2004 event was the Kabaddi World Cup (Standard Style) organized by the International Kabaddi Federation, but it was not the first official World Cup. The first official Kabaddi World Cup under the standard style was in 2010, which India won. However, since the question refers to 2004 as the 'first' World Cup, it misrepresents history.",2004 में आयोजित कबड्डी विश्व कप किसने जीता?,"['A) भारत', 'B) पाकिस्तान', 'C) बांग्लादेश', 'D) नेपाल']",A) भारत
